,Bettor My Dreamz Nz,The Last Drop,Brewery Lane,Ainsworth,Mission Glory,Belonero,Tradie,Make It Quick,Be On Guard,Dynamite Beach,The Party Boy
10-01-2023 20:58:33.145050,"(2.15, 99999, 99990)","(4.8, 5.5, 5.139130434782609)","(61.0, 80.0, 57.2)","(15.0, 29.0, 19.25)","(101.0, 210.0, 170.0)","(18.0, 29.0, 25.4)","(101.0, 140.0, 122.0)","(10.0, 17.5, 14.75)","(8.0, 11.5, 10.34)","(3.8, 4.4, 4.327272727272727)","(101.0, 190.0, 142.5)"
10-01-2023 20:58:34.521973,"(2.15, 99999, 99990)","(4.8, 5.8, 5.123076923076923)","(61.0, 80.0, 57.2)","(15.0, 29.0, 19.25)","(101.0, 210.0, 170.0)","(18.0, 29.0, 25.4)","(101.0, 140.0, 122.0)","(10.0, 17.5, 14.75)","(8.0, 11.5, 10.34)","(3.8, 4.4, 4.327272727272727)","(101.0, 190.0, 142.5)"
10-01-2023 20:58:36.027087,"(2.15, 99999, 99990)","(4.8, 5.8, 5.254545454545455)","(61.0, 80.0, 57.2)","(15.0, 29.0, 19.25)","(101.0, 210.0, 170.0)","(18.0, 29.0, 25.4)","(101.0, 140.0, 122.0)","(10.0, 17.5, 14.75)","(8.0, 11.5, 10.34)","(3.8, 4.4, 4.327272727272727)","(101.0, 190.0, 142.5)"
10-01-2023 20:58:37.498969,"(2.15, 99999, 99990)","(4.8, 5.7, 5.155555555555556)","(61.0, 80.0, 57.2)","(15.0, 29.0, 19.25)","(101.0, 210.0, 170.0)","(18.0, 29.0, 26.0)","(101.0, 140.0, 122.0)","(10.0, 17.5, 14.75)","(8.0, 11.5, 10.34)","(3.8, 4.4, 4.327272727272727)","(101.0, 190.0, 142.5)"
10-01-2023 20:58:38.847602,"(2.15, 99999, 99990)","(4.8, 5.7, 5.323076923076923)","(61.0, 80.0, 57.2)","(15.0, 29.0, 19.25)","(101.0, 210.0, 170.0)","(18.0, 29.0, 26.0)","(101.0, 140.0, 122.0)","(10.0, 17.5, 14.75)","(8.0, 11.5, 10.34)","(3.8, 4.4, 4.327272727272727)","(101.0, 190.0, 142.5)"
10-01-2023 20:58:40.241692,"(2.15, 99999, 99990)","(4.8, 5.7, 5.323076923076923)","(61.0, 80.0, 57.2)","(15.0, 29.0, 19.25)","(101.0, 210.0, 170.0)","(18.0, 29.0, 26.0)","(101.0, 140.0, 122.0)","(10.0, 17.5, 15.5)","(8.0, 11.5, 9.566666666666666)","(3.8, 4.4, 4.327272727272727)","(101.0, 190.0, 142.5)"
10-01-2023 20:58:41.610466,"(2.15, 99999, 99990)","(4.8, 5.6, 5.225)","(61.0, 80.0, 51.5)","(15.0, 29.0, 22.5)","(101.0, 210.0, 170.0)","(18.0, 29.0, 26.0)","(101.0, 140.0, 122.0)","(10.0, 17.5, 15.5)","(8.0, 11.5, 9.566666666666666)","(3.8, 4.4, 4.327272727272727)","(101.0, 190.0, 142.5)"
10-01-2023 20:58:43.113594,"(2.15, 99999, 99990)","(4.8, 5.6, 5.1)","(61.0, 80.0, 51.5)","(15.0, 29.0, 22.5)","(101.0, 210.0, 170.0)","(18.0, 29.0, 26.0)","(101.0, 140.0, 122.0)","(10.0, 17.5, 15.5)","(8.0, 11.5, 9.566666666666666)","(3.8, 4.4, 4.327272727272727)","(101.0, 190.0, 142.5)"
10-01-2023 20:58:44.562348,"(2.15, 99999, 99990)","(4.8, 5.6, 5.1)","(61.0, 80.0, 51.5)","(15.0, 29.0, 24.833333333333336)","(101.0, 210.0, 170.0)","(18.0, 29.0, 26.0)","(101.0, 140.0, 122.0)","(10.0, 17.5, 15.5)","(8.0, 11.5, 9.566666666666666)","(3.8, 4.4, 4.327272727272727)","(101.0, 190.0, 142.5)"
10-01-2023 20:58:45.974159,"(2.15, 99999, 99990)","(4.8, 5.6, 5.225)","(61.0, 80.0, 51.5)","(15.0, 29.0, 24.833333333333336)","(101.0, 210.0, 170.0)","(18.0, 29.0, 26.0)","(101.0, 140.0, 122.0)","(10.0, 17.5, 15.5)","(8.0, 11.5, 9.566666666666666)","(3.8, 4.4, 4.327272727272727)","(101.0, 190.0, 142.5)"
