,Royal Apollo,Oscar Bravo,Calculating Dancer,Tallaras Shadow,Lester,Imagoldcloud,Sugoi Alto,Miyagi Boy
07-12-2022 20:59:30.601158,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.16)","(13.0, 19.5, 17.0)","(15.0, 20.0, 15.666666666666666)","(5.5, 9.4, 8.822222222222223)","(26.0, 46.0, 33.333333333333336)","(31.0, 42.0, 36.0)","(1.65, 2.0, 1.9625)"
07-12-2022 20:59:32.009031,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.16)","(13.0, 19.5, 17.0)","(15.0, 20.0, 15.666666666666666)","(5.5, 9.4, 8.822222222222223)","(26.0, 46.0, 33.333333333333336)","(31.0, 42.0, 36.0)","(1.65, 2.06, 1.9625)"
07-12-2022 20:59:33.364877,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.16)","(13.0, 19.5, 17.0)","(15.0, 20.0, 15.666666666666666)","(5.5, 9.4, 8.822222222222223)","(26.0, 46.0, 33.333333333333336)","(31.0, 42.0, 36.0)","(1.65, 2.06, 1.9625)"
07-12-2022 20:59:34.787084,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.16)","(13.0, 19.5, 17.0)","(15.0, 20.0, 15.666666666666666)","(5.5, 9.4, 8.822222222222223)","(26.0, 46.0, 33.333333333333336)","(31.0, 42.0, 36.0)","(1.65, 2.06, 1.9625)"
07-12-2022 20:59:36.147353,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.16)","(13.0, 19.5, 17.0)","(15.0, 20.0, 15.666666666666666)","(5.5, 9.4, 8.822222222222223)","(26.0, 46.0, 33.333333333333336)","(31.0, 42.0, 36.0)","(1.65, 2.06, 1.9625)"
07-12-2022 20:59:37.547934,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.16)","(13.0, 19.5, 17.0)","(15.0, 20.0, 15.666666666666666)","(5.5, 9.4, 8.822222222222223)","(26.0, 46.0, 33.333333333333336)","(31.0, 42.0, 36.0)","(1.65, 2.06, 1.9625)"
07-12-2022 20:59:38.963888,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.16)","(13.0, 19.5, 17.0)","(15.0, 20.0, 15.666666666666666)","(5.5, 9.4, 8.822222222222223)","(26.0, 46.0, 33.333333333333336)","(31.0, 42.0, 36.0)","(1.65, 2.06, 1.9625)"
07-12-2022 20:59:40.319820,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.16)","(13.0, 19.5, 17.0)","(15.0, 20.0, 14.7)","(5.5, 9.4, 8.822222222222223)","(26.0, 46.0, 35.0)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.06, 1.9575)"
07-12-2022 20:59:41.657757,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.5, 15.333333333333334)","(5.5, 9.4, 8.822222222222223)","(26.0, 44.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 20:59:43.107222,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.822222222222223)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 20:59:44.432247,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.822222222222223)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 20:59:45.646757,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.822222222222223)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 20:59:47.259986,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.822222222222223)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 20:59:48.491278,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.822222222222223)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 20:59:49.764203,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.822222222222223)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 20:59:51.137518,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.822222222222223)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 20:59:52.488665,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.822222222222223)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 20:59:53.882755,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.822222222222223)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 20:59:55.325261,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.822222222222223)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 20:59:56.787068,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.440000000000001)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 20:59:58.121823,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.440000000000001)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 20:59:59.344681,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.440000000000001)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 21:00:00.651980,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.440000000000001)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 21:00:01.881267,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.440000000000001)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 21:00:03.106929,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.440000000000001)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 21:00:04.313711,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.440000000000001)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 21:00:05.510982,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.440000000000001)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 21:00:06.907484,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.440000000000001)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 21:00:08.069045,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.440000000000001)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 21:00:09.535945,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.440000000000001)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 21:00:10.856084,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.440000000000001)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 21:00:12.041060,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.440000000000001)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 21:00:13.401442,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.440000000000001)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 21:00:14.637604,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.440000000000001)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 21:00:15.876613,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.440000000000001)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 21:00:17.400100,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.440000000000001)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 21:00:18.766233,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.440000000000001)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 21:00:20.291034,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.440000000000001)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 21:00:21.749122,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 15.333333333333334)","(5.5, 9.4, 8.440000000000001)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9575)"
07-12-2022 21:00:23.172060,"(13.0, 17.5, 16.25)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.625)","(5.5, 9.4, 8.440000000000001)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.04, 1.9352941176470588)"
07-12-2022 21:00:24.553207,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.4, 8.440000000000001)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:00:25.885806,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.4, 8.440000000000001)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:00:27.294195,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.4, 8.440000000000001)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:00:28.584995,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.4, 8.440000000000001)","(26.0, 42.0, 35.6)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:00:29.894180,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.4, 8.440000000000001)","(26.0, 42.0, 33.0)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:00:31.115529,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 6.7375)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.4, 8.440000000000001)","(26.0, 40.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:00:32.290945,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 7.069230769230769)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.4, 8.440000000000001)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:00:33.513870,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 7.069230769230769)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.4, 8.440000000000001)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:00:34.756385,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 7.069230769230769)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.4, 8.440000000000001)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:00:36.040475,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 7.069230769230769)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.4, 8.440000000000001)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:00:37.313139,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 7.069230769230769)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.4, 8.440000000000001)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:00:38.686299,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 7.069230769230769)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.4, 8.440000000000001)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:00:40.040776,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 7.069230769230769)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.4, 8.440000000000001)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:00:41.346018,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 7.069230769230769)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.4, 8.440000000000001)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:00:42.596992,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 7.069230769230769)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.4, 8.440000000000001)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:00:43.877330,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 6.775)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.4, 7.942857142857142)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:00:45.112921,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 6.775)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.2, 7.942857142857142)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:00:46.330854,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 6.775)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.2, 7.942857142857142)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:00:47.810743,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 6.775)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.2, 7.942857142857142)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:00:49.097214,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 6.775)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.2, 7.942857142857142)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:00:50.313098,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 6.775)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.2, 7.942857142857142)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:00:51.592700,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 6.775)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.2, 7.942857142857142)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:00:52.848066,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 6.775)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.2, 7.942857142857142)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:00:54.068853,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 6.775)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.2, 7.942857142857142)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:00:55.364763,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 6.775)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.2, 7.942857142857142)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:00:56.693109,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 6.775)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.2, 7.942857142857142)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:00:57.897616,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 6.775)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.2, 7.942857142857142)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
