,Atomic Cabang,Coach Beard,Phoenix Flight,Branson Bale,Buck Hunter,Blue Tequila,Nash Bale
08-01-2023 17:49:14.271486,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:15.255270,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:16.273545,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:17.342709,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:18.301299,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:19.315300,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:20.332788,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:21.365491,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:22.350095,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:23.369998,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:24.373983,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:25.371487,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:26.312403,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:27.315654,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:28.283409,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:29.251040,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:30.155650,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:31.210524,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:32.217259,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:33.353441,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:34.477413,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:35.558838,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:36.609902,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:37.644661,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:38.620604,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
