,Maralago,Burnt By Bernie,Gotta Fly,More Mischief,Ocean Honour,Pierro Warrior,State Of America,Step Aside,Lover Girl,Poetic Drama,Chouilly
04-01-2023 13:32:04.747654,"(41.0, 75.0, 62.5)","(4.2, 5.6, 5.682758620689655)","(26.0, 38.0, 35.0)","(41.0, 80.0, 58.125)","(8.0, 9.6, 9.479518072289157)","(61.0, 85.0, 80.9090909090909)","(51.0, 70.0, 65.38461538461539)","(2.05, 2.48, 2.455593220338983)","(101.0, 720.0, 690.2857142857142)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
04-01-2023 13:32:06.348390,"(41.0, 75.0, 62.5)","(4.2, 5.7, 5.681132075471698)","(26.0, 38.0, 35.0)","(41.0, 75.0, 58.125)","(8.0, 9.6, 9.525925925925925)","(61.0, 85.0, 80.9090909090909)","(51.0, 70.0, 65.38461538461539)","(2.05, 2.48, 2.455593220338983)","(101.0, 720.0, 690.2857142857142)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
04-01-2023 13:32:07.781833,"(41.0, 75.0, 62.5)","(4.2, 5.7, 5.681132075471698)","(26.0, 38.0, 35.0)","(41.0, 75.0, 58.125)","(8.0, 9.6, 9.525925925925925)","(61.0, 85.0, 80.9090909090909)","(51.0, 70.0, 65.38461538461539)","(2.05, 2.48, 2.455593220338983)","(101.0, 720.0, 690.2857142857142)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
04-01-2023 13:32:09.224573,"(41.0, 75.0, 62.5)","(4.2, 5.7, 5.688372093023256)","(26.0, 38.0, 35.0)","(41.0, 75.0, 58.125)","(8.0, 9.6, 9.525925925925925)","(61.0, 85.0, 80.9090909090909)","(51.0, 70.0, 65.38461538461539)","(2.05, 2.48, 2.455593220338983)","(101.0, 720.0, 690.2857142857142)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
04-01-2023 13:32:10.601530,"(41.0, 75.0, 64.66666666666667)","(4.2, 5.7, 5.688372093023256)","(26.0, 38.0, 35.0)","(41.0, 75.0, 58.125)","(8.0, 9.6, 9.525925925925925)","(61.0, 85.0, 80.9090909090909)","(51.0, 70.0, 65.38461538461539)","(2.05, 2.48, 2.455593220338983)","(101.0, 720.0, 690.2857142857142)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
04-01-2023 13:32:12.013093,"(41.0, 75.0, 64.66666666666667)","(4.2, 5.7, 5.688372093023256)","(26.0, 38.0, 35.0)","(41.0, 75.0, 58.125)","(8.0, 9.6, 9.559183673469388)","(61.0, 85.0, 80.9090909090909)","(51.0, 70.0, 65.38461538461539)","(2.05, 2.48, 2.455593220338983)","(101.0, 720.0, 690.2857142857142)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
04-01-2023 13:32:13.421742,"(41.0, 75.0, 64.66666666666667)","(4.2, 5.7, 5.688372093023256)","(26.0, 38.0, 35.0)","(41.0, 75.0, 58.125)","(8.0, 9.6, 9.559183673469388)","(61.0, 85.0, 80.9090909090909)","(51.0, 70.0, 65.38461538461539)","(2.05, 2.48, 2.455593220338983)","(101.0, 720.0, 690.2857142857142)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
04-01-2023 13:32:14.871007,"(41.0, 75.0, 64.66666666666667)","(4.2, 5.7, 5.664285714285715)","(26.0, 38.0, 35.0)","(41.0, 75.0, 56.25)","(8.0, 9.6, 9.559183673469388)","(61.0, 85.0, 80.9090909090909)","(51.0, 70.0, 66.73913043478261)","(2.05, 2.48, 2.455593220338983)","(101.0, 720.0, 690.2857142857142)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
04-01-2023 13:32:16.344417,"(41.0, 75.0, 64.66666666666667)","(4.2, 5.7, 5.664285714285715)","(26.0, 38.0, 35.0)","(41.0, 70.0, 56.25)","(8.0, 9.6, 9.559183673469388)","(61.0, 85.0, 80.9090909090909)","(51.0, 70.0, 66.73913043478261)","(2.05, 2.48, 2.455593220338983)","(101.0, 720.0, 690.2857142857142)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
04-01-2023 13:32:17.797649,"(41.0, 75.0, 64.66666666666667)","(4.2, 5.7, 5.664285714285715)","(26.0, 38.0, 35.0)","(41.0, 70.0, 56.25)","(8.0, 9.6, 9.559183673469388)","(61.0, 85.0, 80.9090909090909)","(51.0, 70.0, 66.73913043478261)","(2.05, 2.48, 2.455593220338983)","(101.0, 720.0, 690.2857142857142)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
04-01-2023 13:32:19.522999,"(41.0, 75.0, 64.66666666666667)","(4.2, 5.7, 5.656521739130435)","(26.0, 38.0, 35.0)","(41.0, 70.0, 56.25)","(8.5, 9.6, 9.559183673469388)","(61.0, 85.0, 80.9090909090909)","(51.0, 70.0, 66.73913043478261)","(2.05, 2.48, 2.455593220338983)","(101.0, 720.0, 690.2857142857142)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
04-01-2023 13:32:21.109406,"(41.0, 75.0, 64.66666666666667)","(4.2, 5.7, 5.656521739130435)","(26.0, 38.0, 35.0)","(41.0, 70.0, 56.25)","(8.5, 9.6, 9.559183673469388)","(61.0, 85.0, 80.9090909090909)","(51.0, 70.0, 66.73913043478261)","(2.05, 2.48, 2.455593220338983)","(101.0, 720.0, 690.2857142857142)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
04-01-2023 13:32:22.703635,"(41.0, 75.0, 64.66666666666667)","(4.2, 5.7, 5.656521739130435)","(26.0, 38.0, 35.0)","(41.0, 70.0, 56.25)","(8.5, 9.6, 9.559183673469388)","(61.0, 85.0, 80.9090909090909)","(51.0, 70.0, 66.73913043478261)","(2.05, 2.48, 2.455593220338983)","(101.0, 720.0, 690.2857142857142)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
04-01-2023 13:32:24.206767,"(41.0, 75.0, 64.66666666666667)","(4.2, 5.7, 5.641176470588236)","(26.0, 38.0, 35.0)","(41.0, 70.0, 54.44444444444444)","(8.5, 9.6, 9.559183673469388)","(61.0, 85.0, 80.9090909090909)","(51.0, 70.0, 66.73913043478261)","(2.05, 2.48, 2.45)","(101.0, 720.0, 690.2857142857142)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
04-01-2023 13:32:25.716250,"(41.0, 75.0, 64.66666666666667)","(4.2, 5.7, 5.661538461538462)","(26.0, 38.0, 35.0)","(41.0, 70.0, 54.44444444444444)","(8.5, 9.6, 9.544444444444444)","(61.0, 85.0, 80.9090909090909)","(51.0, 70.0, 66.73913043478261)","(2.05, 2.48, 2.45)","(101.0, 720.0, 690.2857142857142)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
04-01-2023 13:32:27.109567,"(41.0, 75.0, 64.66666666666667)","(4.2, 5.7, 5.661538461538462)","(26.0, 38.0, 35.0)","(41.0, 70.0, 54.44444444444444)","(8.5, 9.6, 9.544444444444444)","(61.0, 85.0, 80.9090909090909)","(51.0, 70.0, 66.73913043478261)","(2.05, 2.48, 2.45)","(101.0, 720.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
04-01-2023 13:32:28.449063,"(41.0, 75.0, 64.66666666666667)","(4.2, 5.7, 5.661538461538462)","(26.0, 38.0, 35.0)","(41.0, 70.0, 54.44444444444444)","(8.5, 9.6, 9.544444444444444)","(61.0, 85.0, 80.9090909090909)","(51.0, 70.0, 66.73913043478261)","(2.05, 2.48, 2.45)","(101.0, 730.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
