,Kanga Lights,Elope To Paris,Blaze Maker,Patch Herrera,Serving Soldier,Big Prediction,Remember Prince,Colden Express
11-01-2023 12:38:00.385000,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 28.6)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:01.896729,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 28.6)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:03.441012,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 28.6)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:04.843638,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.375)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:06.328291,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.375)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:07.607914,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.375)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:08.883362,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.375)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:10.211611,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.375)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:11.577528,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.375)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:13.016840,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.375)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:14.177591,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.375)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:15.460612,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.375)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:16.853626,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.375)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:18.216590,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.375)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:19.512899,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.375)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:20.820708,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.375)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:22.151691,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.375)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:23.463034,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.375)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:24.916582,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.375)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:26.263020,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 29.0)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:27.517008,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 29.2)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:29.004547,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 29.2)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:30.597558,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 29.2)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:31.998965,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 29.2)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:33.522863,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 29.2)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:35.055008,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 29.2)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:36.478745,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 29.2)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:37.904077,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 29.2)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:39.371977,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 29.2)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
