,Artful Jack,Kudos Mason,Keayang Tara,Precious Cullen Nz,Royal Winkle,Miss Pau,Ashlee Nitro,Vanity Bay
05-01-2023 17:09:53.866787,"(3.8, 6.2, 5.316666666666666)","(21.0, 42.0, 26.333333333333332)","(6.5, 10.0, 8.1)","(5.0, 99999, 99990)","(31.0, 110.0, 88.85714285714286)","(31.0, 75.0, 49.69230769230769)","(3.2, 4.8, 3.7666666666666666)","(3.9, 5.6, 4.859999999999999)"
05-01-2023 17:09:55.102425,"(3.8, 6.2, 5.316666666666666)","(21.0, 42.0, 26.333333333333332)","(6.5, 10.0, 8.1)","(5.0, 99999, 99990)","(31.0, 110.0, 88.85714285714286)","(31.0, 75.0, 49.69230769230769)","(3.2, 4.8, 3.7666666666666666)","(3.9, 5.6, 4.859999999999999)"
05-01-2023 17:09:56.362720,"(3.8, 6.2, 5.316666666666666)","(21.0, 42.0, 26.333333333333332)","(6.5, 10.0, 8.1)","(5.0, 99999, 99990)","(31.0, 110.0, 88.85714285714286)","(31.0, 75.0, 49.69230769230769)","(3.2, 4.8, 3.7666666666666666)","(3.9, 5.6, 4.859999999999999)"
05-01-2023 17:09:57.602510,"(3.8, 6.0, 5.51)","(21.0, 42.0, 26.333333333333332)","(6.5, 10.0, 8.1)","(5.0, 99999, 99990)","(31.0, 110.0, 88.85714285714286)","(31.0, 75.0, 49.69230769230769)","(3.2, 4.8, 3.7666666666666666)","(3.9, 5.6, 4.859999999999999)"
05-01-2023 17:09:58.875205,"(3.8, 6.0, 5.51)","(21.0, 42.0, 26.333333333333332)","(6.5, 10.0, 8.1)","(5.0, 99999, 99990)","(31.0, 110.0, 88.85714285714286)","(31.0, 75.0, 49.69230769230769)","(3.2, 4.8, 3.7666666666666666)","(3.9, 5.6, 4.859999999999999)"
05-01-2023 17:10:00.069574,"(3.8, 6.0, 5.51)","(21.0, 42.0, 26.333333333333332)","(6.5, 10.0, 8.1)","(5.0, 99999, 99990)","(31.0, 110.0, 88.85714285714286)","(31.0, 75.0, 49.69230769230769)","(3.2, 4.8, 3.7666666666666666)","(3.9, 5.6, 4.859999999999999)"
05-01-2023 17:10:01.241222,"(3.8, 6.0, 5.51)","(21.0, 42.0, 26.333333333333332)","(6.5, 10.0, 8.1)","(5.0, 99999, 99990)","(31.0, 110.0, 88.85714285714286)","(31.0, 75.0, 49.69230769230769)","(3.2, 4.8, 3.7666666666666666)","(3.9, 5.6, 4.859999999999999)"
05-01-2023 17:10:02.426275,"(3.8, 6.0, 5.51)","(21.0, 42.0, 26.333333333333332)","(6.5, 10.0, 8.1)","(5.0, 99999, 99990)","(31.0, 110.0, 88.85714285714286)","(31.0, 75.0, 49.69230769230769)","(3.2, 4.8, 3.7666666666666666)","(3.9, 5.6, 4.859999999999999)"
05-01-2023 17:10:03.580365,"(3.8, 5.9, 5.116666666666667)","(21.0, 42.0, 26.333333333333332)","(6.5, 10.0, 8.1)","(5.0, 99999, 99990)","(31.0, 110.0, 88.85714285714286)","(31.0, 75.0, 49.69230769230769)","(3.2, 4.8, 3.7666666666666666)","(3.9, 5.6, 4.859999999999999)"
05-01-2023 17:10:04.740305,"(3.8, 5.9, 5.116666666666667)","(21.0, 42.0, 26.333333333333332)","(6.5, 10.0, 8.1)","(5.0, 99999, 99990)","(31.0, 110.0, 88.85714285714286)","(31.0, 75.0, 49.69230769230769)","(3.2, 4.8, 3.7666666666666666)","(3.9, 5.6, 4.859999999999999)"
