,Daimyo,Strong Desire,London To A Brick,Young Son,Burkhardt Nz,Flashy Seb,King City Nz,Melpark Magic,Van Doren,Pharisee,Mascott
10-01-2023 12:44:44.076700,"(9.0, 19.0, 10.6)","(101.0, 220.0, 175.71428571428572)","(21.0, 65.0, 36.333333333333336)","(51.0, 140.0, 181.33333333333334)","(10.0, 99999, 99990)","(4.2, 9.4, 7.0)","(1.6, 99999, 99990)","(18.0, 44.0, 26.333333333333336)","(15.0, 46.0, 34.07692307692308)","(26.0, 90.0, 48.75)","(101.0, 220.0, 193.33333333333334)"
10-01-2023 12:44:46.035076,"(9.0, 19.0, 10.6)","(101.0, 220.0, 175.71428571428572)","(21.0, 65.0, 36.333333333333336)","(51.0, 210.0, 181.33333333333334)","(10.0, 99999, 99990)","(4.2, 9.4, 7.0)","(1.6, 99999, 99990)","(18.0, 44.0, 26.333333333333336)","(15.0, 46.0, 34.07692307692308)","(26.0, 90.0, 48.75)","(101.0, 220.0, 193.33333333333334)"
10-01-2023 12:44:47.953523,"(9.0, 19.0, 10.6)","(101.0, 220.0, 175.71428571428572)","(21.0, 65.0, 36.333333333333336)","(51.0, 200.0, 153.71428571428572)","(10.0, 99999, 99990)","(4.2, 9.4, 7.487500000000001)","(1.6, 99999, 99990)","(18.0, 44.0, 26.333333333333336)","(15.0, 46.0, 33.291666666666664)","(26.0, 90.0, 48.75)","(101.0, 220.0, 193.33333333333334)"
10-01-2023 12:44:49.803294,"(9.0, 19.0, 10.6)","(101.0, 220.0, 175.71428571428572)","(21.0, 65.0, 36.333333333333336)","(51.0, 200.0, 153.71428571428572)","(10.0, 99999, 99990)","(4.2, 9.4, 6.9)","(1.6, 99999, 99990)","(18.0, 44.0, 26.333333333333336)","(15.0, 46.0, 33.291666666666664)","(26.0, 90.0, 48.75)","(101.0, 220.0, 193.33333333333334)"
10-01-2023 12:44:51.633108,"(9.0, 19.0, 10.6)","(101.0, 220.0, 175.71428571428572)","(21.0, 65.0, 36.333333333333336)","(51.0, 200.0, 153.71428571428572)","(10.0, 99999, 99990)","(4.2, 9.4, 7.5625)","(1.6, 99999, 99990)","(18.0, 44.0, 26.333333333333336)","(15.0, 46.0, 33.291666666666664)","(26.0, 90.0, 48.75)","(101.0, 220.0, 193.33333333333334)"
10-01-2023 12:44:53.443838,"(9.0, 19.0, 10.6)","(101.0, 220.0, 175.71428571428572)","(21.0, 65.0, 36.333333333333336)","(51.0, 200.0, 153.71428571428572)","(10.0, 99999, 99990)","(4.2, 9.4, 7.5625)","(1.6, 99999, 99990)","(18.0, 44.0, 26.333333333333336)","(15.0, 46.0, 33.291666666666664)","(26.0, 90.0, 48.75)","(101.0, 220.0, 193.33333333333334)"
10-01-2023 12:44:55.133818,"(9.0, 19.0, 10.6)","(101.0, 220.0, 175.71428571428572)","(21.0, 65.0, 36.333333333333336)","(51.0, 200.0, 153.71428571428572)","(10.0, 99999, 99990)","(4.2, 9.4, 7.5625)","(1.6, 99999, 99990)","(18.0, 44.0, 26.333333333333336)","(15.0, 46.0, 33.291666666666664)","(26.0, 90.0, 48.75)","(101.0, 220.0, 193.33333333333334)"
10-01-2023 12:44:56.820530,"(9.0, 19.0, 10.6)","(101.0, 220.0, 175.71428571428572)","(21.0, 65.0, 36.333333333333336)","(51.0, 200.0, 153.71428571428572)","(10.0, 99999, 99990)","(4.2, 9.4, 7.5625)","(1.6, 99999, 99990)","(18.0, 44.0, 26.333333333333336)","(15.0, 46.0, 30.5)","(26.0, 90.0, 48.75)","(101.0, 220.0, 193.33333333333334)"
10-01-2023 12:44:58.537159,"(9.0, 19.0, 10.6)","(101.0, 220.0, 175.71428571428572)","(21.0, 65.0, 36.333333333333336)","(51.0, 200.0, 153.71428571428572)","(10.0, 99999, 99990)","(4.2, 9.4, 7.5625)","(1.6, 99999, 99990)","(18.0, 44.0, 26.333333333333336)","(15.0, 46.0, 30.5)","(26.0, 90.0, 48.75)","(101.0, 220.0, 193.33333333333334)"
10-01-2023 12:45:00.269152,"(9.0, 19.0, 10.6)","(101.0, 220.0, 175.71428571428572)","(21.0, 65.0, 36.333333333333336)","(51.0, 200.0, 153.71428571428572)","(10.0, 99999, 99990)","(4.2, 9.4, 7.5625)","(1.6, 99999, 99990)","(18.0, 44.0, 26.333333333333336)","(15.0, 46.0, 30.5)","(26.0, 90.0, 48.75)","(101.0, 220.0, 193.33333333333334)"
10-01-2023 12:45:01.967463,"(9.0, 19.0, 10.6)","(101.0, 220.0, 175.71428571428572)","(21.0, 65.0, 36.333333333333336)","(51.0, 200.0, 153.71428571428572)","(10.0, 99999, 99990)","(4.2, 9.4, 7.5625)","(1.6, 99999, 99990)","(18.0, 44.0, 26.333333333333336)","(15.0, 46.0, 30.5)","(26.0, 90.0, 48.75)","(101.0, 220.0, 193.33333333333334)"
10-01-2023 12:45:03.634550,"(9.0, 19.0, 10.6)","(101.0, 220.0, 175.71428571428572)","(21.0, 65.0, 36.333333333333336)","(51.0, 200.0, 153.71428571428572)","(10.0, 99999, 99990)","(4.2, 9.4, 7.5625)","(1.6, 99999, 99990)","(18.0, 44.0, 26.333333333333336)","(15.0, 46.0, 30.5)","(26.0, 90.0, 48.75)","(101.0, 220.0, 193.33333333333334)"
10-01-2023 12:45:05.215691,"(9.0, 19.0, 10.6)","(101.0, 220.0, 175.71428571428572)","(21.0, 65.0, 36.333333333333336)","(51.0, 200.0, 153.71428571428572)","(10.0, 99999, 99990)","(4.2, 9.4, 7.5625)","(1.6, 99999, 99990)","(18.0, 44.0, 26.333333333333336)","(15.0, 46.0, 30.5)","(26.0, 90.0, 48.75)","(101.0, 220.0, 193.33333333333334)"
10-01-2023 12:45:06.849834,"(9.0, 19.0, 10.6)","(101.0, 220.0, 164.0)","(21.0, 65.0, 29.166666666666668)","(51.0, 200.0, 119.0)","(10.0, 99999, 99990)","(4.2, 9.4, 7.5625)","(1.6, 99999, 99990)","(18.0, 44.0, 21.285714285714285)","(15.0, 46.0, 26.9375)","(26.0, 90.0, 42.0)","(101.0, 220.0, 162.0)"
10-01-2023 12:45:08.504525,"(9.0, 19.0, 10.6)","(101.0, 220.0, 164.0)","(21.0, 65.0, 29.166666666666668)","(51.0, 200.0, 119.0)","(10.0, 99999, 99990)","(4.2, 9.4, 7.5625)","(1.6, 99999, 99990)","(18.0, 44.0, 21.285714285714285)","(15.0, 46.0, 26.9375)","(26.0, 90.0, 42.0)","(101.0, 220.0, 162.0)"
10-01-2023 12:45:10.167094,"(9.0, 19.0, 10.6)","(101.0, 220.0, 164.0)","(21.0, 65.0, 29.166666666666668)","(51.0, 200.0, 119.0)","(10.0, 99999, 99990)","(4.2, 9.4, 7.5625)","(1.6, 99999, 99990)","(18.0, 44.0, 21.285714285714285)","(15.0, 46.0, 26.9375)","(26.0, 90.0, 42.0)","(101.0, 220.0, 162.0)"
