,Zing Zang Oscar,Sintra,Temerity Spirit,Blaze Victorem,Rolling Riot,Empress Eleven,Sunshot,Solar Circles
07-01-2023 10:09:38.548933,"(2.7, 3.65, 3.171785714285714)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:09:39.707797,"(2.7, 3.65, 3.171785714285714)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:09:40.851945,"(2.7, 3.65, 3.171785714285714)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:09:41.999288,"(2.7, 3.65, 3.171785714285714)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:09:43.062989,"(2.7, 3.65, 3.171785714285714)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:09:44.209592,"(2.7, 3.65, 3.171785714285714)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:09:45.302245,"(2.7, 3.65, 3.171785714285714)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:09:46.494216,"(2.7, 3.65, 3.171785714285714)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:09:47.749546,"(2.7, 3.65, 3.171785714285714)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:09:48.900052,"(2.7, 3.65, 3.171785714285714)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:09:50.127252,"(2.7, 3.65, 3.171785714285714)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:09:51.397698,"(2.7, 3.65, 3.171785714285714)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:09:52.655288,"(2.7, 3.65, 3.171785714285714)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:09:53.914047,"(2.7, 3.75, 3.225357142857143)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:09:55.209327,"(2.7, 3.75, 3.225357142857143)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:09:56.455963,"(2.7, 3.75, 3.225357142857143)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:09:57.658414,"(2.7, 3.75, 3.225357142857143)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:09:58.757604,"(2.7, 3.75, 3.225357142857143)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:09:59.940260,"(2.7, 3.75, 3.225357142857143)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
