,Miracle Mikey,Frothys Ponting,Clara Stella,Just Enough,Amazing Sienna,Max Inferno,Our Ruby
16-12-2022 12:48:52.418361,"(4.2, 8.4, 4.8125)","(5.5, 8.8, 6.08)","(3.9, 6.4, 5.909433962264151)","(4.0, 5.7, 5.42)","(4.0, 6.2, 5.825581395348838)","(14.0, 29.0, 27.4)","(17.0, 38.0, 26.75)"
16-12-2022 12:48:53.508462,"(4.2, 8.4, 4.9)","(5.5, 8.8, 6.08)","(3.9, 6.4, 5.909433962264151)","(4.0, 5.7, 5.42)","(4.0, 6.2, 5.825581395348838)","(14.0, 29.0, 27.4)","(17.0, 38.0, 26.75)"
16-12-2022 12:48:54.671170,"(4.2, 8.4, 4.9)","(5.5, 8.8, 6.08)","(3.9, 6.4, 5.909433962264151)","(4.0, 5.7, 5.42)","(4.0, 6.2, 5.825581395348838)","(14.0, 29.0, 27.4)","(17.0, 38.0, 26.75)"
16-12-2022 12:48:55.695706,"(4.2, 8.4, 4.9)","(5.5, 8.8, 6.08)","(3.9, 6.4, 5.909433962264151)","(4.0, 5.7, 5.42)","(4.0, 6.2, 5.825581395348838)","(14.0, 29.0, 27.4)","(17.0, 38.0, 26.75)"
16-12-2022 12:48:56.678435,"(4.2, 8.4, 7.145833333333334)","(5.5, 8.8, 6.08)","(3.9, 6.4, 5.909433962264151)","(4.0, 5.7, 5.42)","(4.0, 6.2, 5.825581395348838)","(14.0, 29.0, 27.4)","(17.0, 38.0, 26.75)"
16-12-2022 12:48:57.702055,"(4.2, 8.4, 4.7250000000000005)","(5.5, 8.8, 6.08)","(3.9, 6.4, 5.909433962264151)","(4.0, 5.7, 5.42)","(4.0, 6.2, 5.825581395348838)","(14.0, 29.0, 27.4)","(17.0, 38.0, 26.75)"
16-12-2022 12:48:58.743050,"(4.2, 8.4, 4.7250000000000005)","(5.5, 8.8, 6.08)","(3.9, 6.4, 5.909433962264151)","(4.0, 5.7, 5.42)","(4.0, 6.2, 5.825581395348838)","(14.0, 29.0, 27.4)","(17.0, 38.0, 26.75)"
16-12-2022 12:48:59.804787,"(4.2, 8.4, 4.7250000000000005)","(5.5, 8.8, 6.08)","(3.9, 6.4, 5.909433962264151)","(4.0, 5.7, 5.42)","(4.0, 6.2, 5.825581395348838)","(14.0, 29.0, 27.4)","(17.0, 38.0, 26.75)"
16-12-2022 12:49:00.845231,"(4.2, 8.4, 5.211111111111111)","(5.5, 8.8, 6.08)","(3.9, 6.4, 5.909433962264151)","(4.0, 5.7, 5.42)","(4.0, 6.2, 5.825581395348838)","(14.0, 29.0, 27.4)","(17.0, 38.0, 26.75)"
16-12-2022 12:49:01.939798,"(4.2, 8.4, 5.211111111111111)","(5.5, 8.8, 6.08)","(3.9, 6.4, 5.909433962264151)","(4.0, 5.7, 5.42)","(4.0, 6.2, 5.825581395348838)","(14.0, 29.0, 27.4)","(17.0, 38.0, 26.75)"
16-12-2022 12:49:03.129036,"(4.2, 8.4, 5.211111111111111)","(5.5, 8.8, 6.08)","(3.9, 6.4, 5.909433962264151)","(4.0, 5.7, 5.42)","(4.0, 6.2, 5.825581395348838)","(14.0, 29.0, 27.4)","(17.0, 38.0, 26.75)"
16-12-2022 12:49:04.192241,"(4.2, 8.4, 5.211111111111111)","(5.5, 8.8, 6.08)","(3.9, 6.4, 5.909433962264151)","(4.0, 5.7, 5.42)","(4.0, 6.2, 5.825581395348838)","(14.0, 29.0, 27.4)","(17.0, 38.0, 26.75)"
16-12-2022 12:49:05.246230,"(4.2, 8.4, 5.211111111111111)","(5.5, 8.8, 6.08)","(3.9, 6.4, 5.909433962264151)","(4.0, 5.7, 5.42)","(4.0, 6.2, 5.825581395348838)","(14.0, 29.0, 27.4)","(17.0, 38.0, 26.75)"
16-12-2022 12:49:06.282385,"(4.2, 8.4, 5.211111111111111)","(5.5, 8.8, 6.08)","(3.9, 6.4, 5.909433962264151)","(4.0, 5.7, 5.42)","(4.0, 6.2, 5.825581395348838)","(14.0, 29.0, 27.4)","(17.0, 38.0, 26.75)"
16-12-2022 12:49:07.379205,"(4.2, 8.4, 5.211111111111111)","(5.5, 8.8, 6.08)","(3.9, 6.4, 5.909433962264151)","(4.0, 5.7, 5.42)","(4.0, 6.2, 5.825581395348838)","(14.0, 29.0, 27.4)","(17.0, 38.0, 26.75)"
16-12-2022 12:49:08.450464,"(4.2, 8.4, 5.211111111111111)","(5.5, 8.8, 6.08)","(3.9, 6.4, 5.909433962264151)","(4.0, 5.7, 5.42)","(4.0, 6.2, 5.825581395348838)","(14.0, 29.0, 27.4)","(17.0, 38.0, 26.75)"
