,Goldstar Farryn,Torpedo Bay,Homebush Cheeky,Angry Jane,Homebush Yoshi,Goldstar Royal,Amuri Luck
09-01-2023 09:02:06.965420,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:07.953133,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:08.866240,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:09.811516,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:10.817574,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:11.866056,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:12.920472,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:13.989041,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:15.000478,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:15.928221,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
