,Euro Beat Nz,Oursouthernstar,Mister Haywood,Voodoo Lou,London Legs,Eagle Commander,Dark Terror
11-01-2023 18:22:24.053785,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 24.6)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:25.090039,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 24.6)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:26.104898,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 24.6)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:27.137953,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 24.6)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:28.188049,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 24.6)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:29.170601,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 24.6)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:30.138165,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 24.6)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:31.221053,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 24.6)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:32.371408,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 24.6)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:33.521230,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 24.6)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
