,Latrell,Human Touch,Emma Bundock,Faster Than Hoot,Coruba,Umagico
09-01-2023 18:46:18.085251,"(2.4, 3.05, 3.03253164556962)","(10.0, 20.0, 15.25)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.5, 2.788888888888889)"
09-01-2023 18:46:19.145111,"(2.4, 3.05, 3.03253164556962)","(10.0, 20.0, 15.25)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.5, 2.788888888888889)"
09-01-2023 18:46:20.148660,"(2.4, 3.05, 3.03253164556962)","(10.0, 20.0, 15.25)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.5, 2.788888888888889)"
09-01-2023 18:46:21.197366,"(2.4, 3.05, 3.03253164556962)","(10.0, 20.0, 15.25)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.5, 2.788888888888889)"
09-01-2023 18:46:22.224067,"(2.4, 3.05, 3.03253164556962)","(10.0, 20.0, 15.25)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.5, 2.788888888888889)"
09-01-2023 18:46:23.237501,"(2.4, 3.05, 3.03253164556962)","(10.0, 20.0, 15.25)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.5, 2.788888888888889)"
09-01-2023 18:46:24.179094,"(2.4, 3.05, 3.03253164556962)","(10.0, 20.0, 15.25)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.5, 2.788888888888889)"
09-01-2023 18:46:25.094878,"(2.4, 3.05, 3.03253164556962)","(10.0, 20.0, 15.25)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.5, 2.788888888888889)"
09-01-2023 18:46:26.061626,"(2.4, 3.05, 3.03253164556962)","(10.0, 20.0, 15.25)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.5, 2.788888888888889)"
09-01-2023 18:46:27.096900,"(2.4, 3.05, 3.03253164556962)","(10.0, 20.0, 15.25)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.5, 2.788888888888889)"
09-01-2023 18:46:28.227050,"(2.4, 3.05, 3.03253164556962)","(10.0, 20.0, 15.25)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.5, 2.7833333333333337)"
09-01-2023 18:46:29.565798,"(2.4, 3.05, 3.03253164556962)","(10.0, 20.0, 15.25)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.45, 2.7833333333333337)"
