,Joyous Sensation,Princess Warrior,Bush Tiger,High Action,Trojan Package,Joey Mac,Coco Lilly,Fly Havoc
10-01-2023 15:09:11.288110,"(6.0, 10.0, 8.633333333333333)","(81.0, 580.0, 522.7777777777778)","(7.5, 14.5, 8.757142857142856)","(4.2, 7.4, 4.84)","(2.0, 2.18, 2.005)","(10.0, 30.0, 20.714285714285715)","(13.0, 28.0, 17.666666666666668)","(11.0, 22.0, 15.61111111111111)"
10-01-2023 15:09:12.489570,"(6.0, 10.0, 8.633333333333333)","(81.0, 580.0, 522.7777777777778)","(7.5, 14.5, 8.757142857142856)","(4.2, 7.4, 4.84)","(2.0, 2.18, 2.005)","(10.0, 30.0, 20.714285714285715)","(13.0, 28.0, 17.666666666666668)","(11.0, 22.0, 15.61111111111111)"
10-01-2023 15:09:13.674316,"(6.0, 10.0, 8.633333333333333)","(81.0, 580.0, 522.7777777777778)","(7.5, 14.5, 8.757142857142856)","(4.2, 7.4, 4.84)","(2.0, 2.18, 2.005)","(10.0, 30.0, 20.714285714285715)","(13.0, 28.0, 17.666666666666668)","(11.0, 22.0, 15.61111111111111)"
10-01-2023 15:09:14.791838,"(6.0, 10.0, 8.633333333333333)","(81.0, 580.0, 522.7777777777778)","(7.5, 14.5, 8.757142857142856)","(4.2, 7.4, 4.84)","(2.0, 2.18, 2.005)","(10.0, 30.0, 20.714285714285715)","(13.0, 28.0, 17.666666666666668)","(11.0, 22.0, 15.61111111111111)"
10-01-2023 15:09:15.926104,"(6.0, 10.0, 8.633333333333333)","(81.0, 580.0, 522.7777777777778)","(7.5, 14.5, 8.757142857142856)","(4.2, 7.4, 4.84)","(2.0, 2.18, 2.005)","(10.0, 30.0, 20.714285714285715)","(13.0, 28.0, 17.666666666666668)","(11.0, 22.0, 15.61111111111111)"
10-01-2023 15:09:17.098544,"(6.0, 10.0, 8.633333333333333)","(81.0, 580.0, 522.7777777777778)","(7.5, 14.5, 8.757142857142856)","(4.2, 7.4, 4.84)","(2.0, 2.18, 2.005)","(10.0, 30.0, 20.714285714285715)","(13.0, 28.0, 17.666666666666668)","(11.0, 22.0, 15.61111111111111)"
10-01-2023 15:09:18.288295,"(6.0, 10.0, 8.633333333333333)","(81.0, 580.0, 522.7777777777778)","(7.5, 14.5, 8.757142857142856)","(4.2, 7.4, 4.84)","(2.0, 2.18, 2.005)","(10.0, 30.0, 20.714285714285715)","(13.0, 28.0, 17.666666666666668)","(11.0, 22.0, 15.61111111111111)"
10-01-2023 15:09:19.689297,"(6.0, 10.0, 8.633333333333333)","(81.0, 580.0, 522.7777777777778)","(7.5, 14.5, 8.757142857142856)","(4.2, 7.4, 4.84)","(2.0, 2.18, 2.005)","(10.0, 30.0, 20.714285714285715)","(13.0, 28.0, 17.666666666666668)","(11.0, 22.0, 15.61111111111111)"
10-01-2023 15:09:21.051660,"(6.0, 10.0, 8.633333333333333)","(81.0, 580.0, 522.7777777777778)","(7.5, 14.5, 8.757142857142856)","(4.2, 7.4, 4.84)","(2.0, 2.18, 2.005)","(10.0, 30.0, 20.714285714285715)","(13.0, 28.0, 17.666666666666668)","(11.0, 22.0, 15.61111111111111)"
10-01-2023 15:09:22.382955,"(6.0, 10.0, 8.633333333333333)","(81.0, 580.0, 522.7777777777778)","(7.5, 14.5, 8.757142857142856)","(4.2, 7.4, 4.84)","(2.0, 2.18, 2.005)","(10.0, 30.0, 20.714285714285715)","(13.0, 28.0, 17.666666666666668)","(11.0, 22.0, 15.61111111111111)"
