,Bull Dimple Rum,Bullet Hero,Kobestar,Midnight Rambler,Scenic Rim,Hyde,Gunmetal Girl,Sumnamilla,Shadie Milly
07-01-2023 15:10:26.489340,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 17.0, 15.166666666666666)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.857142857142858)","(101.0, 220.0, 170.0)"
07-01-2023 15:10:27.697554,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 17.0, 15.166666666666666)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.857142857142858)","(101.0, 220.0, 170.0)"
07-01-2023 15:10:29.007614,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 17.0, 15.166666666666666)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.857142857142858)","(101.0, 220.0, 170.0)"
07-01-2023 15:10:30.302513,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 17.0, 15.166666666666666)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.857142857142858)","(101.0, 220.0, 170.0)"
07-01-2023 15:10:31.533423,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 17.0, 15.166666666666666)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.857142857142858)","(101.0, 220.0, 170.0)"
07-01-2023 15:10:32.666498,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 17.0, 15.166666666666666)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.857142857142858)","(101.0, 220.0, 170.0)"
07-01-2023 15:10:33.912653,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 17.0, 15.166666666666666)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.857142857142858)","(101.0, 220.0, 170.0)"
07-01-2023 15:10:35.199863,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 17.0, 15.166666666666666)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.857142857142858)","(101.0, 220.0, 170.0)"
07-01-2023 15:10:36.468347,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 17.0, 15.166666666666666)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.857142857142858)","(101.0, 220.0, 170.0)"
07-01-2023 15:10:37.735825,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 17.0, 15.166666666666666)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:10:38.992514,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 17.0, 14.5)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:10:40.207236,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 17.0, 14.5)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:10:41.437683,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 17.0, 14.5)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:10:42.600618,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 17.0, 14.5)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:10:43.752473,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 17.0, 14.5)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:10:45.026937,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 17.0, 14.5)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:10:46.260957,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 17.0, 14.5)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:10:47.581546,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 17.0, 14.5)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:10:48.753051,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 17.0, 14.5)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:10:49.969633,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 13.125)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:10:51.274137,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 13.125)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:10:52.643669,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 13.125)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:10:53.952629,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 13.125)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
