,Stacked Deck,Moonlit Picture,Tranquil Ben,Skylahs Misfit,Little Gomez,Kingsbrae Anna,Mundy Valley,Leon Kingsbrae
12-01-2023 12:38:32.780808,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.82)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.84, 2.309090909090909)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:38:33.889239,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.82)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.8, 2.309090909090909)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:38:34.942590,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.82)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.8, 2.309090909090909)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:38:36.008849,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.82)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.8, 2.309090909090909)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:38:37.081304,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.82)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.8, 2.309090909090909)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:38:38.117323,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.82)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.8, 2.309090909090909)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:38:39.193315,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.5625)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.8, 2.309090909090909)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:38:40.177565,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.5625)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.8, 2.309090909090909)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:38:41.276198,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.582352941176471)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.8, 2.309090909090909)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:38:42.379274,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.582352941176471)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.8, 2.309090909090909)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:38:43.418259,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.582352941176471)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.8, 2.309090909090909)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:38:44.541297,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.582352941176471)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.8, 2.309090909090909)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:38:45.777984,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.582352941176471)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.8, 2.309090909090909)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:38:46.819484,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.582352941176471)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.8, 2.309090909090909)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:38:47.881765,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.582352941176471)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.8, 2.309090909090909)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:38:49.012506,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.582352941176471)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.8, 2.309090909090909)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:38:50.234041,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.582352941176471)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.8, 2.309090909090909)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:38:51.411449,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.582352941176471)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.8, 2.309090909090909)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:38:52.499262,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.582352941176471)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.8, 2.309090909090909)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:38:53.609958,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.582352941176471)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.8, 2.309090909090909)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
