,Nicko Ed,Gucci Green,Saint Madix,Tiger Zoe,Eskimo Roger,Chloes Comet,Rebels Spark,Just Enough
05-01-2023 16:29:16.321060,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:17.357193,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:18.363365,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:19.581790,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:20.588416,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:21.706733,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:22.831007,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:23.921312,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:24.969769,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:25.971125,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:26.997149,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:28.039726,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:29.042583,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:30.043680,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:31.067690,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:32.286127,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:33.486056,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:34.770613,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:35.911254,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:36.971936,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 44.72727272727273)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 12.066666666666666)","(10.0, 24.0, 16.11111111111111)"
05-01-2023 16:29:38.141240,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:29:39.252180,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:29:40.298119,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:29:41.391949,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:29:42.422838,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:29:43.403952,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:29:44.478871,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
