,Tokyo Dreamer,Shian Ned,Velocity Queue,Japanese Chica,Shakey Country,Job Done,Perfect Mate,Genius You
11-01-2023 21:33:08.312166,"(5.0, 12.0, 5.914285714285715)","(5.5, 8.4, 8.117241379310345)","(21.0, 90.0, 41.27272727272727)","(9.0, 24.0, 14.9)","(61.0, 550.0, 496.6666666666667)","(1.75, 2.84, 1.8316666666666666)","(11.0, 27.0, 24.1)","(8.5, 18.0, 14.8)"
11-01-2023 21:33:09.458840,"(5.0, 12.0, 5.914285714285715)","(5.5, 8.8, 8.117241379310345)","(21.0, 90.0, 41.27272727272727)","(9.0, 24.0, 19.450000000000003)","(61.0, 550.0, 496.6666666666667)","(1.75, 2.84, 1.8316666666666666)","(11.0, 27.0, 24.1)","(8.5, 18.0, 14.8)"
11-01-2023 21:33:10.559614,"(5.0, 12.0, 9.697297297297297)","(5.5, 8.6, 8.352)","(21.0, 90.0, 41.27272727272727)","(9.0, 24.0, 19.450000000000003)","(61.0, 550.0, 496.6666666666667)","(1.75, 2.84, 1.8316666666666666)","(11.0, 27.0, 24.1)","(8.5, 18.0, 14.8)"
11-01-2023 21:33:11.594968,"(5.0, 12.0, 10.106666666666666)","(5.5, 8.6, 8.352)","(21.0, 90.0, 41.27272727272727)","(9.0, 24.0, 19.450000000000003)","(61.0, 550.0, 496.6666666666667)","(1.75, 2.84, 1.8316666666666666)","(11.0, 27.0, 24.1)","(8.5, 18.0, 14.8)"
11-01-2023 21:33:12.646412,"(5.0, 12.0, 10.106666666666666)","(5.5, 8.6, 8.352)","(21.0, 90.0, 41.27272727272727)","(9.0, 24.0, 19.450000000000003)","(61.0, 550.0, 496.6666666666667)","(1.75, 2.84, 1.8316666666666666)","(11.0, 27.0, 24.1)","(8.5, 18.0, 14.8)"
11-01-2023 21:33:13.713095,"(5.0, 12.0, 10.106666666666666)","(5.5, 8.6, 8.352)","(21.0, 90.0, 41.27272727272727)","(9.0, 24.0, 19.450000000000003)","(61.0, 550.0, 496.6666666666667)","(1.75, 2.84, 1.8316666666666666)","(11.0, 27.0, 24.1)","(8.5, 18.0, 14.8)"
11-01-2023 21:33:14.721752,"(5.0, 12.0, 10.106666666666666)","(5.5, 8.6, 8.352)","(21.0, 90.0, 41.27272727272727)","(9.0, 24.0, 19.450000000000003)","(61.0, 550.0, 496.6666666666667)","(1.75, 2.84, 1.8316666666666666)","(11.0, 27.0, 24.1)","(8.5, 18.0, 14.8)"
11-01-2023 21:33:15.805917,"(5.0, 12.0, 10.106666666666666)","(5.5, 8.6, 8.352)","(21.0, 90.0, 41.27272727272727)","(9.0, 24.0, 19.450000000000003)","(61.0, 550.0, 496.6666666666667)","(1.75, 2.84, 1.8316666666666666)","(11.0, 27.0, 24.1)","(8.5, 18.0, 14.8)"
11-01-2023 21:33:16.870059,"(5.0, 12.0, 10.106666666666666)","(5.5, 8.6, 8.352)","(21.0, 90.0, 41.27272727272727)","(9.0, 24.0, 19.450000000000003)","(61.0, 550.0, 496.6666666666667)","(1.75, 2.84, 1.8316666666666666)","(11.0, 27.0, 24.1)","(8.5, 18.0, 14.8)"
11-01-2023 21:33:17.956222,"(5.0, 12.0, 10.106666666666666)","(5.5, 8.8, 8.117241379310345)","(21.0, 90.0, 41.27272727272727)","(9.0, 24.0, 19.450000000000003)","(61.0, 550.0, 496.6666666666667)","(1.75, 2.84, 1.8316666666666666)","(11.0, 27.0, 24.1)","(8.5, 18.0, 14.8)"
11-01-2023 21:33:19.030701,"(5.0, 12.0, 10.106666666666666)","(5.5, 9.6, 8.751724137931035)","(21.0, 90.0, 41.27272727272727)","(9.0, 24.0, 19.450000000000003)","(61.0, 550.0, 496.6666666666667)","(1.75, 2.84, 1.8316666666666666)","(11.0, 27.0, 24.1)","(8.5, 18.0, 14.8)"
11-01-2023 21:33:20.074046,"(5.0, 12.0, 10.106666666666666)","(5.5, 9.4, 8.393548387096775)","(21.0, 90.0, 41.27272727272727)","(9.0, 24.0, 19.450000000000003)","(61.0, 550.0, 496.6666666666667)","(1.75, 2.84, 1.8316666666666666)","(11.0, 27.0, 24.1)","(8.5, 18.0, 14.8)"
11-01-2023 21:33:21.185983,"(5.0, 12.0, 10.106666666666666)","(5.5, 9.4, 8.393548387096775)","(21.0, 90.0, 41.27272727272727)","(9.0, 24.0, 19.450000000000003)","(61.0, 550.0, 496.6666666666667)","(1.75, 2.84, 1.8316666666666666)","(11.0, 27.0, 24.1)","(8.5, 18.0, 14.8)"
11-01-2023 21:33:22.214164,"(5.0, 12.0, 10.106666666666666)","(5.5, 9.4, 8.393548387096775)","(21.0, 90.0, 41.27272727272727)","(9.0, 24.0, 19.450000000000003)","(61.0, 550.0, 496.6666666666667)","(1.75, 2.84, 1.8316666666666666)","(11.0, 27.0, 24.1)","(8.5, 18.0, 14.8)"
11-01-2023 21:33:23.259343,"(5.0, 12.0, 10.106666666666666)","(5.5, 9.4, 8.393548387096775)","(21.0, 90.0, 41.27272727272727)","(9.0, 24.0, 19.450000000000003)","(61.0, 550.0, 496.6666666666667)","(1.75, 2.84, 1.8316666666666666)","(11.0, 27.0, 24.1)","(8.5, 18.0, 14.8)"
11-01-2023 21:33:24.268264,"(5.0, 12.0, 10.106666666666666)","(5.5, 9.4, 8.393548387096775)","(21.0, 90.0, 41.27272727272727)","(9.0, 24.0, 19.450000000000003)","(61.0, 550.0, 496.6666666666667)","(1.75, 2.84, 1.8316666666666666)","(11.0, 27.0, 24.1)","(8.5, 18.0, 14.8)"
