,Aces Daughter,Manonthemoon,Amore Rock,Steinman Nz,Above Average,The Sneaky Fox,Springfield Affair,Kahina,Golden Jaylet,Barney Fella
0,"[datetime.datetime(2022, 11, 28, 16, 55, 21, 727333), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 16, 55, 21, 727333), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 16, 55, 21, 727333), 1.6, 1.78]","[datetime.datetime(2022, 11, 28, 16, 55, 21, 727333), 10.0, 99999]","[datetime.datetime(2022, 11, 28, 16, 55, 21, 727333), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 55, 21, 727333), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 55, 21, 727333), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 55, 21, 727333), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 16, 55, 21, 727333), 101.0, 350.0]","[datetime.datetime(2022, 11, 28, 16, 55, 21, 727333), 31.0, 46.0]"
1,"[datetime.datetime(2022, 11, 28, 16, 55, 23, 94378), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 16, 55, 23, 94378), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 16, 55, 23, 94378), 1.6, 1.78]","[datetime.datetime(2022, 11, 28, 16, 55, 23, 94378), 10.0, 99999]","[datetime.datetime(2022, 11, 28, 16, 55, 23, 94378), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 55, 23, 94378), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 55, 23, 94378), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 55, 23, 94378), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 16, 55, 23, 94378), 101.0, 350.0]","[datetime.datetime(2022, 11, 28, 16, 55, 23, 94378), 31.0, 46.0]"
2,"[datetime.datetime(2022, 11, 28, 16, 55, 24, 381598), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 16, 55, 24, 381598), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 16, 55, 24, 381598), 1.6, 1.78]","[datetime.datetime(2022, 11, 28, 16, 55, 24, 381598), 10.0, 99999]","[datetime.datetime(2022, 11, 28, 16, 55, 24, 381598), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 55, 24, 381598), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 55, 24, 381598), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 55, 24, 381598), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 16, 55, 24, 381598), 101.0, 350.0]","[datetime.datetime(2022, 11, 28, 16, 55, 24, 381598), 31.0, 46.0]"
3,"[datetime.datetime(2022, 11, 28, 16, 55, 25, 707162), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 16, 55, 25, 707162), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 16, 55, 25, 707162), 1.6, 1.78]","[datetime.datetime(2022, 11, 28, 16, 55, 25, 707162), 10.0, 99999]","[datetime.datetime(2022, 11, 28, 16, 55, 25, 707162), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 55, 25, 707162), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 55, 25, 707162), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 55, 25, 707162), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 16, 55, 25, 707162), 101.0, 350.0]","[datetime.datetime(2022, 11, 28, 16, 55, 25, 707162), 31.0, 46.0]"
4,"[datetime.datetime(2022, 11, 28, 16, 55, 27, 38955), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 16, 55, 27, 38955), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 16, 55, 27, 38955), 1.6, 1.78]","[datetime.datetime(2022, 11, 28, 16, 55, 27, 38955), 10.0, 99999]","[datetime.datetime(2022, 11, 28, 16, 55, 27, 38955), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 55, 27, 38955), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 55, 27, 38955), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 55, 27, 38955), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 16, 55, 27, 38955), 101.0, 350.0]","[datetime.datetime(2022, 11, 28, 16, 55, 27, 38955), 31.0, 46.0]"
5,"[datetime.datetime(2022, 11, 28, 16, 55, 28, 316490), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 16, 55, 28, 316490), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 16, 55, 28, 316490), 1.6, 1.78]","[datetime.datetime(2022, 11, 28, 16, 55, 28, 316490), 10.0, 99999]","[datetime.datetime(2022, 11, 28, 16, 55, 28, 316490), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 55, 28, 316490), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 55, 28, 316490), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 55, 28, 316490), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 16, 55, 28, 316490), 101.0, 350.0]","[datetime.datetime(2022, 11, 28, 16, 55, 28, 316490), 31.0, 46.0]"
6,"[datetime.datetime(2022, 11, 28, 16, 55, 29, 593539), 6.0, 9.8]","[datetime.datetime(2022, 11, 28, 16, 55, 29, 593539), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 16, 55, 29, 593539), 1.6, 1.78]","[datetime.datetime(2022, 11, 28, 16, 55, 29, 593539), 10.0, 99999]","[datetime.datetime(2022, 11, 28, 16, 55, 29, 593539), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 55, 29, 593539), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 55, 29, 593539), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 55, 29, 593539), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 16, 55, 29, 593539), 101.0, 350.0]","[datetime.datetime(2022, 11, 28, 16, 55, 29, 593539), 31.0, 46.0]"
7,"[datetime.datetime(2022, 11, 28, 16, 55, 30, 836076), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 16, 55, 30, 836076), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 16, 55, 30, 836076), 1.6, 1.78]","[datetime.datetime(2022, 11, 28, 16, 55, 30, 836076), 10.0, 99999]","[datetime.datetime(2022, 11, 28, 16, 55, 30, 836076), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 55, 30, 836076), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 55, 30, 836076), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 55, 30, 836076), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 16, 55, 30, 836076), 101.0, 350.0]","[datetime.datetime(2022, 11, 28, 16, 55, 30, 836076), 31.0, 46.0]"
8,"[datetime.datetime(2022, 11, 28, 16, 55, 32, 116397), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 55, 32, 116397), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 16, 55, 32, 116397), 1.6, 1.78]","[datetime.datetime(2022, 11, 28, 16, 55, 32, 116397), 10.0, 99999]","[datetime.datetime(2022, 11, 28, 16, 55, 32, 116397), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 55, 32, 116397), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 55, 32, 116397), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 55, 32, 116397), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 16, 55, 32, 116397), 101.0, 350.0]","[datetime.datetime(2022, 11, 28, 16, 55, 32, 116397), 31.0, 46.0]"
9,"[datetime.datetime(2022, 11, 28, 16, 55, 33, 384509), 6.0, 9.4]","[datetime.datetime(2022, 11, 28, 16, 55, 33, 384509), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 16, 55, 33, 384509), 1.6, 1.78]","[datetime.datetime(2022, 11, 28, 16, 55, 33, 384509), 10.0, 99999]","[datetime.datetime(2022, 11, 28, 16, 55, 33, 384509), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 55, 33, 384509), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 55, 33, 384509), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 55, 33, 384509), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 16, 55, 33, 384509), 101.0, 350.0]","[datetime.datetime(2022, 11, 28, 16, 55, 33, 384509), 31.0, 46.0]"
10,"[datetime.datetime(2022, 11, 28, 16, 55, 34, 722127), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 16, 55, 34, 722127), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 16, 55, 34, 722127), 1.6, 1.78]","[datetime.datetime(2022, 11, 28, 16, 55, 34, 722127), 10.0, 99999]","[datetime.datetime(2022, 11, 28, 16, 55, 34, 722127), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 55, 34, 722127), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 55, 34, 722127), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 55, 34, 722127), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 16, 55, 34, 722127), 101.0, 350.0]","[datetime.datetime(2022, 11, 28, 16, 55, 34, 722127), 31.0, 46.0]"
11,"[datetime.datetime(2022, 11, 28, 16, 55, 35, 991138), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 55, 35, 991138), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 16, 55, 35, 991138), 1.6, 1.78]","[datetime.datetime(2022, 11, 28, 16, 55, 35, 991138), 10.0, 99999]","[datetime.datetime(2022, 11, 28, 16, 55, 35, 991138), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 55, 35, 991138), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 55, 35, 991138), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 55, 35, 991138), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 16, 55, 35, 991138), 101.0, 350.0]","[datetime.datetime(2022, 11, 28, 16, 55, 35, 991138), 31.0, 46.0]"
12,"[datetime.datetime(2022, 11, 28, 16, 55, 37, 304704), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 55, 37, 304704), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 16, 55, 37, 304704), 1.6, 1.78]","[datetime.datetime(2022, 11, 28, 16, 55, 37, 304704), 10.0, 99999]","[datetime.datetime(2022, 11, 28, 16, 55, 37, 304704), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 16, 55, 37, 304704), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 16, 55, 37, 304704), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 16, 55, 37, 304704), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 16, 55, 37, 304704), 101.0, 350.0]","[datetime.datetime(2022, 11, 28, 16, 55, 37, 304704), 31.0, 46.0]"
