,Manoeuver Man,Bella Sofia,Farasthe Eyecansee,Final Round,Growlers Last,Giant Jackson,Sorrento
0,"[datetime.datetime(2022, 11, 28, 12, 40, 48, 980676), 20.0, 40.0]","[datetime.datetime(2022, 11, 28, 12, 40, 48, 980676), 6.0, 8.8]","[datetime.datetime(2022, 11, 28, 12, 40, 48, 980676), 71.0, 300.0]","[datetime.datetime(2022, 11, 28, 12, 40, 48, 980676), 19.0, 44.0]","[datetime.datetime(2022, 11, 28, 12, 40, 48, 980676), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 12, 40, 48, 980676), 41.0, 65.0]","[datetime.datetime(2022, 11, 28, 12, 40, 48, 980676), 1.28, 1.93]"
1,"[datetime.datetime(2022, 11, 28, 12, 40, 50, 158033), 20.0, 40.0]","[datetime.datetime(2022, 11, 28, 12, 40, 50, 158033), 6.0, 8.8]","[datetime.datetime(2022, 11, 28, 12, 40, 50, 158033), 71.0, 300.0]","[datetime.datetime(2022, 11, 28, 12, 40, 50, 158033), 19.0, 44.0]","[datetime.datetime(2022, 11, 28, 12, 40, 50, 158033), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 12, 40, 50, 158033), 41.0, 65.0]","[datetime.datetime(2022, 11, 28, 12, 40, 50, 158033), 1.28, 1.93]"
2,"[datetime.datetime(2022, 11, 28, 12, 40, 51, 328249), 20.0, 40.0]","[datetime.datetime(2022, 11, 28, 12, 40, 51, 328249), 6.0, 8.8]","[datetime.datetime(2022, 11, 28, 12, 40, 51, 328249), 71.0, 300.0]","[datetime.datetime(2022, 11, 28, 12, 40, 51, 328249), 19.0, 44.0]","[datetime.datetime(2022, 11, 28, 12, 40, 51, 328249), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 12, 40, 51, 328249), 41.0, 65.0]","[datetime.datetime(2022, 11, 28, 12, 40, 51, 328249), 1.28, 1.93]"
3,"[datetime.datetime(2022, 11, 28, 12, 40, 52, 491681), 20.0, 40.0]","[datetime.datetime(2022, 11, 28, 12, 40, 52, 491681), 6.0, 8.8]","[datetime.datetime(2022, 11, 28, 12, 40, 52, 491681), 71.0, 300.0]","[datetime.datetime(2022, 11, 28, 12, 40, 52, 491681), 19.0, 44.0]","[datetime.datetime(2022, 11, 28, 12, 40, 52, 491681), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 12, 40, 52, 491681), 41.0, 65.0]","[datetime.datetime(2022, 11, 28, 12, 40, 52, 491681), 1.28, 1.93]"
4,"[datetime.datetime(2022, 11, 28, 12, 40, 53, 674377), 20.0, 40.0]","[datetime.datetime(2022, 11, 28, 12, 40, 53, 674377), 6.0, 8.8]","[datetime.datetime(2022, 11, 28, 12, 40, 53, 674377), 71.0, 300.0]","[datetime.datetime(2022, 11, 28, 12, 40, 53, 674377), 19.0, 44.0]","[datetime.datetime(2022, 11, 28, 12, 40, 53, 674377), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 12, 40, 53, 674377), 41.0, 65.0]","[datetime.datetime(2022, 11, 28, 12, 40, 53, 674377), 1.28, 1.93]"
5,"[datetime.datetime(2022, 11, 28, 12, 40, 54, 925647), 20.0, 40.0]","[datetime.datetime(2022, 11, 28, 12, 40, 54, 925647), 6.0, 8.8]","[datetime.datetime(2022, 11, 28, 12, 40, 54, 925647), 71.0, 300.0]","[datetime.datetime(2022, 11, 28, 12, 40, 54, 925647), 19.0, 44.0]","[datetime.datetime(2022, 11, 28, 12, 40, 54, 925647), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 12, 40, 54, 925647), 41.0, 65.0]","[datetime.datetime(2022, 11, 28, 12, 40, 54, 925647), 1.28, 1.93]"
6,"[datetime.datetime(2022, 11, 28, 12, 40, 56, 103535), 20.0, 40.0]","[datetime.datetime(2022, 11, 28, 12, 40, 56, 103535), 6.0, 8.8]","[datetime.datetime(2022, 11, 28, 12, 40, 56, 103535), 71.0, 300.0]","[datetime.datetime(2022, 11, 28, 12, 40, 56, 103535), 19.0, 44.0]","[datetime.datetime(2022, 11, 28, 12, 40, 56, 103535), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 12, 40, 56, 103535), 41.0, 65.0]","[datetime.datetime(2022, 11, 28, 12, 40, 56, 103535), 1.28, 1.93]"
7,"[datetime.datetime(2022, 11, 28, 12, 40, 57, 275556), 20.0, 40.0]","[datetime.datetime(2022, 11, 28, 12, 40, 57, 275556), 6.0, 8.8]","[datetime.datetime(2022, 11, 28, 12, 40, 57, 275556), 71.0, 300.0]","[datetime.datetime(2022, 11, 28, 12, 40, 57, 275556), 19.0, 44.0]","[datetime.datetime(2022, 11, 28, 12, 40, 57, 275556), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 12, 40, 57, 275556), 41.0, 65.0]","[datetime.datetime(2022, 11, 28, 12, 40, 57, 275556), 1.28, 1.93]"
8,"[datetime.datetime(2022, 11, 28, 12, 40, 58, 446895), 20.0, 40.0]","[datetime.datetime(2022, 11, 28, 12, 40, 58, 446895), 6.0, 8.8]","[datetime.datetime(2022, 11, 28, 12, 40, 58, 446895), 71.0, 300.0]","[datetime.datetime(2022, 11, 28, 12, 40, 58, 446895), 19.0, 44.0]","[datetime.datetime(2022, 11, 28, 12, 40, 58, 446895), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 12, 40, 58, 446895), 41.0, 65.0]","[datetime.datetime(2022, 11, 28, 12, 40, 58, 446895), 1.28, 1.93]"
9,"[datetime.datetime(2022, 11, 28, 12, 40, 59, 613189), 20.0, 40.0]","[datetime.datetime(2022, 11, 28, 12, 40, 59, 613189), 6.0, 8.8]","[datetime.datetime(2022, 11, 28, 12, 40, 59, 613189), 71.0, 300.0]","[datetime.datetime(2022, 11, 28, 12, 40, 59, 613189), 19.0, 44.0]","[datetime.datetime(2022, 11, 28, 12, 40, 59, 613189), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 12, 40, 59, 613189), 41.0, 65.0]","[datetime.datetime(2022, 11, 28, 12, 40, 59, 613189), 1.28, 1.93]"
