,Downtown Lucca,Sporting Tristar,Uptotrix,Cronin,Melati Boy,Tackas Last Dance,Malibu Dream,Wheres Our Money,Lady Lagertha Nz,Muddy Montana
10-01-2023 20:11:01.726502,"(2.7, 5.6, 3.733333333333333)","(11.0, 21.0, 14.0)","(2.6, 3.15, 2.623333333333333)","(101.0, 220.0, 173.33333333333331)","(16.0, 46.0, 36.0)","(61.0, 220.0, 191.8181818181818)","(9.0, 25.0, 14.333333333333332)","(8.0, 21.0, 15.285714285714285)","(7.5, 99999, 99990)","(71.0, 220.0, 110.0)"
10-01-2023 20:11:03.098473,"(2.7, 5.6, 3.733333333333333)","(11.0, 21.0, 14.0)","(2.6, 3.15, 2.623333333333333)","(101.0, 220.0, 173.33333333333331)","(16.0, 46.0, 36.0)","(61.0, 220.0, 191.8181818181818)","(9.0, 25.0, 14.333333333333332)","(8.0, 21.0, 15.285714285714285)","(7.5, 99999, 99990)","(71.0, 220.0, 110.0)"
10-01-2023 20:11:04.271485,"(2.7, 5.6, 3.733333333333333)","(11.0, 21.0, 14.0)","(2.6, 3.15, 2.623333333333333)","(101.0, 220.0, 173.33333333333331)","(16.0, 46.0, 36.0)","(61.0, 220.0, 191.8181818181818)","(9.0, 25.0, 14.333333333333332)","(8.0, 21.0, 15.285714285714285)","(7.5, 99999, 99990)","(71.0, 220.0, 110.0)"
10-01-2023 20:11:05.401704,"(2.7, 5.6, 3.733333333333333)","(11.0, 21.0, 14.0)","(2.6, 3.15, 2.623333333333333)","(101.0, 220.0, 173.33333333333331)","(16.0, 46.0, 36.0)","(61.0, 220.0, 191.8181818181818)","(9.0, 25.0, 14.333333333333332)","(8.0, 21.0, 15.285714285714285)","(7.5, 99999, 99990)","(71.0, 220.0, 110.0)"
10-01-2023 20:11:06.842413,"(2.7, 5.6, 3.733333333333333)","(11.0, 21.0, 14.0)","(2.6, 3.15, 2.623333333333333)","(101.0, 220.0, 173.33333333333331)","(16.0, 46.0, 36.0)","(61.0, 220.0, 191.8181818181818)","(9.0, 25.0, 14.333333333333332)","(8.0, 21.0, 15.285714285714285)","(7.5, 99999, 99990)","(71.0, 220.0, 110.0)"
10-01-2023 20:11:08.075191,"(2.7, 5.6, 3.733333333333333)","(11.0, 21.0, 14.0)","(2.6, 3.15, 2.623333333333333)","(101.0, 220.0, 174.28571428571428)","(16.0, 46.0, 36.0)","(61.0, 220.0, 175.71428571428572)","(9.0, 25.0, 14.333333333333332)","(8.0, 21.0, 15.285714285714285)","(7.5, 99999, 99990)","(71.0, 220.0, 110.0)"
10-01-2023 20:11:09.321154,"(2.7, 5.6, 3.733333333333333)","(11.0, 21.0, 16.52)","(2.6, 3.15, 2.623333333333333)","(101.0, 220.0, 174.28571428571428)","(16.0, 46.0, 36.0)","(61.0, 220.0, 175.71428571428572)","(9.0, 25.0, 14.333333333333332)","(8.0, 21.0, 15.285714285714285)","(7.5, 99999, 99990)","(71.0, 220.0, 110.0)"
10-01-2023 20:11:10.543290,"(2.7, 5.6, 3.733333333333333)","(11.0, 21.0, 16.52)","(2.6, 3.15, 2.623333333333333)","(101.0, 220.0, 174.28571428571428)","(16.0, 46.0, 36.0)","(61.0, 220.0, 175.71428571428572)","(9.0, 25.0, 14.333333333333332)","(8.0, 21.0, 15.285714285714285)","(7.5, 99999, 99990)","(71.0, 220.0, 110.0)"
10-01-2023 20:11:12.030164,"(2.7, 5.6, 3.733333333333333)","(11.0, 21.0, 14.0)","(2.6, 3.15, 2.623333333333333)","(101.0, 220.0, 173.33333333333331)","(16.0, 46.0, 36.0)","(61.0, 220.0, 191.8181818181818)","(9.0, 25.0, 14.333333333333332)","(8.0, 21.0, 15.285714285714285)","(7.5, 99999, 99990)","(71.0, 220.0, 110.0)"
10-01-2023 20:11:13.180509,"(2.7, 5.6, 3.733333333333333)","(11.0, 21.0, 14.0)","(2.6, 3.15, 2.623333333333333)","(101.0, 220.0, 173.33333333333331)","(16.0, 46.0, 36.0)","(61.0, 220.0, 191.8181818181818)","(9.0, 25.0, 14.333333333333332)","(8.0, 21.0, 15.285714285714285)","(7.5, 99999, 99990)","(71.0, 220.0, 110.0)"
10-01-2023 20:11:14.436346,"(2.7, 5.6, 3.733333333333333)","(11.0, 21.0, 14.0)","(2.6, 3.15, 2.623333333333333)","(101.0, 220.0, 173.33333333333331)","(16.0, 46.0, 36.0)","(61.0, 220.0, 191.8181818181818)","(9.0, 25.0, 14.333333333333332)","(8.0, 21.0, 15.285714285714285)","(7.5, 99999, 99990)","(71.0, 220.0, 110.0)"
10-01-2023 20:11:15.709914,"(2.7, 5.6, 3.733333333333333)","(11.0, 21.0, 14.0)","(2.6, 3.15, 2.623333333333333)","(101.0, 220.0, 173.33333333333331)","(16.0, 46.0, 36.0)","(61.0, 220.0, 191.8181818181818)","(9.0, 25.0, 14.333333333333332)","(8.0, 21.0, 15.285714285714285)","(7.5, 99999, 99990)","(71.0, 220.0, 110.0)"
10-01-2023 20:11:16.957042,"(2.7, 5.6, 3.733333333333333)","(11.0, 21.0, 14.0)","(2.6, 3.15, 2.623333333333333)","(101.0, 220.0, 164.0)","(16.0, 46.0, 36.0)","(61.0, 220.0, 191.8181818181818)","(9.0, 25.0, 14.333333333333332)","(8.0, 21.0, 15.285714285714285)","(7.5, 99999, 99990)","(71.0, 220.0, 110.0)"
10-01-2023 20:11:18.247268,"(2.7, 5.6, 3.733333333333333)","(11.0, 21.0, 13.533333333333335)","(2.6, 3.15, 2.623333333333333)","(101.0, 220.0, 164.0)","(16.0, 46.0, 36.0)","(61.0, 220.0, 191.8181818181818)","(9.0, 25.0, 14.333333333333332)","(8.0, 21.0, 15.285714285714285)","(7.5, 99999, 99990)","(71.0, 220.0, 110.0)"
10-01-2023 20:11:19.515412,"(2.7, 5.6, 3.733333333333333)","(11.0, 21.0, 13.533333333333335)","(2.6, 3.15, 2.623333333333333)","(101.0, 220.0, 164.0)","(16.0, 46.0, 36.0)","(61.0, 220.0, 191.8181818181818)","(9.0, 25.0, 14.333333333333332)","(8.0, 21.0, 15.285714285714285)","(7.5, 99999, 99990)","(71.0, 220.0, 110.0)"
10-01-2023 20:11:20.768651,"(2.7, 5.6, 3.733333333333333)","(11.0, 21.0, 13.533333333333335)","(2.6, 3.15, 2.623333333333333)","(101.0, 220.0, 164.0)","(16.0, 46.0, 36.0)","(61.0, 220.0, 191.8181818181818)","(9.0, 25.0, 14.333333333333332)","(8.0, 21.0, 15.285714285714285)","(7.5, 99999, 99990)","(71.0, 220.0, 110.0)"
10-01-2023 20:11:21.971476,"(2.7, 5.6, 3.733333333333333)","(11.0, 21.0, 13.533333333333335)","(2.6, 3.15, 2.623333333333333)","(101.0, 220.0, 164.0)","(16.0, 46.0, 36.0)","(61.0, 220.0, 191.8181818181818)","(9.0, 25.0, 14.333333333333332)","(8.0, 21.0, 15.285714285714285)","(7.5, 99999, 99990)","(71.0, 220.0, 110.0)"
10-01-2023 20:11:23.232114,"(2.7, 5.6, 3.733333333333333)","(11.0, 21.0, 13.533333333333335)","(2.6, 3.15, 2.623333333333333)","(101.0, 220.0, 164.0)","(16.0, 46.0, 36.0)","(61.0, 220.0, 191.8181818181818)","(9.0, 25.0, 14.333333333333332)","(8.0, 21.0, 15.285714285714285)","(7.5, 99999, 99990)","(71.0, 220.0, 110.0)"
10-01-2023 20:11:24.454620,"(2.7, 5.6, 3.733333333333333)","(11.0, 21.0, 13.533333333333335)","(2.6, 3.15, 2.623333333333333)","(101.0, 220.0, 164.0)","(16.0, 46.0, 36.0)","(61.0, 220.0, 191.8181818181818)","(9.0, 25.0, 14.333333333333332)","(8.0, 21.0, 15.285714285714285)","(7.5, 99999, 99990)","(71.0, 220.0, 110.0)"
10-01-2023 20:11:25.705950,"(2.7, 5.6, 3.733333333333333)","(11.0, 21.0, 13.533333333333335)","(2.6, 3.15, 2.623333333333333)","(101.0, 220.0, 164.0)","(16.0, 46.0, 36.0)","(61.0, 220.0, 191.8181818181818)","(9.0, 25.0, 14.333333333333332)","(8.0, 21.0, 15.285714285714285)","(7.5, 99999, 99990)","(71.0, 220.0, 110.0)"
10-01-2023 20:11:26.985916,"(2.7, 5.6, 3.733333333333333)","(11.0, 21.0, 13.533333333333335)","(2.6, 3.15, 2.623333333333333)","(101.0, 220.0, 164.0)","(16.0, 46.0, 36.0)","(61.0, 220.0, 191.8181818181818)","(9.0, 25.0, 14.333333333333332)","(8.0, 21.0, 15.285714285714285)","(7.5, 99999, 99990)","(71.0, 220.0, 110.0)"
