,Raging Bull,Cuban Royale,Night Of Power,Vreneli,Bold Mac,Easifar,Niccis Fling,Silent Agenda
07-01-2023 14:06:59.067644,"(11.0, 15.0, 13.766666666666667)","(7.5, 11.0, 10.6524064171123)","(21.0, 38.0, 33.411764705882355)","(3.4, 4.2, 4.030612244897959)","(3.9, 5.0, 4.686486486486486)","(10.0, 13.0, 12.664179104477611)","(10.0, 13.0, 12.85344827586207)","(5.5, 6.2, 5.952747252747253)"
07-01-2023 14:07:00.459338,"(11.0, 15.0, 13.766666666666667)","(7.5, 11.0, 10.801587301587302)","(21.0, 38.0, 33.411764705882355)","(3.4, 4.2, 4.029850746268656)","(3.9, 5.0, 4.6923076923076925)","(10.0, 13.0, 12.652709359605911)","(10.0, 13.0, 12.830508474576272)","(5.5, 6.2, 5.952747252747253)"
07-01-2023 14:07:01.861980,"(11.0, 15.0, 13.709302325581396)","(7.5, 11.5, 10.801587301587302)","(21.0, 38.0, 33.411764705882355)","(3.4, 4.2, 4.030612244897959)","(3.9, 4.9, 4.688888888888888)","(10.0, 13.0, 12.664179104477611)","(10.0, 13.0, 12.85344827586207)","(5.5, 6.2, 6.004347826086957)"
07-01-2023 14:07:03.107881,"(11.0, 15.0, 13.709302325581396)","(7.5, 11.0, 10.953125)","(21.0, 38.0, 33.411764705882355)","(3.4, 4.2, 4.030612244897959)","(3.9, 5.0, 4.688888888888888)","(10.0, 13.0, 12.664179104477611)","(10.0, 13.0, 12.85344827586207)","(5.5, 6.2, 6.004347826086957)"
07-01-2023 14:07:04.300010,"(11.0, 15.0, 13.709302325581396)","(7.5, 11.0, 10.953125)","(21.0, 38.0, 33.411764705882355)","(3.4, 4.2, 4.030612244897959)","(3.9, 4.7, 4.655555555555556)","(10.0, 13.0, 12.664179104477611)","(10.0, 13.0, 12.85344827586207)","(5.5, 6.2, 6.004347826086957)"
07-01-2023 14:07:05.531178,"(11.0, 15.0, 13.709302325581396)","(7.5, 11.0, 10.954545454545455)","(21.0, 38.0, 33.411764705882355)","(3.4, 4.2, 4.030612244897959)","(3.9, 4.7, 4.655555555555556)","(10.0, 13.0, 12.65561224489796)","(10.0, 13.0, 12.849112426035504)","(5.5, 6.2, 6.004347826086957)"
07-01-2023 14:07:06.699051,"(11.0, 15.0, 13.709302325581396)","(7.5, 11.0, 10.954545454545455)","(21.0, 38.0, 33.411764705882355)","(3.4, 4.2, 4.030612244897959)","(3.9, 4.7, 4.655555555555556)","(10.0, 13.0, 12.65561224489796)","(10.0, 13.0, 12.849112426035504)","(5.5, 6.2, 6.004347826086957)"
07-01-2023 14:07:07.870548,"(11.0, 15.0, 13.709302325581396)","(7.5, 11.0, 10.954545454545455)","(21.0, 38.0, 33.411764705882355)","(3.4, 4.2, 4.030612244897959)","(3.9, 4.7, 4.655555555555556)","(10.0, 13.0, 12.65561224489796)","(10.0, 13.0, 12.849112426035504)","(5.5, 6.2, 6.004347826086957)"
07-01-2023 14:07:09.123167,"(11.0, 15.0, 13.709302325581396)","(7.5, 11.0, 10.954545454545455)","(21.0, 38.0, 33.411764705882355)","(3.4, 4.2, 4.030612244897959)","(3.9, 4.7, 4.655555555555556)","(10.0, 13.0, 12.65561224489796)","(10.0, 13.0, 12.849112426035504)","(5.5, 6.2, 6.004347826086957)"
07-01-2023 14:07:10.431352,"(11.0, 15.0, 13.709302325581396)","(7.5, 11.0, 10.954545454545455)","(21.0, 38.0, 33.411764705882355)","(3.4, 4.0, 3.9722222222222223)","(3.9, 4.7, 4.655555555555556)","(10.0, 13.0, 12.65561224489796)","(10.0, 13.0, 12.849112426035504)","(5.5, 6.2, 6.004347826086957)"
