,Byron,Excelladus,New Tycoon,Divine Breath,Lovetheinvasion,Baranof,Bluff N Bluster,Straya Pride,The Carpet Bagger,Weekend Affair
07-01-2023 12:59:13.763457,"(6.5, 7.8, 7.715199999999999)","(3.5, 4.0, 3.99869109947644)","(31.0, 50.0, 49.875)","(6.5, 7.4, 7.300000000000001)","(7.5, 8.8, 8.741573033707866)","(8.5, 11.5, 10.676470588235293)","(5.5, 7.0, 6.997473684210526)","(61.0, 80.0, 77.27272727272727)","(17.0, 24.0, 23.8)","(20.0, 23.0, 22.91176470588235)"
07-01-2023 12:59:15.165164,"(6.5, 7.8, 7.715199999999999)","(3.5, 4.0, 3.99869109947644)","(31.0, 50.0, 49.875)","(6.5, 7.4, 7.300000000000001)","(7.5, 8.8, 8.741573033707866)","(8.5, 11.5, 10.676470588235293)","(5.5, 7.0, 6.997570850202429)","(61.0, 80.0, 77.27272727272727)","(17.0, 24.0, 23.8)","(20.0, 23.0, 22.91176470588235)"
07-01-2023 12:59:16.501477,"(6.5, 7.8, 7.673809523809523)","(3.5, 4.0, 3.998652291105121)","(31.0, 50.0, 51.48148148148148)","(6.5, 7.4, 7.300000000000001)","(7.5, 9.0, 8.83813559322034)","(8.5, 11.5, 10.61320754716981)","(5.5, 7.0, 6.997446808510638)","(61.0, 80.0, 77.27272727272727)","(17.0, 24.0, 23.896551724137932)","(20.0, 23.0, 22.91176470588235)"
07-01-2023 12:59:17.835952,"(6.5, 7.8, 7.673809523809523)","(3.5, 4.0, 3.9986486486486488)","(31.0, 60.0, 51.48148148148148)","(6.5, 7.4, 7.300000000000001)","(7.5, 9.0, 8.82654028436019)","(8.5, 11.5, 10.61320754716981)","(5.5, 7.0, 6.913927227101631)","(61.0, 80.0, 77.27272727272727)","(17.0, 24.0, 23.896551724137932)","(20.0, 23.0, 22.91176470588235)"
07-01-2023 12:59:19.159417,"(6.5, 7.8, 7.666666666666666)","(3.5, 4.0, 4.020361990950226)","(31.0, 60.0, 51.42857142857143)","(6.5, 7.4, 7.351552795031056)","(7.5, 9.0, 8.825339366515838)","(8.5, 11.5, 10.61111111111111)","(5.5, 7.0, 6.907785888077859)","(61.0, 80.0, 77.27272727272727)","(17.0, 24.0, 22.892857142857142)","(20.0, 23.0, 22.91176470588235)"
07-01-2023 12:59:20.479140,"(6.5, 7.8, 7.666666666666666)","(3.5, 4.1, 4.020361990950226)","(31.0, 60.0, 51.42857142857143)","(6.5, 7.4, 7.351552795031056)","(7.5, 9.0, 8.825339366515838)","(8.5, 11.0, 10.61111111111111)","(5.5, 7.0, 6.91485380116959)","(61.0, 80.0, 77.27272727272727)","(17.0, 23.0, 22.892857142857142)","(20.0, 23.0, 22.91176470588235)"
07-01-2023 12:59:21.678466,"(6.5, 7.8, 7.666666666666666)","(3.5, 4.1, 4.018329466357309)","(31.0, 60.0, 51.42857142857143)","(6.5, 7.4, 7.351552795031056)","(7.5, 9.0, 8.825339366515838)","(8.5, 11.0, 10.61111111111111)","(5.5, 7.0, 6.91485380116959)","(61.0, 80.0, 77.27272727272727)","(17.0, 23.0, 22.892857142857142)","(20.0, 23.0, 22.91176470588235)"
07-01-2023 12:59:22.865775,"(6.5, 7.8, 7.673809523809523)","(3.5, 4.1, 4.0180929095354525)","(31.0, 60.0, 51.48148148148148)","(6.5, 7.4, 7.369543147208122)","(7.5, 8.8, 8.751648351648353)","(8.5, 10.5, 10.47340425531915)","(5.5, 7.0, 6.92063882063882)","(61.0, 80.0, 77.27272727272727)","(17.0, 24.0, 23.89090909090909)","(20.0, 23.0, 22.91176470588235)"
07-01-2023 12:59:24.070294,"(6.5, 7.8, 7.673809523809523)","(3.5, 4.1, 4.0180929095354525)","(31.0, 60.0, 51.48148148148148)","(6.5, 7.4, 7.369543147208122)","(7.5, 8.8, 8.751648351648353)","(8.5, 10.5, 10.47340425531915)","(5.5, 7.0, 6.92063882063882)","(61.0, 80.0, 77.27272727272727)","(17.0, 24.0, 23.89090909090909)","(20.0, 23.0, 22.91176470588235)"
07-01-2023 12:59:25.455853,"(6.5, 7.8, 7.673809523809523)","(3.5, 4.1, 4.030094786729857)","(31.0, 60.0, 52.06896551724138)","(6.5, 7.4, 7.369543147208122)","(7.5, 8.8, 8.751648351648353)","(8.5, 11.5, 10.967391304347826)","(5.5, 7.0, 6.920148331273177)","(61.0, 80.0, 77.27272727272727)","(17.0, 24.0, 23.88679245283019)","(20.0, 23.0, 22.91176470588235)"
