,Elizabethan Era,Arma Veyron,Moreartsthanclass,Whereyagoinbabe,Martha Lavinia,Dougs Cino,Moneymakinmonkey,Ronzel Micky,Maxines Delight,Coco Beach
10-01-2023 20:51:52.238195,"(51.0, 90.0, 82.85714285714286)","(6.0, 9.4, 8.964102564102564)","(8.0, 9.4, 9.022222222222222)","(7.5, 9.2, 8.766666666666666)","(8.0, 11.5, 10.966666666666667)","(8.5, 9.8, 9.695652173913043)","(26.0, 38.0, 34.888888888888886)","(61.0, 120.0, 100.0)","(5.5, 6.6, 6.493333333333333)","(3.3, 3.95, 3.8160714285714286)"
10-01-2023 20:51:53.983786,"(51.0, 85.0, 82.85714285714286)","(6.0, 9.6, 10.166666666666666)","(8.0, 9.2, 8.91764705882353)","(7.5, 9.2, 8.55)","(8.0, 11.5, 10.811111111111112)","(8.5, 9.8, 9.695652173913043)","(26.0, 38.0, 33.2)","(61.0, 120.0, 100.0)","(5.5, 6.6, 6.317647058823529)","(3.3, 3.95, 3.846153846153846)"
10-01-2023 20:51:55.446725,"(51.0, 85.0, 75.625)","(6.0, 10.5, 9.860000000000001)","(8.0, 9.2, 8.909090909090908)","(7.5, 8.6, 8.527272727272727)","(8.0, 11.5, 10.811111111111112)","(8.5, 9.8, 9.354285714285714)","(26.0, 38.0, 33.142857142857146)","(61.0, 120.0, 100.0)","(5.5, 6.6, 6.575510204081632)","(3.3, 3.9, 3.846153846153846)"
10-01-2023 20:51:56.906404,"(51.0, 90.0, 77.5)","(6.0, 10.0, 9.95)","(8.0, 9.2, 9.036363636363637)","(7.5, 8.6, 8.527272727272727)","(8.0, 11.5, 10.811111111111112)","(8.5, 9.8, 8.963636363636363)","(26.0, 40.0, 34.666666666666664)","(61.0, 120.0, 100.0)","(5.5, 6.6, 6.5777777777777775)","(3.3, 3.9, 3.863793103448276)"
10-01-2023 20:51:58.316480,"(51.0, 90.0, 77.5)","(6.0, 10.0, 9.95)","(8.0, 9.4, 9.036363636363637)","(7.5, 8.6, 8.527272727272727)","(8.0, 11.5, 10.825581395348838)","(8.5, 9.6, 9.0)","(26.0, 40.0, 37.0)","(61.0, 120.0, 100.0)","(5.5, 6.6, 6.566197183098591)","(3.3, 3.95, 3.8607142857142858)"
10-01-2023 20:51:59.685488,"(51.0, 90.0, 77.5)","(6.5, 10.0, 9.95)","(8.0, 9.4, 9.036363636363637)","(7.5, 8.6, 8.527272727272727)","(8.0, 11.5, 10.76923076923077)","(8.0, 9.6, 9.066666666666666)","(21.0, 38.0, 37.0)","(61.0, 120.0, 100.0)","(5.0, 6.6, 6.568)","(3.3, 3.95, 3.8652542372881356)"
10-01-2023 20:52:01.146337,"(51.0, 90.0, 76.36363636363636)","(6.5, 10.0, 9.95)","(7.5, 9.4, 8.866666666666667)","(7.5, 8.6, 8.48235294117647)","(8.0, 11.5, 10.76923076923077)","(8.0, 9.4, 9.04)","(21.0, 38.0, 37.0)","(61.0, 120.0, 100.0)","(5.0, 6.6, 6.568)","(3.3, 3.95, 3.869871794871795)"
10-01-2023 20:52:02.645503,"(51.0, 90.0, 76.36363636363636)","(6.5, 10.0, 9.856756756756758)","(7.5, 9.4, 8.866666666666667)","(7.5, 8.6, 8.488888888888889)","(8.0, 11.5, 10.491150442477876)","(8.0, 9.2, 8.866666666666665)","(21.0, 38.0, 37.0)","(61.0, 120.0, 100.0)","(5.0, 6.6, 6.342105263157895)","(3.3, 3.95, 3.892857142857143)"
10-01-2023 20:52:04.068488,"(51.0, 90.0, 76.76470588235294)","(6.5, 10.5, 9.856756756756758)","(7.5, 9.4, 10.628571428571428)","(7.5, 8.6, 9.885714285714286)","(8.0, 11.5, 8.538461538461538)","(8.0, 9.2, 11.65)","(21.0, 38.0, 38.5)","(61.0, 120.0, 205.0)","(5.0, 6.8, 6.4)","(3.3, 3.95, 4.09)"
10-01-2023 20:52:05.563446,"(51.0, 130.0, 86.0)","(6.5, 12.5, 9.885714285714286)","(7.5, 13.5, 10.628571428571428)","(7.5, 12.5, 9.885714285714286)","(8.0, 12.0, 11.0)","(8.0, 15.5, 11.65)","(21.0, 55.0, 34.0)","(61.0, 340.0, 160.0)","(5.0, 6.6, 6.4)","(3.3, 5.2, 4.05)"
10-01-2023 20:52:07.060472,"(51.0, 130.0, 86.0)","(6.5, 12.5, 9.885714285714286)","(7.5, 8.4, 7.333333333333333)","(7.5, 12.5, 8.96)","(8.0, 14.0, 11.0)","(8.0, 15.5, 12.114285714285714)","(21.0, 46.0, 34.0)","(61.0, 340.0, 160.0)","(5.0, 9.0, 8.73076923076923)","(3.3, 3.7, 3.42)"
10-01-2023 20:52:08.406501,"(51.0, 130.0, 86.0)","(6.5, 12.5, 9.885714285714286)","(7.5, 8.4, 7.333333333333333)","(7.5, 12.5, 8.96)","(8.0, 14.0, 11.0)","(8.0, 15.5, 12.114285714285714)","(21.0, 46.0, 34.0)","(61.0, 340.0, 156.66666666666669)","(5.0, 9.0, 8.73076923076923)","(3.3, 3.7, 3.42)"
10-01-2023 20:52:09.702403,"(51.0, 130.0, 71.33333333333333)","(6.5, 12.5, 9.885714285714286)","(7.5, 8.4, 7.733333333333333)","(7.5, 12.5, 8.96)","(8.0, 14.0, 11.0)","(8.0, 15.5, 12.114285714285714)","(21.0, 46.0, 26.0)","(61.0, 330.0, 143.33333333333331)","(5.0, 9.0, 8.73076923076923)","(3.3, 3.7, 3.45)"
10-01-2023 20:52:10.967502,"(51.0, 130.0, 71.33333333333333)","(6.5, 12.5, 9.885714285714286)","(7.5, 8.4, 7.733333333333333)","(7.5, 12.5, 9.55)","(8.0, 14.0, 8.9)","(8.0, 15.5, 12.114285714285714)","(21.0, 34.0, 26.0)","(61.0, 310.0, 140.0)","(5.0, 9.0, 8.73076923076923)","(3.3, 3.65, 3.45)"
10-01-2023 20:52:12.223382,"(51.0, 110.0, 76.0)","(6.5, 12.5, 6.425000000000001)","(7.5, 8.4, 7.800000000000001)","(7.5, 12.5, 9.55)","(8.0, 14.0, 8.9)","(8.0, 15.5, 18.928571428571427)","(21.0, 34.0, 26.0)","(61.0, 300.0, 140.0)","(5.0, 9.0, 8.73076923076923)","(3.3, 3.65, 3.388888888888889)"
10-01-2023 20:52:13.548694,"(51.0, 110.0, 75.0)","(6.5, 12.5, 4.885714285714286)","(7.5, 8.4, 7.92)","(7.5, 12.5, 9.08)","(8.0, 14.0, 10.04)","(8.0, 19.5, 15.245454545454544)","(21.0, 34.0, 28.0)","(61.0, 300.0, 122.5)","(5.0, 9.0, 7.057142857142857)","(3.3, 3.7, 3.675)"
10-01-2023 20:52:15.022652,"(51.0, 100.0, 71.0)","(6.5, 7.8, 5.82)","(7.5, 8.4, 7.92)","(7.5, 12.5, 9.08)","(8.0, 14.0, 10.04)","(8.0, 19.5, 17.162499999999998)","(21.0, 34.0, 26.8)","(61.0, 280.0, 140.0)","(5.0, 9.0, 7.057142857142857)","(3.3, 3.7, 3.675)"
