,Dangerous Woman,Sweet Hummer,Boudicca,Churn It Up,Opawa Amiekay,Big Time Curly
16-12-2022 12:17:11.509511,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:12.400497,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:13.223425,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:14.095205,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:14.954900,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:15.824569,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:16.731744,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:17.589137,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:18.443050,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:19.333671,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:20.237548,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:21.151407,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:22.037110,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:22.928096,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:23.850436,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:24.746945,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:25.598162,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:26.420774,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
