,Finniss Surprise,Finniss Redeem,Urban Ranger,Emerley Wiggum,Springvale Bray,Springvale Dave,Bobby Axelrod,Dash Of Blue
06-01-2023 13:05:44.427540,"(8.5, 18.5, 10.649999999999999)","(3.7, 6.2, 3.696296296296296)","(71.0, 570.0, 485.0)","(31.0, 320.0, 137.42857142857142)","(6.5, 14.0, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:05:45.558650,"(8.5, 18.0, 10.649999999999999)","(3.7, 6.2, 3.696296296296296)","(71.0, 570.0, 485.0)","(31.0, 320.0, 137.42857142857142)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:05:46.677889,"(8.5, 18.0, 10.649999999999999)","(3.7, 6.2, 3.696296296296296)","(71.0, 570.0, 485.0)","(31.0, 320.0, 137.42857142857142)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:05:47.889355,"(8.5, 18.0, 10.649999999999999)","(3.7, 6.2, 3.696296296296296)","(71.0, 570.0, 485.0)","(31.0, 320.0, 137.42857142857142)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:05:49.161667,"(8.5, 18.0, 10.649999999999999)","(3.7, 6.2, 3.696296296296296)","(71.0, 570.0, 485.0)","(31.0, 320.0, 137.42857142857142)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:05:50.248765,"(8.5, 18.0, 10.649999999999999)","(3.7, 6.2, 3.696296296296296)","(71.0, 570.0, 485.0)","(31.0, 320.0, 137.42857142857142)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:05:51.297525,"(8.5, 18.0, 10.649999999999999)","(3.7, 6.2, 3.696296296296296)","(71.0, 570.0, 485.0)","(31.0, 320.0, 137.42857142857142)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:05:52.359472,"(8.5, 18.0, 10.649999999999999)","(3.7, 6.2, 3.696296296296296)","(71.0, 570.0, 485.0)","(31.0, 320.0, 137.42857142857142)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:05:53.475433,"(8.5, 18.0, 10.649999999999999)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 110.0)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:05:54.634437,"(8.5, 18.0, 10.649999999999999)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 110.0)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:05:55.864706,"(8.5, 18.0, 10.649999999999999)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 110.0)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:05:57.014784,"(8.5, 18.0, 10.649999999999999)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 110.0)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:05:58.138756,"(8.5, 18.0, 10.649999999999999)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 137.42857142857142)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:05:59.234821,"(8.5, 18.0, 10.649999999999999)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 137.42857142857142)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:00.319334,"(8.5, 18.0, 10.649999999999999)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 137.42857142857142)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:01.385377,"(8.5, 18.0, 10.649999999999999)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 137.42857142857142)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:02.535632,"(8.5, 18.0, 10.649999999999999)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 137.42857142857142)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:03.677960,"(8.5, 18.0, 10.649999999999999)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 137.42857142857142)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:04.758855,"(8.5, 18.0, 10.649999999999999)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 110.0)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:05.888369,"(8.5, 18.0, 10.649999999999999)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 110.0)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:07.026145,"(8.5, 18.0, 10.649999999999999)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 110.0)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
