,Teragrams Star,Sonic Blue,Clown Of Class,Midnight Holly,Jax The Hunter,Just Looking,Karaoke Queen,Joni Rudderless
07-12-2022 18:39:41.746228,"(3.0, 4.5, 3.7)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 10.55)","(8.0, 18.0, 10.32)","(2.15, 2.98, 2.7741176470588234)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:39:42.831455,"(3.0, 4.5, 3.976923076923077)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 10.55)","(8.0, 18.0, 10.32)","(2.15, 2.98, 2.7741176470588234)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:39:43.976635,"(3.0, 4.5, 3.976923076923077)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 10.55)","(8.0, 18.0, 10.32)","(2.15, 2.98, 2.7741176470588234)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:39:45.114542,"(3.0, 4.5, 3.976923076923077)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 10.55)","(8.0, 18.0, 10.32)","(2.15, 2.98, 2.5270588235294116)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:39:46.129101,"(3.0, 4.5, 3.976923076923077)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 10.55)","(8.0, 18.0, 10.32)","(2.15, 2.98, 2.5270588235294116)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:39:47.093485,"(3.0, 4.5, 3.976923076923077)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 10.55)","(8.0, 18.0, 10.32)","(2.15, 2.98, 2.5270588235294116)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:39:48.161184,"(3.0, 4.5, 3.976923076923077)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 10.55)","(8.0, 18.0, 10.32)","(2.15, 2.98, 2.5270588235294116)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:39:49.330877,"(3.0, 4.5, 3.976923076923077)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 10.55)","(8.0, 18.0, 10.32)","(2.15, 2.98, 2.5270588235294116)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:39:50.308317,"(3.0, 4.5, 3.976923076923077)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 10.55)","(8.0, 18.0, 10.32)","(2.15, 2.98, 2.5270588235294116)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:39:51.290323,"(3.0, 4.5, 4.009090909090909)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 10.55)","(8.0, 18.0, 10.32)","(2.15, 2.98, 2.5270588235294116)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
