,Collinda Chips,Holy Smoke,Octavia Bale,Whitley Bale,Chapel Road,Irinka Gladys,Americano Miss
07-01-2023 18:40:00.564150,"(1.7, 2.06, 2.052450980392157)","(6.0, 7.6, 7.566153846153846)","(31.0, 48.0, 45.77777777777778)","(5.5, 7.4, 6.996470588235294)","(8.5, 10.5, 10.21)","(20.0, 26.0, 26.535714285714285)","(10.0, 12.5, 11.9)"
07-01-2023 18:40:01.492321,"(1.7, 2.08, 2.0687323943661973)","(6.0, 7.6, 7.54054054054054)","(31.0, 48.0, 45.77777777777778)","(5.5, 7.0, 6.996470588235294)","(8.5, 10.5, 10.21)","(20.0, 27.0, 26.535714285714285)","(10.0, 12.0, 11.844827586206897)"
07-01-2023 18:40:02.446249,"(1.7, 2.08, 2.0630601092896175)","(6.0, 7.6, 7.422641509433962)","(31.0, 48.0, 44.57142857142857)","(5.5, 7.2, 7.17)","(8.5, 10.5, 10.05)","(20.0, 27.0, 26.5)","(10.0, 12.0, 11.839285714285714)"
07-01-2023 18:40:03.345722,"(1.7, 2.08, 2.0644651162790697)","(6.0, 7.4, 7.39056603773585)","(31.0, 48.0, 44.72727272727273)","(5.5, 7.2, 7.12280701754386)","(8.5, 10.5, 10.256756756756756)","(20.0, 28.0, 26.90909090909091)","(10.0, 12.0, 11.702380952380953)"
07-01-2023 18:40:04.251909,"(1.7, 2.08, 2.065024154589372)","(6.0, 7.6, 7.479194630872483)","(31.0, 48.0, 44.72727272727273)","(5.5, 7.2, 7.095121951219513)","(8.5, 10.5, 10.295774647887324)","(20.0, 28.0, 26.926829268292682)","(10.0, 12.0, 11.702380952380953)"
07-01-2023 18:40:05.166988,"(1.75, 2.08, 2.0704761904761906)","(6.0, 7.4, 7.386407766990292)","(31.0, 48.0, 44.8421052631579)","(5.5, 7.2, 6.998058252427184)","(8.5, 10.5, 10.295774647887324)","(20.0, 28.0, 26.974358974358974)","(10.0, 12.0, 11.71951219512195)"
07-01-2023 18:40:06.054815,"(1.75, 2.1, 2.0825454545454547)","(6.0, 7.2, 7.154545454545454)","(31.0, 48.0, 46.125)","(5.5, 7.0, 6.981679389312977)","(8.5, 10.5, 10.301369863013699)","(20.0, 28.0, 27.272727272727273)","(10.0, 12.0, 11.71951219512195)"
07-01-2023 18:40:06.954821,"(1.75, 2.1, 2.069398907103825)","(6.0, 7.2, 7.180487804878049)","(31.0, 48.0, 45.45454545454545)","(5.5, 7.0, 6.986086956521739)","(8.5, 10.5, 10.3125)","(20.0, 28.0, 27.333333333333332)","(10.0, 12.5, 12.358064516129032)"
07-01-2023 18:40:07.828623,"(1.75, 2.06, 2.0564864864864867)","(6.0, 7.2, 7.120833333333334)","(31.0, 48.0, 46.526315789473685)","(5.5, 7.2, 7.059074733096086)","(8.5, 10.5, 10.307692307692308)","(20.0, 28.0, 27.333333333333332)","(10.0, 13.0, 12.53125)"
07-01-2023 18:40:08.705554,"(1.75, 2.06, 2.0442857142857145)","(6.0, 7.2, 7.120833333333334)","(31.0, 48.0, 46.666666666666664)","(5.5, 7.2, 7.009803921568627)","(8.5, 10.5, 10.313559322033898)","(20.0, 28.0, 27.333333333333332)","(10.0, 13.0, 12.55)"
07-01-2023 18:40:09.606920,"(1.75, 2.06, 2.052142857142857)","(6.0, 7.2, 7.132142857142857)","(31.0, 48.0, 46.666666666666664)","(5.5, 7.2, 7.008196721311475)","(8.5, 10.5, 10.325396825396826)","(20.0, 28.0, 27.333333333333332)","(10.0, 13.0, 12.472602739726028)"
