,Kooringa Magic,Dragon Smoke,Our Mate Ewan,Bit Of Mischief,Ripple Lane,Annika Mac,Rosdue Kodiak
10,"[datetime.datetime(2022, 11, 28, 11, 58, 36, 337909), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 36, 337909), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 36, 337909), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 36, 337909), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 36, 337909), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 36, 337909), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 36, 337909), 9.0, 22.0]"
11,"[datetime.datetime(2022, 11, 28, 11, 58, 37, 462390), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 37, 462390), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 37, 462390), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 37, 462390), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 37, 462390), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 37, 462390), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 37, 462390), 9.0, 22.0]"
12,"[datetime.datetime(2022, 11, 28, 11, 58, 38, 602991), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 38, 602991), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 38, 602991), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 38, 602991), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 38, 602991), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 38, 602991), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 38, 602991), 9.0, 22.0]"
13,"[datetime.datetime(2022, 11, 28, 11, 58, 39, 717191), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 39, 717191), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 39, 717191), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 39, 717191), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 39, 717191), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 39, 717191), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 39, 717191), 9.0, 22.0]"
14,"[datetime.datetime(2022, 11, 28, 11, 58, 40, 846047), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 40, 846047), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 40, 846047), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 40, 846047), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 40, 846047), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 40, 846047), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 40, 846047), 9.0, 22.0]"
15,"[datetime.datetime(2022, 11, 28, 11, 58, 41, 957203), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 41, 957203), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 41, 957203), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 41, 957203), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 41, 957203), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 41, 957203), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 41, 957203), 9.0, 22.0]"
16,"[datetime.datetime(2022, 11, 28, 11, 58, 43, 168442), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 43, 168442), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 43, 168442), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 43, 168442), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 43, 168442), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 43, 168442), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 43, 168442), 9.0, 22.0]"
17,"[datetime.datetime(2022, 11, 28, 11, 58, 44, 297022), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 44, 297022), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 44, 297022), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 44, 297022), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 44, 297022), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 44, 297022), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 44, 297022), 9.0, 22.0]"
18,"[datetime.datetime(2022, 11, 28, 11, 58, 45, 433753), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 45, 433753), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 45, 433753), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 45, 433753), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 45, 433753), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 45, 433753), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 45, 433753), 9.0, 22.0]"
19,"[datetime.datetime(2022, 11, 28, 11, 58, 46, 563557), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 46, 563557), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 46, 563557), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 46, 563557), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 46, 563557), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 46, 563557), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 46, 563557), 9.0, 22.0]"
20,"[datetime.datetime(2022, 11, 28, 11, 58, 47, 686986), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 47, 686986), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 47, 686986), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 47, 686986), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 47, 686986), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 47, 686986), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 47, 686986), 9.0, 22.0]"
21,"[datetime.datetime(2022, 11, 28, 11, 58, 48, 825130), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 48, 825130), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 48, 825130), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 48, 825130), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 48, 825130), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 48, 825130), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 48, 825130), 9.0, 22.0]"
22,"[datetime.datetime(2022, 11, 28, 11, 58, 49, 951106), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 49, 951106), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 49, 951106), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 49, 951106), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 49, 951106), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 49, 951106), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 49, 951106), 9.0, 22.0]"
23,"[datetime.datetime(2022, 11, 28, 11, 58, 51, 133662), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 51, 133662), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 51, 133662), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 51, 133662), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 51, 133662), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 51, 133662), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 51, 133662), 9.0, 22.0]"
