,Joint Forces,Mango Tango Wine,Mr Tangles,Sea Stitch,Falvelon Delight,Mrs Gloop,Paparazzi Rocket,Stars And Shadows,Talk Crazy,Cosmic Starlet,Miss Starlette
07-01-2023 13:34:11.936640,"(11.0, 14.0, 13.035714285714286)","(4.0, 4.7, 4.666666666666667)","(9.0, 13.0, 12.0)","(4.8, 5.9, 5.566666666666667)","(31.0, 95.0, 76.66666666666666)","(4.6, 6.4, 6.1000000000000005)","(71.0, 100.0, 74.28571428571429)","(5.5, 8.4, 7.066666666666666)","(9.0, 12.5, 10.9)","(61.0, 210.0, 142.5)","(31.0, 60.0, 56.8)"
07-01-2023 13:34:13.411305,"(11.0, 14.0, 13.035714285714286)","(4.0, 4.7, 4.666666666666667)","(9.0, 13.0, 12.0)","(4.8, 5.9, 5.566666666666667)","(31.0, 95.0, 76.66666666666666)","(4.6, 6.4, 6.1000000000000005)","(71.0, 100.0, 73.75)","(5.5, 8.4, 7.066666666666666)","(9.0, 12.5, 10.9)","(61.0, 210.0, 142.5)","(31.0, 60.0, 56.8)"
07-01-2023 13:34:14.905210,"(11.0, 14.0, 13.035714285714286)","(4.0, 4.7, 4.666666666666667)","(9.0, 13.0, 11.575)","(4.8, 5.9, 5.45)","(31.0, 95.0, 76.66666666666666)","(4.6, 6.4, 6.1000000000000005)","(71.0, 100.0, 73.75)","(5.5, 8.4, 7.066666666666666)","(9.0, 12.5, 10.9)","(61.0, 210.0, 142.5)","(31.0, 60.0, 56.8)"
07-01-2023 13:34:16.390213,"(11.0, 14.0, 13.035714285714286)","(4.0, 4.7, 4.6937500000000005)","(9.0, 13.0, 11.575)","(4.8, 5.9, 5.458823529411765)","(31.0, 95.0, 76.66666666666666)","(4.6, 6.4, 6.1000000000000005)","(71.0, 100.0, 73.75)","(5.5, 8.4, 7.066666666666666)","(9.0, 12.5, 10.9)","(61.0, 210.0, 142.5)","(31.0, 60.0, 56.8)"
07-01-2023 13:34:17.786565,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.0, 4.945454545454545)","(9.0, 12.5, 11.666666666666666)","(4.8, 5.9, 5.458823529411765)","(31.0, 95.0, 76.66666666666666)","(4.6, 6.4, 6.1000000000000005)","(71.0, 100.0, 73.75)","(5.5, 8.4, 7.066666666666666)","(9.0, 12.5, 10.9)","(61.0, 210.0, 187.5)","(31.0, 60.0, 56.8)"
07-01-2023 13:34:19.223286,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.0, 4.91)","(9.0, 12.5, 11.666666666666666)","(4.8, 5.9, 5.458823529411765)","(31.0, 95.0, 76.66666666666666)","(4.6, 6.4, 6.1000000000000005)","(71.0, 100.0, 73.75)","(5.5, 8.4, 7.066666666666666)","(9.0, 12.5, 10.9)","(61.0, 210.0, 187.5)","(31.0, 60.0, 56.8)"
07-01-2023 13:34:20.597423,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.154545454545454)","(9.0, 12.5, 11.625)","(4.8, 5.9, 5.455555555555556)","(31.0, 95.0, 76.66666666666666)","(4.6, 6.4, 5.9)","(71.0, 100.0, 73.75)","(5.5, 8.4, 7.066666666666666)","(9.0, 12.5, 10.9)","(61.0, 210.0, 145.0)","(31.0, 60.0, 56.8)"
07-01-2023 13:34:22.065284,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.1375)","(9.0, 12.5, 11.583333333333334)","(4.8, 5.9, 5.458823529411765)","(31.0, 95.0, 76.66666666666666)","(4.6, 6.2, 6.1000000000000005)","(71.0, 100.0, 73.75)","(5.5, 8.4, 7.066666666666666)","(9.0, 12.5, 10.9)","(61.0, 210.0, 166.66666666666669)","(31.0, 60.0, 56.8)"
07-01-2023 13:34:23.587283,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.1375)","(9.0, 13.0, 11.571428571428571)","(4.8, 5.9, 5.458823529411765)","(31.0, 95.0, 76.66666666666666)","(4.6, 6.4, 6.1000000000000005)","(71.0, 100.0, 73.75)","(5.5, 8.4, 7.066666666666666)","(9.0, 12.5, 10.9)","(61.0, 210.0, 166.66666666666669)","(31.0, 60.0, 56.8)"
07-01-2023 13:34:25.061779,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.1375)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.9, 5.458823529411765)","(31.0, 95.0, 76.66666666666666)","(4.6, 6.4, 6.1000000000000005)","(71.0, 100.0, 73.75)","(5.5, 8.4, 7.066666666666666)","(9.0, 12.5, 10.9)","(61.0, 210.0, 166.66666666666669)","(31.0, 60.0, 60.8)"
