,Orson Time,White Like Snow,Glorious Purpose,Dusty Country,Wendy Witch,Be Like Oliver,Rybolt,Jayhawks
14-12-2022 19:36:39.489505,"(17.0, 70.0, 46.36363636363637)","(1.55, 1.87, 1.7370833333333335)","(21.0, 80.0, 49.75)","(14.0, 46.0, 32.875)","(51.0, 410.0, 227.0)","(6.5, 12.5, 6.83)","(4.0, 7.4, 4.952)","(17.0, 70.0, 46.36363636363637)"
14-12-2022 19:36:40.739398,"(17.0, 70.0, 46.36363636363637)","(1.55, 1.87, 1.7370833333333335)","(21.0, 80.0, 49.75)","(14.0, 46.0, 32.875)","(51.0, 410.0, 227.0)","(6.5, 12.5, 6.83)","(4.0, 7.4, 4.952)","(17.0, 70.0, 46.36363636363637)"
14-12-2022 19:36:41.911744,"(17.0, 70.0, 46.36363636363637)","(1.55, 1.87, 1.7370833333333335)","(21.0, 80.0, 49.75)","(14.0, 46.0, 32.875)","(51.0, 410.0, 227.0)","(6.5, 12.5, 6.83)","(4.0, 7.4, 4.952)","(17.0, 70.0, 46.36363636363637)"
14-12-2022 19:36:43.163290,"(17.0, 70.0, 46.36363636363637)","(1.55, 1.87, 1.7370833333333335)","(21.0, 80.0, 49.75)","(14.0, 46.0, 32.875)","(51.0, 410.0, 227.0)","(6.5, 12.5, 6.83)","(4.0, 7.4, 4.952)","(17.0, 70.0, 46.36363636363637)"
14-12-2022 19:36:44.312275,"(17.0, 70.0, 46.36363636363637)","(1.55, 1.87, 1.7370833333333335)","(21.0, 80.0, 49.75)","(14.0, 46.0, 32.875)","(51.0, 410.0, 227.0)","(6.5, 12.5, 6.83)","(4.0, 7.4, 4.952)","(17.0, 70.0, 46.36363636363637)"
14-12-2022 19:36:45.396838,"(17.0, 70.0, 46.36363636363637)","(1.55, 1.87, 1.7370833333333335)","(21.0, 80.0, 49.75)","(14.0, 46.0, 32.875)","(51.0, 410.0, 227.0)","(6.5, 12.5, 6.83)","(4.0, 7.4, 4.952)","(17.0, 70.0, 46.36363636363637)"
14-12-2022 19:36:46.498182,"(17.0, 70.0, 46.36363636363637)","(1.55, 1.87, 1.7370833333333335)","(21.0, 80.0, 49.75)","(14.0, 46.0, 32.875)","(51.0, 410.0, 227.0)","(6.5, 12.5, 6.83)","(4.0, 7.4, 4.952)","(17.0, 70.0, 46.36363636363637)"
14-12-2022 19:36:47.554175,"(17.0, 70.0, 37.8125)","(1.55, 1.87, 1.7370833333333335)","(21.0, 80.0, 42.769230769230774)","(14.0, 46.0, 29.200000000000003)","(51.0, 410.0, 184.76923076923077)","(6.5, 12.5, 8.45)","(4.0, 7.4, 4.952)","(17.0, 70.0, 32.54545454545455)"
14-12-2022 19:36:48.722141,"(17.0, 70.0, 37.8125)","(1.55, 1.87, 1.7370833333333335)","(21.0, 80.0, 42.769230769230774)","(14.0, 46.0, 29.200000000000003)","(51.0, 410.0, 184.76923076923077)","(6.5, 12.5, 8.45)","(4.0, 7.4, 4.952)","(17.0, 70.0, 32.54545454545455)"
14-12-2022 19:36:49.964121,"(17.0, 70.0, 37.8125)","(1.55, 1.87, 1.7370833333333335)","(21.0, 80.0, 42.769230769230774)","(14.0, 46.0, 29.200000000000003)","(51.0, 410.0, 184.76923076923077)","(6.5, 12.5, 8.45)","(4.0, 7.4, 4.952)","(17.0, 70.0, 32.54545454545455)"
14-12-2022 19:36:51.174023,"(17.0, 70.0, 37.8125)","(1.55, 1.87, 1.7370833333333335)","(21.0, 80.0, 42.769230769230774)","(14.0, 46.0, 29.200000000000003)","(51.0, 410.0, 184.76923076923077)","(6.5, 12.5, 8.45)","(4.0, 7.4, 4.952)","(17.0, 70.0, 32.54545454545455)"
14-12-2022 19:36:52.349158,"(17.0, 70.0, 37.8125)","(1.55, 1.87, 1.7370833333333335)","(21.0, 80.0, 42.769230769230774)","(14.0, 46.0, 29.200000000000003)","(51.0, 410.0, 184.76923076923077)","(6.5, 12.5, 8.45)","(4.0, 7.4, 4.952)","(17.0, 70.0, 32.54545454545455)"
14-12-2022 19:36:53.507097,"(17.0, 70.0, 37.8125)","(1.55, 1.87, 1.7370833333333335)","(21.0, 80.0, 42.769230769230774)","(14.0, 46.0, 29.200000000000003)","(51.0, 410.0, 184.76923076923077)","(6.5, 12.5, 8.45)","(4.0, 7.4, 4.952)","(17.0, 70.0, 32.54545454545455)"
14-12-2022 19:36:54.689545,"(17.0, 70.0, 37.8125)","(1.55, 1.87, 1.7370833333333335)","(21.0, 80.0, 42.769230769230774)","(14.0, 46.0, 29.200000000000003)","(51.0, 410.0, 184.76923076923077)","(6.5, 12.5, 8.45)","(4.0, 7.4, 4.952)","(17.0, 70.0, 32.54545454545455)"
14-12-2022 19:36:55.894196,"(17.0, 70.0, 37.8125)","(1.55, 1.87, 1.7370833333333335)","(21.0, 80.0, 42.769230769230774)","(14.0, 46.0, 29.200000000000003)","(51.0, 410.0, 184.76923076923077)","(6.5, 12.5, 8.45)","(4.0, 7.4, 4.952)","(17.0, 70.0, 32.54545454545455)"
14-12-2022 19:36:57.229004,"(17.0, 70.0, 37.8125)","(1.55, 1.87, 1.7370833333333335)","(21.0, 80.0, 42.769230769230774)","(14.0, 46.0, 29.200000000000003)","(51.0, 410.0, 184.76923076923077)","(6.5, 12.5, 8.45)","(4.0, 7.4, 4.952)","(17.0, 70.0, 32.54545454545455)"
14-12-2022 19:36:58.389423,"(17.0, 70.0, 37.8125)","(1.55, 1.87, 1.7370833333333335)","(21.0, 80.0, 42.769230769230774)","(14.0, 46.0, 29.200000000000003)","(51.0, 410.0, 184.76923076923077)","(6.5, 12.5, 8.45)","(4.0, 7.4, 4.952)","(17.0, 70.0, 32.54545454545455)"
14-12-2022 19:36:59.530414,"(17.0, 70.0, 37.8125)","(1.55, 1.87, 1.7370833333333335)","(21.0, 80.0, 42.769230769230774)","(14.0, 46.0, 29.200000000000003)","(51.0, 410.0, 184.76923076923077)","(6.5, 12.5, 8.45)","(4.0, 7.4, 4.952)","(17.0, 70.0, 32.54545454545455)"
14-12-2022 19:37:00.680162,"(17.0, 70.0, 37.8125)","(1.55, 1.87, 1.7370833333333335)","(21.0, 80.0, 42.769230769230774)","(14.0, 46.0, 29.200000000000003)","(51.0, 410.0, 184.76923076923077)","(6.5, 12.5, 8.45)","(4.0, 7.4, 4.952)","(17.0, 70.0, 32.54545454545455)"
14-12-2022 19:37:01.844604,"(17.0, 70.0, 37.8125)","(1.55, 1.87, 1.7370833333333335)","(21.0, 80.0, 42.769230769230774)","(14.0, 46.0, 29.200000000000003)","(51.0, 410.0, 184.76923076923077)","(6.5, 12.5, 8.45)","(4.0, 7.4, 4.952)","(17.0, 70.0, 32.54545454545455)"
14-12-2022 19:37:02.896704,"(17.0, 70.0, 37.8125)","(1.55, 1.87, 1.7370833333333335)","(21.0, 80.0, 42.769230769230774)","(14.0, 46.0, 29.200000000000003)","(51.0, 410.0, 184.76923076923077)","(6.5, 12.5, 8.45)","(4.0, 7.4, 4.952)","(17.0, 70.0, 32.54545454545455)"
14-12-2022 19:37:04.139051,"(17.0, 70.0, 37.8125)","(1.55, 1.87, 1.7370833333333335)","(21.0, 80.0, 42.769230769230774)","(14.0, 46.0, 29.200000000000003)","(51.0, 410.0, 184.76923076923077)","(6.5, 12.5, 8.45)","(4.0, 7.4, 4.952)","(17.0, 70.0, 32.54545454545455)"
