,Shanias Dream,Lektra Tinsel,Negasi Bale,Rough In Vegas,Miss Molly Lee,Speedy Muffin,Aston Trump
0,"[datetime.datetime(2022, 11, 28, 15, 33, 17, 149016), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 15, 33, 17, 149016), 4.2, 8.6]","[datetime.datetime(2022, 11, 28, 15, 33, 17, 149016), 3.8, 5.3]","[datetime.datetime(2022, 11, 28, 15, 33, 17, 149016), 7.5, 10.0]","[datetime.datetime(2022, 11, 28, 15, 33, 17, 149016), 5.5, 8.4]","[datetime.datetime(2022, 11, 28, 15, 33, 17, 149016), 5.0, 9.2]","[datetime.datetime(2022, 11, 28, 15, 33, 17, 149016), 10.0, 29.0]"
1,"[datetime.datetime(2022, 11, 28, 15, 33, 18, 278757), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 15, 33, 18, 278757), 4.2, 8.6]","[datetime.datetime(2022, 11, 28, 15, 33, 18, 278757), 3.8, 5.3]","[datetime.datetime(2022, 11, 28, 15, 33, 18, 278757), 7.5, 10.0]","[datetime.datetime(2022, 11, 28, 15, 33, 18, 278757), 5.5, 8.4]","[datetime.datetime(2022, 11, 28, 15, 33, 18, 278757), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 15, 33, 18, 278757), 10.0, 29.0]"
2,"[datetime.datetime(2022, 11, 28, 15, 33, 19, 394474), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 15, 33, 19, 394474), 4.2, 8.6]","[datetime.datetime(2022, 11, 28, 15, 33, 19, 394474), 3.8, 5.3]","[datetime.datetime(2022, 11, 28, 15, 33, 19, 394474), 7.5, 10.0]","[datetime.datetime(2022, 11, 28, 15, 33, 19, 394474), 5.5, 8.4]","[datetime.datetime(2022, 11, 28, 15, 33, 19, 394474), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 15, 33, 19, 394474), 10.0, 29.0]"
3,"[datetime.datetime(2022, 11, 28, 15, 33, 20, 525000), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 15, 33, 20, 525000), 4.2, 8.6]","[datetime.datetime(2022, 11, 28, 15, 33, 20, 525000), 3.8, 5.3]","[datetime.datetime(2022, 11, 28, 15, 33, 20, 525000), 7.5, 10.0]","[datetime.datetime(2022, 11, 28, 15, 33, 20, 525000), 5.5, 8.4]","[datetime.datetime(2022, 11, 28, 15, 33, 20, 525000), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 15, 33, 20, 525000), 10.0, 29.0]"
4,"[datetime.datetime(2022, 11, 28, 15, 33, 21, 638551), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 15, 33, 21, 638551), 4.2, 8.6]","[datetime.datetime(2022, 11, 28, 15, 33, 21, 638551), 3.8, 5.3]","[datetime.datetime(2022, 11, 28, 15, 33, 21, 638551), 7.5, 10.0]","[datetime.datetime(2022, 11, 28, 15, 33, 21, 638551), 5.5, 8.4]","[datetime.datetime(2022, 11, 28, 15, 33, 21, 638551), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 15, 33, 21, 638551), 10.0, 29.0]"
5,"[datetime.datetime(2022, 11, 28, 15, 33, 22, 755158), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 15, 33, 22, 755158), 4.2, 8.6]","[datetime.datetime(2022, 11, 28, 15, 33, 22, 755158), 3.8, 5.3]","[datetime.datetime(2022, 11, 28, 15, 33, 22, 755158), 7.5, 10.0]","[datetime.datetime(2022, 11, 28, 15, 33, 22, 755158), 5.5, 8.4]","[datetime.datetime(2022, 11, 28, 15, 33, 22, 755158), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 15, 33, 22, 755158), 10.0, 29.0]"
6,"[datetime.datetime(2022, 11, 28, 15, 33, 23, 868183), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 15, 33, 23, 868183), 4.2, 8.6]","[datetime.datetime(2022, 11, 28, 15, 33, 23, 868183), 3.8, 5.3]","[datetime.datetime(2022, 11, 28, 15, 33, 23, 868183), 7.5, 10.0]","[datetime.datetime(2022, 11, 28, 15, 33, 23, 868183), 5.5, 8.4]","[datetime.datetime(2022, 11, 28, 15, 33, 23, 868183), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 15, 33, 23, 868183), 10.0, 29.0]"
7,"[datetime.datetime(2022, 11, 28, 15, 33, 24, 985549), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 15, 33, 24, 985549), 4.2, 8.6]","[datetime.datetime(2022, 11, 28, 15, 33, 24, 985549), 3.8, 5.3]","[datetime.datetime(2022, 11, 28, 15, 33, 24, 985549), 7.5, 10.0]","[datetime.datetime(2022, 11, 28, 15, 33, 24, 985549), 5.5, 8.4]","[datetime.datetime(2022, 11, 28, 15, 33, 24, 985549), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 15, 33, 24, 985549), 10.0, 29.0]"
8,"[datetime.datetime(2022, 11, 28, 15, 33, 26, 98538), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 15, 33, 26, 98538), 4.2, 8.6]","[datetime.datetime(2022, 11, 28, 15, 33, 26, 98538), 3.8, 5.3]","[datetime.datetime(2022, 11, 28, 15, 33, 26, 98538), 7.5, 10.0]","[datetime.datetime(2022, 11, 28, 15, 33, 26, 98538), 5.5, 8.4]","[datetime.datetime(2022, 11, 28, 15, 33, 26, 98538), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 15, 33, 26, 98538), 10.0, 29.0]"
9,"[datetime.datetime(2022, 11, 28, 15, 33, 27, 227993), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 15, 33, 27, 227993), 4.2, 8.6]","[datetime.datetime(2022, 11, 28, 15, 33, 27, 227993), 3.8, 5.3]","[datetime.datetime(2022, 11, 28, 15, 33, 27, 227993), 7.5, 10.0]","[datetime.datetime(2022, 11, 28, 15, 33, 27, 227993), 5.5, 8.4]","[datetime.datetime(2022, 11, 28, 15, 33, 27, 227993), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 15, 33, 27, 227993), 10.0, 29.0]"
10,"[datetime.datetime(2022, 11, 28, 15, 33, 28, 338438), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 15, 33, 28, 338438), 4.2, 8.6]","[datetime.datetime(2022, 11, 28, 15, 33, 28, 338438), 3.8, 5.3]","[datetime.datetime(2022, 11, 28, 15, 33, 28, 338438), 7.5, 10.0]","[datetime.datetime(2022, 11, 28, 15, 33, 28, 338438), 5.5, 8.4]","[datetime.datetime(2022, 11, 28, 15, 33, 28, 338438), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 15, 33, 28, 338438), 10.0, 29.0]"
11,"[datetime.datetime(2022, 11, 28, 15, 33, 29, 461398), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 15, 33, 29, 461398), 4.2, 8.6]","[datetime.datetime(2022, 11, 28, 15, 33, 29, 461398), 3.8, 5.3]","[datetime.datetime(2022, 11, 28, 15, 33, 29, 461398), 7.5, 10.0]","[datetime.datetime(2022, 11, 28, 15, 33, 29, 461398), 5.5, 8.4]","[datetime.datetime(2022, 11, 28, 15, 33, 29, 461398), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 15, 33, 29, 461398), 10.0, 29.0]"
12,"[datetime.datetime(2022, 11, 28, 15, 33, 30, 588526), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 15, 33, 30, 588526), 4.2, 8.6]","[datetime.datetime(2022, 11, 28, 15, 33, 30, 588526), 3.8, 5.3]","[datetime.datetime(2022, 11, 28, 15, 33, 30, 588526), 7.5, 10.0]","[datetime.datetime(2022, 11, 28, 15, 33, 30, 588526), 5.5, 8.4]","[datetime.datetime(2022, 11, 28, 15, 33, 30, 588526), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 15, 33, 30, 588526), 10.0, 29.0]"
13,"[datetime.datetime(2022, 11, 28, 15, 33, 31, 706327), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 15, 33, 31, 706327), 4.2, 8.6]","[datetime.datetime(2022, 11, 28, 15, 33, 31, 706327), 3.8, 5.3]","[datetime.datetime(2022, 11, 28, 15, 33, 31, 706327), 7.5, 10.0]","[datetime.datetime(2022, 11, 28, 15, 33, 31, 706327), 5.5, 8.4]","[datetime.datetime(2022, 11, 28, 15, 33, 31, 706327), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 15, 33, 31, 706327), 10.0, 29.0]"
14,"[datetime.datetime(2022, 11, 28, 15, 33, 32, 818084), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 15, 33, 32, 818084), 4.2, 8.6]","[datetime.datetime(2022, 11, 28, 15, 33, 32, 818084), 3.8, 5.3]","[datetime.datetime(2022, 11, 28, 15, 33, 32, 818084), 7.5, 10.0]","[datetime.datetime(2022, 11, 28, 15, 33, 32, 818084), 5.5, 8.4]","[datetime.datetime(2022, 11, 28, 15, 33, 32, 818084), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 15, 33, 32, 818084), 10.0, 29.0]"
15,"[datetime.datetime(2022, 11, 28, 15, 33, 33, 932289), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 15, 33, 33, 932289), 4.2, 8.6]","[datetime.datetime(2022, 11, 28, 15, 33, 33, 932289), 3.8, 5.3]","[datetime.datetime(2022, 11, 28, 15, 33, 33, 932289), 7.5, 10.0]","[datetime.datetime(2022, 11, 28, 15, 33, 33, 932289), 5.5, 8.4]","[datetime.datetime(2022, 11, 28, 15, 33, 33, 932289), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 15, 33, 33, 932289), 10.0, 29.0]"
16,"[datetime.datetime(2022, 11, 28, 15, 33, 35, 42982), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 15, 33, 35, 42982), 4.2, 8.6]","[datetime.datetime(2022, 11, 28, 15, 33, 35, 42982), 3.8, 5.3]","[datetime.datetime(2022, 11, 28, 15, 33, 35, 42982), 7.5, 10.0]","[datetime.datetime(2022, 11, 28, 15, 33, 35, 43989), 5.5, 8.4]","[datetime.datetime(2022, 11, 28, 15, 33, 35, 43989), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 15, 33, 35, 43989), 10.0, 29.0]"
17,"[datetime.datetime(2022, 11, 28, 15, 33, 36, 156018), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 15, 33, 36, 156018), 4.2, 8.6]","[datetime.datetime(2022, 11, 28, 15, 33, 36, 156018), 3.8, 5.3]","[datetime.datetime(2022, 11, 28, 15, 33, 36, 156018), 7.5, 10.0]","[datetime.datetime(2022, 11, 28, 15, 33, 36, 156018), 5.5, 8.4]","[datetime.datetime(2022, 11, 28, 15, 33, 36, 156018), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 15, 33, 36, 156018), 10.0, 29.0]"
18,"[datetime.datetime(2022, 11, 28, 15, 33, 37, 284274), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 15, 33, 37, 284274), 4.2, 8.6]","[datetime.datetime(2022, 11, 28, 15, 33, 37, 284274), 3.8, 5.3]","[datetime.datetime(2022, 11, 28, 15, 33, 37, 284274), 7.5, 10.0]","[datetime.datetime(2022, 11, 28, 15, 33, 37, 284274), 5.5, 8.4]","[datetime.datetime(2022, 11, 28, 15, 33, 37, 284274), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 15, 33, 37, 284274), 10.0, 29.0]"
19,"[datetime.datetime(2022, 11, 28, 15, 33, 38, 401959), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 15, 33, 38, 401959), 4.2, 8.6]","[datetime.datetime(2022, 11, 28, 15, 33, 38, 401959), 3.8, 5.3]","[datetime.datetime(2022, 11, 28, 15, 33, 38, 401959), 7.5, 10.0]","[datetime.datetime(2022, 11, 28, 15, 33, 38, 401959), 5.5, 8.4]","[datetime.datetime(2022, 11, 28, 15, 33, 38, 401959), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 15, 33, 38, 401959), 10.0, 29.0]"
