,Prince Of Melton,Liverpool Street,Summer Season,Very Unstable,Stormy Trench,Its Luigi
11-01-2023 15:36:12.694192,"(3.1, 4.7, 3.17)","(20.0, 200.0, 163.8)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.724)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:36:13.723424,"(3.1, 4.7, 4.0664)","(20.0, 200.0, 163.8)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.724)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:36:14.971171,"(3.1, 4.7, 4.0664)","(20.0, 200.0, 163.8)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.724)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:36:15.988615,"(3.1, 4.7, 4.0664)","(20.0, 200.0, 163.8)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.724)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:36:17.034582,"(3.1, 4.7, 4.0664)","(20.0, 200.0, 163.8)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.724)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:36:18.085735,"(3.1, 4.7, 4.0664)","(20.0, 200.0, 163.8)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.724)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:36:19.095955,"(3.1, 4.7, 4.0664)","(20.0, 200.0, 163.8)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.724)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:36:20.228804,"(3.1, 4.7, 3.08)","(20.0, 200.0, 163.8)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 4.182926829268293)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:36:21.239912,"(3.1, 4.7, 3.08)","(20.0, 200.0, 163.8)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:36:22.162229,"(3.1, 4.7, 3.08)","(20.0, 200.0, 163.8)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:36:23.186745,"(3.1, 4.7, 3.08)","(20.0, 200.0, 163.8)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:36:24.273039,"(3.1, 4.7, 3.08)","(20.0, 200.0, 163.8)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:36:25.267416,"(3.1, 4.7, 3.08)","(20.0, 200.0, 163.8)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:36:26.208632,"(3.1, 4.7, 3.08)","(20.0, 200.0, 163.8)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:36:27.175585,"(3.1, 4.7, 3.08)","(20.0, 200.0, 163.8)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:36:28.219710,"(3.1, 4.7, 3.08)","(20.0, 200.0, 163.8)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:36:29.303176,"(3.1, 4.7, 3.08)","(20.0, 200.0, 189.35294117647058)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
