,Me And You,Sunburst,Just Like Mick,Symi Fortuna,Sorority
08-01-2023 19:09:12.874327,"(13.0, 42.0, 34.333333333333336)","(1.45, 1.99, 1.6600000000000001)","(3.8, 5.0, 4.041666666666667)","(31.0, 320.0, 181.0)","(5.5, 9.6, 6.514285714285714)"
08-01-2023 19:09:13.679351,"(13.0, 42.0, 34.333333333333336)","(1.45, 1.99, 1.6600000000000001)","(3.8, 4.8, 4.04)","(31.0, 320.0, 181.0)","(5.5, 9.6, 6.514285714285714)"
08-01-2023 19:09:14.552172,"(13.0, 42.0, 34.333333333333336)","(1.45, 1.99, 1.6600000000000001)","(3.8, 4.8, 4.04)","(31.0, 320.0, 181.0)","(5.5, 9.6, 6.514285714285714)"
08-01-2023 19:09:15.479477,"(13.0, 44.0, 27.333333333333336)","(1.45, 1.99, 1.6600000000000001)","(3.8, 4.7, 3.935)","(31.0, 320.0, 181.0)","(5.5, 9.6, 6.514285714285714)"
08-01-2023 19:09:16.426607,"(13.0, 44.0, 27.333333333333336)","(1.45, 1.98, 1.6575)","(3.8, 4.7, 3.935)","(31.0, 320.0, 181.0)","(5.5, 9.6, 6.514285714285714)"
08-01-2023 19:09:17.397205,"(13.0, 44.0, 31.5)","(1.45, 1.98, 1.77)","(3.8, 4.7, 3.8000000000000003)","(31.0, 320.0, 181.0)","(5.5, 9.6, 6.9)"
08-01-2023 19:09:18.252651,"(13.0, 44.0, 31.5)","(1.45, 1.98, 1.77)","(3.8, 4.7, 3.8000000000000003)","(31.0, 320.0, 181.0)","(5.5, 9.6, 6.9)"
08-01-2023 19:09:19.086628,"(13.0, 44.0, 31.5)","(1.45, 1.98, 1.77)","(3.8, 4.7, 3.8000000000000003)","(31.0, 320.0, 181.0)","(5.5, 9.6, 6.9)"
08-01-2023 19:09:19.948670,"(13.0, 44.0, 31.5)","(1.45, 1.98, 1.84)","(3.8, 4.6, 3.925)","(31.0, 320.0, 181.0)","(5.5, 9.6, 6.9)"
08-01-2023 19:09:20.800268,"(13.0, 44.0, 31.5)","(1.45, 1.97, 1.8675)","(3.8, 4.6, 3.925)","(31.0, 320.0, 181.0)","(5.5, 9.4, 6.566666666666666)"
08-01-2023 19:09:21.721775,"(13.0, 44.0, 31.5)","(1.45, 1.96, 1.76)","(3.8, 4.7, 3.8000000000000003)","(31.0, 320.0, 181.0)","(5.5, 9.2, 7.4)"
