,Money And Power,Confer,Flash Banner,Zipping Eve,Madalia Zoom,Classic Touch,Afternoon,Center
07-12-2022 20:11:43.543400,"(3.3, 6.4, 3.55)","(31.0, 100.0, 46.90909090909091)","(26.0, 70.0, 37.27272727272727)","(2.6, 4.0, 3.8238709677419354)","(8.5, 16.5, 13.3125)","(6.5, 15.5, 8.55)","(8.0, 16.5, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:11:44.749646,"(3.3, 6.4, 3.55)","(31.0, 100.0, 46.90909090909091)","(26.0, 70.0, 37.27272727272727)","(2.6, 4.0, 3.8238709677419354)","(8.5, 16.5, 13.3125)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:11:46.002665,"(3.3, 6.4, 3.55)","(31.0, 100.0, 46.90909090909091)","(26.0, 70.0, 37.27272727272727)","(2.6, 4.0, 3.8238709677419354)","(8.5, 16.5, 13.3125)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:11:47.196662,"(3.3, 6.4, 3.55)","(31.0, 100.0, 46.90909090909091)","(26.0, 70.0, 37.27272727272727)","(2.6, 4.0, 3.8238709677419354)","(8.5, 16.5, 13.3125)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:11:48.354214,"(3.3, 6.4, 3.55)","(31.0, 100.0, 46.90909090909091)","(26.0, 70.0, 37.27272727272727)","(2.6, 4.0, 3.8238709677419354)","(8.5, 16.5, 13.3125)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:11:49.596732,"(3.3, 6.4, 3.55)","(31.0, 100.0, 46.90909090909091)","(26.0, 70.0, 37.27272727272727)","(2.6, 4.0, 3.8238709677419354)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:11:50.770702,"(3.3, 6.4, 3.55)","(31.0, 100.0, 46.90909090909091)","(26.0, 70.0, 37.27272727272727)","(2.6, 4.0, 3.8238709677419354)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:11:52.092294,"(3.3, 6.4, 3.55)","(31.0, 100.0, 46.90909090909091)","(26.0, 70.0, 37.27272727272727)","(2.6, 4.0, 3.8238709677419354)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:11:53.265972,"(3.3, 6.4, 3.55)","(31.0, 100.0, 46.90909090909091)","(26.0, 70.0, 37.27272727272727)","(2.6, 4.0, 3.8238709677419354)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:11:54.362411,"(3.3, 6.4, 3.55)","(31.0, 100.0, 46.90909090909091)","(26.0, 70.0, 37.27272727272727)","(2.6, 4.0, 3.8238709677419354)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:11:55.462435,"(3.3, 6.4, 3.55)","(31.0, 100.0, 46.90909090909091)","(26.0, 70.0, 37.27272727272727)","(2.6, 4.0, 3.8238709677419354)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:11:56.571457,"(3.3, 6.4, 3.55)","(31.0, 100.0, 46.90909090909091)","(26.0, 70.0, 37.27272727272727)","(2.6, 4.0, 3.8238709677419354)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:11:57.738219,"(3.3, 6.4, 3.55)","(31.0, 100.0, 46.90909090909091)","(26.0, 70.0, 37.27272727272727)","(2.6, 4.0, 3.8238709677419354)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:11:59.386317,"(3.3, 6.4, 3.55)","(31.0, 100.0, 46.90909090909091)","(26.0, 70.0, 37.27272727272727)","(2.6, 4.0, 3.8238709677419354)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
