,Shesa Pocketrocket,Tinge Of Fear,Goalkicker,A Whole Lotta Rosie Nz,Shez Notorious,Goldies A Delight,Keayang Tara,Whata Journey,Couldntmisafalcon,Delightful Rainbow
07-01-2023 20:18:14.879004,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 16.0, 12.6)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:18:16.502616,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 16.0, 12.6)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:18:18.075823,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 16.0, 12.6)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:18:19.729386,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 16.0, 12.6)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:18:21.410854,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 16.0, 12.6)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:18:23.106875,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 16.0, 12.6)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:18:24.803143,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 16.0, 12.6)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:18:26.509168,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 16.0, 12.6)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:18:28.105178,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 16.0, 12.6)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:18:29.840032,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 16.0, 12.6)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:18:31.606628,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 16.0, 12.6)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:18:33.378457,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 16.0, 12.6)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:18:35.209307,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 16.0, 12.6)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:18:36.896643,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 16.0, 12.6)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:18:38.702112,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 16.0, 12.6)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:18:40.429172,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 16.0, 12.6)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
