,Hardtimes,Thomas Aquinas,Legit,Whatsup,Almeraki,Irrigate,Razors Edge,Trustworthy,Ginger Snapz,Pinsk,Oceanides,Lord Spencer,Swing Low
12-01-2023 14:13:43.811015,"(9.0, 16.5, 14.5)","(6.0, 13.0, 10.933333333333334)","(15.0, 29.0, 22.8125)","(11.0, 18.0, 14.5)","(7.0, 16.0, 11.899999999999999)","(10.0, 27.0, 21.333333333333336)","(8.5, 15.0, 11.9)","(11.0, 17.5, 15.333333333333332)","(18.0, 44.0, 31.076923076923077)","(16.0, 32.0, 24.0)","(6.5, 10.5, 9.266666666666666)","(7.0, 16.0, 9.85)","(26.0, 110.0, 63.333333333333336)"
12-01-2023 14:13:45.418912,"(9.0, 16.5, 14.5)","(6.0, 13.0, 10.933333333333334)","(15.0, 29.0, 22.8125)","(11.0, 18.0, 14.5)","(7.0, 16.0, 11.899999999999999)","(10.0, 27.0, 21.333333333333336)","(8.5, 15.0, 11.9)","(11.0, 17.5, 15.333333333333332)","(18.0, 44.0, 33.0)","(16.0, 32.0, 24.0)","(6.5, 10.5, 9.266666666666666)","(7.0, 16.0, 9.85)","(26.0, 110.0, 63.333333333333336)"
12-01-2023 14:13:47.058357,"(9.0, 16.5, 14.5)","(6.0, 13.0, 12.631578947368421)","(15.0, 29.0, 22.8125)","(11.0, 18.0, 14.5)","(7.0, 16.0, 11.899999999999999)","(10.0, 27.0, 21.333333333333336)","(8.5, 15.0, 11.9)","(11.0, 17.5, 15.333333333333332)","(18.0, 44.0, 33.0)","(16.0, 32.0, 24.0)","(6.5, 10.5, 9.266666666666666)","(7.0, 16.0, 9.85)","(26.0, 110.0, 63.333333333333336)"
12-01-2023 14:13:48.623890,"(9.0, 16.5, 14.5)","(6.0, 13.0, 12.631578947368421)","(15.0, 29.0, 22.8125)","(11.0, 18.0, 14.5)","(7.0, 16.0, 11.899999999999999)","(10.0, 27.0, 21.333333333333336)","(8.5, 15.0, 11.9)","(11.0, 17.5, 15.333333333333332)","(18.0, 44.0, 33.0)","(16.0, 32.0, 24.0)","(6.5, 10.5, 9.266666666666666)","(7.0, 16.0, 9.85)","(26.0, 110.0, 63.333333333333336)"
12-01-2023 14:13:50.130301,"(9.0, 16.5, 14.5)","(6.0, 13.0, 12.631578947368421)","(15.0, 29.0, 22.8125)","(11.0, 18.0, 14.5)","(7.0, 16.0, 11.899999999999999)","(10.0, 27.0, 21.333333333333336)","(8.5, 15.0, 11.9)","(11.0, 17.5, 15.333333333333332)","(18.0, 44.0, 33.0)","(16.0, 32.0, 24.0)","(6.5, 10.5, 9.266666666666666)","(7.0, 16.0, 9.85)","(26.0, 110.0, 63.333333333333336)"
12-01-2023 14:13:51.600897,"(9.0, 16.5, 14.5)","(6.0, 13.0, 12.631578947368421)","(15.0, 29.0, 22.8125)","(11.0, 18.0, 14.5)","(7.0, 16.0, 11.899999999999999)","(10.0, 27.0, 21.333333333333336)","(8.5, 15.0, 11.9)","(11.0, 17.5, 15.333333333333332)","(18.0, 44.0, 33.0)","(16.0, 32.0, 24.0)","(6.5, 10.5, 9.266666666666666)","(7.0, 16.0, 9.85)","(26.0, 110.0, 63.333333333333336)"
12-01-2023 14:13:53.078681,"(9.0, 16.5, 14.5)","(6.0, 13.0, 12.631578947368421)","(15.0, 29.0, 22.8125)","(11.0, 18.0, 14.5)","(7.0, 16.0, 11.899999999999999)","(10.0, 27.0, 21.333333333333336)","(8.5, 15.0, 11.9)","(11.0, 17.5, 15.333333333333332)","(18.0, 44.0, 31.076923076923077)","(16.0, 32.0, 24.0)","(6.5, 10.5, 9.266666666666666)","(7.0, 16.0, 9.85)","(26.0, 110.0, 63.333333333333336)"
12-01-2023 14:13:54.635854,"(9.0, 16.5, 14.5)","(6.0, 13.0, 12.631578947368421)","(15.0, 29.0, 22.8125)","(11.0, 18.0, 14.5)","(7.0, 16.0, 11.899999999999999)","(10.0, 27.0, 21.333333333333336)","(8.5, 15.0, 11.9)","(11.0, 17.5, 15.333333333333332)","(18.0, 44.0, 31.076923076923077)","(16.0, 32.0, 24.0)","(6.5, 10.5, 9.266666666666666)","(7.0, 16.0, 9.85)","(26.0, 110.0, 63.333333333333336)"
12-01-2023 14:13:56.209323,"(9.0, 16.5, 14.5)","(6.0, 13.0, 12.631578947368421)","(15.0, 29.0, 22.8125)","(11.0, 18.0, 14.5)","(7.0, 16.0, 11.899999999999999)","(10.0, 27.0, 21.333333333333336)","(8.5, 15.0, 11.9)","(11.0, 17.5, 15.333333333333332)","(18.0, 44.0, 31.076923076923077)","(16.0, 32.0, 24.0)","(6.5, 10.5, 9.266666666666666)","(7.0, 16.0, 9.85)","(26.0, 110.0, 63.333333333333336)"
12-01-2023 14:13:57.705549,"(9.0, 16.5, 14.5)","(6.0, 13.0, 12.631578947368421)","(15.0, 29.0, 22.8125)","(11.0, 18.0, 14.5)","(7.0, 16.0, 11.899999999999999)","(10.0, 27.0, 17.5)","(8.5, 15.0, 11.9)","(11.0, 17.5, 15.333333333333332)","(18.0, 44.0, 31.076923076923077)","(16.0, 32.0, 26.0)","(6.5, 10.5, 9.266666666666666)","(7.0, 16.0, 9.85)","(26.0, 110.0, 63.333333333333336)"
