,All Lit Up,My Brockie,Flying Tiny Tim,Yeah Duggi,Genuine Risk,Adele Amour,Elite Choice,Astral Star
10,"[datetime.datetime(2022, 11, 28, 18, 23, 28, 14182), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 28, 14182), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 28, 14182), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 28, 14182), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 28, 14182), 20.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 28, 14182), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 28, 14182), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 28, 14182), 16.0, 34.0]"
11,"[datetime.datetime(2022, 11, 28, 18, 23, 29, 153740), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 29, 153740), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 29, 153740), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 29, 153740), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 29, 153740), 20.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 29, 153740), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 29, 153740), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 29, 153740), 16.0, 34.0]"
12,"[datetime.datetime(2022, 11, 28, 18, 23, 30, 307599), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 30, 307599), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 30, 307599), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 30, 307599), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 30, 307599), 20.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 30, 307599), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 30, 307599), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 30, 307599), 16.0, 34.0]"
13,"[datetime.datetime(2022, 11, 28, 18, 23, 31, 447141), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 31, 447141), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 31, 447141), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 31, 447141), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 31, 447141), 20.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 31, 447141), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 31, 447141), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 31, 447141), 16.0, 34.0]"
14,"[datetime.datetime(2022, 11, 28, 18, 23, 32, 599391), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 32, 599391), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 32, 599391), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 32, 599391), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 32, 599391), 20.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 32, 599391), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 32, 599391), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 32, 599391), 16.0, 34.0]"
15,"[datetime.datetime(2022, 11, 28, 18, 23, 33, 769206), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 33, 769206), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 33, 769206), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 33, 769206), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 33, 769206), 20.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 33, 769206), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 33, 769206), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 33, 769206), 16.0, 34.0]"
16,"[datetime.datetime(2022, 11, 28, 18, 23, 35, 17567), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 35, 17567), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 35, 17567), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 35, 17567), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 35, 17567), 20.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 35, 17567), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 35, 17567), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 35, 17567), 16.0, 34.0]"
17,"[datetime.datetime(2022, 11, 28, 18, 23, 36, 266028), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 36, 266028), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 36, 266028), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 36, 266028), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 36, 266028), 20.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 36, 266028), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 36, 266028), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 36, 266028), 16.0, 34.0]"
18,"[datetime.datetime(2022, 11, 28, 18, 23, 37, 409836), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 37, 409836), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 37, 409836), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 37, 409836), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 37, 409836), 20.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 37, 409836), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 37, 409836), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 37, 409836), 16.0, 34.0]"
19,"[datetime.datetime(2022, 11, 28, 18, 23, 38, 579089), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 38, 579089), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 38, 579089), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 38, 579089), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 38, 579089), 20.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 38, 579089), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 38, 579089), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 38, 579089), 16.0, 34.0]"
