,Princess Damiro,Powered Up,Farmor Frisky,Skylark Bully,Shian Kelly
10-01-2023 14:26:18.624846,"(2.6, 4.0, 3.75)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.4, 6.742857142857143)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:19.652696,"(2.6, 4.0, 3.75)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.4, 6.742857142857143)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:20.667873,"(2.6, 4.0, 3.75)","(1.9, 1.9, 1.8310344827586207)","(4.2, 8.4, 6.95)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:21.709513,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8310344827586207)","(4.2, 9.4, 7.45)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:22.667773,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8310344827586207)","(4.2, 9.4, 7.45)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:23.620075,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8310344827586207)","(4.2, 9.4, 7.45)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:24.622602,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8310344827586207)","(4.2, 9.4, 7.45)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:25.456513,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8310344827586207)","(4.2, 9.2, 7.35)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:26.404736,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8310344827586207)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:27.346184,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8310344827586207)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:28.308186,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8310344827586207)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:29.363850,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8310344827586207)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:30.380601,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8310344827586207)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:31.399760,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8310344827586207)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:32.435791,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8310344827586207)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:33.514509,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8310344827586207)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 685.8333333333333)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:34.618428,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8310344827586207)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 685.8333333333333)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:35.819528,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8310344827586207)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 685.8333333333333)","(12.0, 24.0, 19.75)"
