,Kraken Freckles,Diva Dot,Shanias Dream,Vortex,Kraken Attila,Slingshot Bruno,Stylish Ken,Husky Freckle
08-12-2022 12:34:22.811686,"(2.5, 3.7, 2.7092307692307696)","(26.0, 65.0, 33.5)","(21.0, 55.0, 36.86666666666667)","(26.0, 90.0, 58.0)","(4.4, 6.6, 5.0)","(4.0, 8.4, 6.514285714285714)","(3.5, 5.5, 4.15)","(26.0, 290.0, 141.42857142857144)"
08-12-2022 12:34:24.219702,"(2.5, 3.7, 2.744615384615385)","(26.0, 65.0, 33.5)","(21.0, 55.0, 36.86666666666667)","(26.0, 90.0, 58.0)","(4.4, 6.6, 5.0)","(4.0, 8.4, 6.514285714285714)","(3.5, 5.5, 4.15)","(26.0, 290.0, 141.42857142857144)"
08-12-2022 12:34:25.375707,"(2.5, 3.7, 2.744615384615385)","(26.0, 65.0, 33.5)","(21.0, 55.0, 36.86666666666667)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.791304347826086)","(4.0, 8.4, 6.6)","(3.5, 5.5, 4.15)","(26.0, 290.0, 141.42857142857144)"
08-12-2022 12:34:26.443880,"(2.5, 3.7, 2.744615384615385)","(26.0, 60.0, 52.6)","(21.0, 55.0, 36.86666666666667)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.930434782608696)","(4.0, 8.4, 6.6)","(3.5, 5.5, 4.15)","(26.0, 290.0, 141.42857142857144)"
08-12-2022 12:34:27.643078,"(2.5, 3.7, 2.7092307692307696)","(26.0, 60.0, 52.6)","(21.0, 55.0, 36.86666666666667)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.930434782608696)","(4.0, 8.4, 6.685714285714286)","(3.5, 5.5, 4.15)","(26.0, 290.0, 141.42857142857144)"
08-12-2022 12:34:28.831768,"(2.5, 3.7, 2.7092307692307696)","(26.0, 60.0, 52.6)","(21.0, 55.0, 36.86666666666667)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.930434782608696)","(4.0, 8.4, 6.685714285714286)","(3.5, 5.5, 4.15)","(26.0, 290.0, 141.42857142857144)"
08-12-2022 12:34:29.989172,"(2.5, 3.7, 2.7092307692307696)","(26.0, 60.0, 52.6)","(21.0, 55.0, 36.86666666666667)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.4947368421052625)","(4.2, 8.4, 6.685714285714286)","(3.5, 5.5, 4.15)","(26.0, 290.0, 141.42857142857144)"
08-12-2022 12:34:31.166871,"(2.5, 3.7, 2.7092307692307696)","(26.0, 60.0, 52.6)","(21.0, 55.0, 36.86666666666667)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.4947368421052625)","(4.2, 8.4, 6.685714285714286)","(3.5, 5.5, 4.15)","(26.0, 290.0, 141.42857142857144)"
08-12-2022 12:34:32.337279,"(2.5, 3.7, 2.7092307692307696)","(26.0, 60.0, 52.6)","(21.0, 55.0, 36.86666666666667)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.4947368421052625)","(4.2, 8.4, 6.685714285714286)","(3.5, 5.5, 4.15)","(26.0, 290.0, 141.42857142857144)"
08-12-2022 12:34:33.560453,"(2.5, 3.7, 2.762962962962963)","(26.0, 60.0, 52.6)","(21.0, 55.0, 36.86666666666667)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.663157894736842)","(4.2, 8.4, 6.771428571428571)","(3.5, 5.5, 4.15)","(26.0, 290.0, 141.42857142857144)"
08-12-2022 12:34:34.805833,"(2.5, 3.7, 2.762962962962963)","(26.0, 60.0, 52.6)","(21.0, 55.0, 36.86666666666667)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.663157894736842)","(4.2, 8.4, 6.771428571428571)","(3.5, 5.5, 4.15)","(26.0, 290.0, 141.42857142857144)"
08-12-2022 12:34:36.016289,"(2.5, 3.7, 2.762962962962963)","(26.0, 60.0, 52.6)","(21.0, 55.0, 36.86666666666667)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.4947368421052625)","(4.2, 8.4, 6.771428571428571)","(3.5, 5.5, 4.15)","(26.0, 290.0, 141.42857142857144)"
08-12-2022 12:34:37.178560,"(2.5, 3.7, 2.762962962962963)","(26.0, 60.0, 52.6)","(21.0, 55.0, 36.86666666666667)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.4947368421052625)","(4.2, 8.4, 6.728571428571429)","(3.5, 5.5, 4.15)","(26.0, 290.0, 141.42857142857144)"
08-12-2022 12:34:38.268891,"(2.5, 3.7, 2.762962962962963)","(26.0, 60.0, 52.6)","(21.0, 55.0, 36.86666666666667)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.4947368421052625)","(4.2, 8.4, 6.728571428571429)","(3.5, 5.5, 4.15)","(26.0, 290.0, 141.42857142857144)"
08-12-2022 12:34:39.449932,"(2.5, 3.7, 2.762962962962963)","(26.0, 60.0, 52.6)","(21.0, 55.0, 36.86666666666667)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.663157894736842)","(4.2, 8.4, 6.771428571428571)","(3.5, 5.5, 4.15)","(26.0, 290.0, 141.42857142857144)"
08-12-2022 12:34:40.562791,"(2.5, 3.7, 2.762962962962963)","(26.0, 60.0, 52.6)","(21.0, 55.0, 36.86666666666667)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.663157894736842)","(4.2, 8.4, 6.771428571428571)","(3.5, 5.5, 4.15)","(26.0, 290.0, 141.42857142857144)"
