,Spill The Tears,Dragon Pins,Thunder Moon,Madagascar Miss,Brazetti,Rodian Bull,Sidewalk,Coffee Coming,Dynamic Jewel,Scare Campaign,Sunny Ekcels
12-01-2023 15:59:05.600477,"(7.5, 12.5, 11.25)","(6.5, 13.5, 13.4)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 21.5)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:07.178978,"(7.5, 12.5, 11.25)","(6.5, 13.5, 13.4)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 21.5)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:08.533742,"(7.5, 12.5, 11.875)","(6.5, 13.5, 13.4)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 21.5)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:09.862429,"(7.5, 12.5, 11.875)","(6.5, 13.5, 13.4)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 21.5)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:11.148844,"(7.5, 12.5, 11.875)","(6.5, 13.5, 13.4)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 21.5)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:12.469691,"(7.5, 12.5, 11.875)","(6.5, 13.5, 13.4)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 21.5)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:13.766544,"(7.5, 12.5, 11.875)","(6.5, 13.5, 13.4)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 21.5)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:15.122002,"(7.5, 12.5, 11.875)","(6.5, 13.5, 13.4)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 21.5)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:16.505076,"(7.5, 12.5, 11.875)","(6.5, 13.5, 13.4)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 21.5)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:17.823078,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 24.3)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:19.094447,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 24.3)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:20.407403,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 24.3)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:21.722783,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 24.3)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:23.301804,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 10.973684210526315)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 24.3)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:24.807926,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 10.973684210526315)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 24.3)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:26.270658,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 10.973684210526315)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 24.3)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:27.694818,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 10.973684210526315)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 24.3)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:29.057220,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 10.973684210526315)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 24.3)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:30.555465,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 10.973684210526315)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:32.074919,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 10.973684210526315)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:33.464656,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 10.973684210526315)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:34.887130,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 10.973684210526315)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:36.583794,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 10.973684210526315)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:38.011916,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:39.998530,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:41.417346,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
