,Kaytee Valiente,Imagine Howe,Moscow Mule,True Scotsman,Anonymous Source,Olympic Honour,Has The Look,Klatten
11-01-2023 11:55:17.058803,"(15.0, 29.0, 26.5)","(2.25, 2.66, 2.630666666666667)","(21.0, 44.0, 35.25)","(4.6, 5.3, 5.160759493670886)","(5.5, 9.0, 8.569230769230769)","(10.0, 13.0, 12.28)","(5.5, 6.4, 6.266666666666667)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:18.272346,"(15.0, 29.0, 26.272727272727273)","(2.25, 2.66, 2.630666666666667)","(21.0, 44.0, 35.111111111111114)","(4.6, 5.3, 5.160759493670886)","(5.5, 9.0, 8.569230769230769)","(10.0, 13.0, 12.28)","(5.5, 6.4, 6.266666666666667)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:19.382957,"(15.0, 29.0, 26.272727272727273)","(2.25, 2.66, 2.630666666666667)","(21.0, 44.0, 35.111111111111114)","(4.6, 5.3, 5.26)","(5.5, 9.0, 8.569230769230769)","(10.0, 13.0, 12.28)","(5.5, 6.4, 6.266666666666667)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:20.380148,"(15.0, 29.0, 26.272727272727273)","(2.25, 2.66, 2.636)","(21.0, 44.0, 35.42857142857143)","(4.6, 5.3, 5.278181818181818)","(5.5, 9.0, 8.65)","(10.0, 13.0, 12.590909090909092)","(5.5, 6.4, 6.266666666666667)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:21.445526,"(15.0, 29.0, 26.272727272727273)","(2.25, 2.66, 2.636)","(21.0, 44.0, 35.42857142857143)","(4.6, 5.3, 5.278181818181818)","(5.5, 9.0, 8.569230769230769)","(10.0, 13.0, 12.590909090909092)","(5.5, 6.4, 6.266666666666667)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:22.498029,"(15.0, 29.0, 26.272727272727273)","(2.25, 2.66, 2.636)","(21.0, 44.0, 35.42857142857143)","(4.6, 5.3, 5.278181818181818)","(5.5, 9.0, 8.569230769230769)","(10.0, 13.0, 12.590909090909092)","(5.5, 6.4, 6.266666666666667)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:23.504533,"(15.0, 29.0, 26.272727272727273)","(2.25, 2.66, 2.636)","(21.0, 44.0, 35.42857142857143)","(4.6, 5.3, 5.24)","(5.5, 9.0, 8.371428571428572)","(10.0, 13.0, 12.653846153846153)","(5.5, 6.4, 6.266666666666667)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:24.519046,"(15.0, 29.0, 26.272727272727273)","(2.25, 2.68, 2.644)","(21.0, 44.0, 35.42857142857143)","(4.6, 5.3, 5.24)","(5.5, 9.0, 8.371428571428572)","(10.0, 13.0, 12.653846153846153)","(5.5, 6.2, 6.153846153846154)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:25.524973,"(15.0, 29.0, 26.272727272727273)","(2.25, 2.7, 2.644615384615385)","(21.0, 44.0, 35.42857142857143)","(4.6, 5.3, 5.24)","(5.5, 9.0, 8.371428571428572)","(10.0, 13.0, 12.653846153846153)","(5.5, 6.0, 5.93125)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:26.572175,"(15.0, 29.0, 26.272727272727273)","(2.25, 2.7, 2.644615384615385)","(21.0, 44.0, 35.42857142857143)","(4.6, 5.3, 5.24)","(5.5, 9.0, 8.371428571428572)","(10.0, 13.0, 12.653846153846153)","(5.5, 6.0, 5.890909090909091)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:27.541215,"(15.0, 29.0, 26.272727272727273)","(2.25, 2.7, 2.644615384615385)","(21.0, 44.0, 35.42857142857143)","(4.6, 5.3, 5.24)","(5.5, 9.0, 8.377777777777778)","(10.0, 13.0, 12.653846153846153)","(5.5, 6.0, 5.873684210526315)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:28.565129,"(15.0, 29.0, 26.333333333333332)","(2.25, 2.72, 2.6817910447761197)","(21.0, 44.0, 35.666666666666664)","(4.6, 5.3, 5.278181818181818)","(5.5, 9.0, 8.28)","(10.0, 13.0, 12.689655172413794)","(5.5, 6.0, 5.873684210526315)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:29.734963,"(15.0, 29.0, 26.333333333333332)","(2.25, 2.72, 2.6819047619047622)","(21.0, 44.0, 39.45454545454545)","(4.6, 5.3, 5.281818181818181)","(5.5, 9.0, 8.28)","(10.0, 13.0, 12.689655172413794)","(5.5, 5.9, 5.825)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:30.864193,"(15.0, 29.0, 26.333333333333332)","(2.25, 2.74, 2.738604651162791)","(21.0, 44.0, 38.285714285714285)","(4.6, 5.3, 5.281818181818181)","(5.5, 9.0, 8.357142857142858)","(10.0, 13.0, 12.689655172413794)","(5.5, 5.9, 5.807692307692308)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:31.979157,"(15.0, 29.0, 26.333333333333332)","(2.25, 2.8, 2.78)","(21.0, 44.0, 35.666666666666664)","(4.6, 5.3, 5.281818181818181)","(5.5, 9.0, 8.4375)","(10.0, 13.0, 12.4375)","(5.5, 5.9, 5.818181818181818)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:33.011258,"(15.0, 28.0, 26.333333333333332)","(2.25, 2.92, 2.818181818181818)","(21.0, 44.0, 35.666666666666664)","(4.6, 5.1, 5.088461538461538)","(5.5, 9.0, 8.4375)","(10.0, 12.5, 12.4375)","(5.5, 5.9, 5.818181818181818)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:34.057222,"(15.0, 28.0, 26.5)","(2.25, 2.86, 2.817142857142857)","(21.0, 44.0, 35.666666666666664)","(4.6, 5.1, 5.088461538461538)","(5.5, 9.0, 8.4375)","(10.0, 12.5, 12.4375)","(5.5, 5.9, 5.841463414634147)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:35.046047,"(15.0, 29.0, 26.5)","(2.25, 2.86, 2.793333333333333)","(21.0, 44.0, 35.666666666666664)","(4.6, 5.1, 5.0874999999999995)","(5.5, 9.0, 8.4375)","(10.0, 12.5, 12.4375)","(5.5, 5.9, 5.845454545454546)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:36.069597,"(15.0, 28.0, 26.4)","(2.25, 2.86, 2.793333333333333)","(21.0, 44.0, 35.666666666666664)","(4.6, 5.2, 5.168)","(5.5, 9.0, 8.4375)","(10.0, 12.5, 12.4375)","(5.5, 5.8, 5.760526315789473)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:37.110486,"(15.0, 28.0, 26.4)","(2.25, 2.86, 2.793333333333333)","(21.0, 44.0, 35.666666666666664)","(4.6, 5.2, 5.168)","(5.5, 9.0, 8.4375)","(10.0, 12.5, 12.4375)","(5.5, 5.8, 5.753846153846154)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:38.159445,"(15.0, 28.0, 26.22222222222222)","(2.25, 2.86, 2.8236363636363633)","(21.0, 44.0, 35.666666666666664)","(4.6, 5.2, 5.168)","(5.5, 9.0, 8.4375)","(10.0, 12.5, 12.4375)","(5.5, 5.8, 5.753846153846154)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:39.255374,"(15.0, 28.0, 26.22222222222222)","(2.25, 2.86, 2.8107692307692305)","(21.0, 44.0, 35.666666666666664)","(4.6, 5.2, 5.1866666666666665)","(5.5, 9.0, 8.4375)","(10.0, 12.5, 12.4375)","(5.5, 5.8, 5.633333333333334)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:40.333498,"(15.0, 28.0, 26.4)","(2.25, 2.86, 2.8107692307692305)","(21.0, 44.0, 35.666666666666664)","(4.6, 5.3, 5.22)","(5.5, 9.0, 8.4375)","(10.0, 12.5, 12.4375)","(5.5, 5.7, 5.611111111111112)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:41.377791,"(15.0, 28.0, 26.4)","(2.25, 2.86, 2.8107692307692305)","(21.0, 44.0, 35.666666666666664)","(4.6, 5.3, 5.22)","(5.5, 9.0, 8.318181818181818)","(10.0, 12.5, 12.4375)","(5.5, 5.7, 5.5625)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:42.423246,"(15.0, 28.0, 26.4)","(2.25, 2.86, 2.8107692307692305)","(21.0, 44.0, 35.666666666666664)","(4.6, 5.3, 5.199999999999999)","(5.5, 9.0, 8.4)","(10.0, 12.5, 12.4375)","(5.5, 5.7, 5.5625)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:43.419964,"(15.0, 28.0, 26.4)","(2.25, 2.86, 2.834736842105263)","(21.0, 44.0, 35.666666666666664)","(4.6, 5.3, 5.199999999999999)","(5.5, 9.0, 8.4)","(10.0, 12.5, 12.4375)","(5.5, 5.7, 5.5625)","(51.0, 130.0, 120.0)"
