,Denis The Menace,Kinimakatka,Artificial Blue,Lektra Flying,Nash Bale,Rose Danae,Speedy Mouse,Jayville Menace
04-01-2023 15:52:35.357841,"(5.5, 11.5, 8.928571428571429)","(4.6, 8.0, 5.6875)","(14.0, 32.0, 29.8125)","(5.5, 8.4, 6.457142857142857)","(5.0, 12.0, 6.9)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.9, 3.11875)"
04-01-2023 15:52:36.430469,"(5.5, 11.5, 8.928571428571429)","(4.6, 8.0, 5.6875)","(14.0, 32.0, 29.8125)","(5.5, 8.4, 6.457142857142857)","(5.0, 12.0, 6.9)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.9, 3.11875)"
04-01-2023 15:52:37.515663,"(5.5, 11.5, 8.928571428571429)","(4.6, 8.0, 5.6875)","(14.0, 32.0, 29.8125)","(5.5, 8.4, 6.457142857142857)","(5.0, 12.0, 6.9)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.9, 3.11875)"
04-01-2023 15:52:38.622588,"(5.5, 11.5, 8.928571428571429)","(4.6, 8.0, 5.6875)","(14.0, 32.0, 29.8125)","(5.5, 8.4, 6.457142857142857)","(5.0, 12.0, 6.9)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.9, 3.11875)"
04-01-2023 15:52:39.694355,"(5.5, 11.5, 8.928571428571429)","(4.6, 8.0, 5.6875)","(14.0, 32.0, 29.8125)","(5.5, 8.4, 6.457142857142857)","(5.0, 12.0, 6.9)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.9, 3.11875)"
04-01-2023 15:52:40.761416,"(5.5, 11.5, 8.928571428571429)","(4.6, 8.0, 5.6875)","(14.0, 32.0, 29.8125)","(5.5, 8.4, 6.457142857142857)","(5.0, 12.0, 6.9)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.9, 3.11875)"
04-01-2023 15:52:41.770779,"(5.5, 11.5, 8.928571428571429)","(4.6, 8.0, 5.6875)","(14.0, 32.0, 29.8125)","(5.5, 8.4, 6.457142857142857)","(5.0, 12.0, 6.9)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.9, 3.11875)"
04-01-2023 15:52:42.865332,"(5.5, 11.5, 8.928571428571429)","(4.6, 8.0, 5.6875)","(14.0, 32.0, 29.8125)","(5.5, 8.4, 6.457142857142857)","(5.0, 12.0, 6.9)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.9, 3.11875)"
04-01-2023 15:52:43.904448,"(5.5, 11.5, 8.928571428571429)","(4.6, 8.0, 5.6875)","(14.0, 32.0, 29.8125)","(5.5, 8.4, 6.457142857142857)","(5.0, 12.0, 6.9)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.9, 3.11875)"
04-01-2023 15:52:45.042274,"(5.5, 11.5, 8.928571428571429)","(4.6, 8.0, 5.6875)","(14.0, 32.0, 29.8125)","(5.5, 8.4, 6.457142857142857)","(5.0, 12.0, 6.9)","(31.0, 85.0, 53.0)","(9.0, 17.0, 13.56)","(3.0, 4.9, 3.11875)"
04-01-2023 15:52:46.183882,"(5.5, 11.5, 8.928571428571429)","(4.6, 8.0, 5.6875)","(14.0, 32.0, 29.8125)","(5.5, 8.4, 6.92)","(5.0, 12.0, 8.98)","(31.0, 85.0, 45.625)","(9.0, 17.0, 13.56)","(3.0, 4.9, 3.6)"
04-01-2023 15:52:47.345331,"(5.5, 11.0, 10.214285714285715)","(4.6, 7.8, 6.3999999999999995)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 45.625)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:52:48.487690,"(5.5, 11.0, 10.214285714285715)","(4.6, 7.8, 6.3999999999999995)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 45.625)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:52:49.610279,"(5.5, 11.0, 10.214285714285715)","(4.6, 7.8, 6.3999999999999995)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 45.625)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
