,Jayville Mac,Typhoon Missile,Orford Bale,Alvarez Bale,Groomsman,Son Of Brock,Was A Soldier,Chasing Boyd
04-01-2023 13:11:46.639078,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.0625)","(10.0, 22.0, 19.125)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:47.822441,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.0625)","(10.0, 22.0, 19.125)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:49.016497,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.0625)","(10.0, 22.0, 19.125)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:50.368850,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.0625)","(10.0, 22.0, 19.125)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:51.468948,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.0625)","(10.0, 22.0, 19.125)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:52.752822,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.0625)","(10.0, 22.0, 19.125)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:53.896584,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.0625)","(10.0, 22.0, 19.125)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:54.980842,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 4.65)","(10.0, 22.0, 19.125)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:56.048836,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 4.65)","(10.0, 22.0, 19.125)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:57.177188,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 4.65)","(10.0, 22.0, 19.125)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:58.382329,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:11:59.588464,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:12:00.744105,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:12:01.837515,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 10.229166666666668)"
04-01-2023 13:12:02.931218,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.833333333333332)"
04-01-2023 13:12:04.038264,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.833333333333332)"
04-01-2023 13:12:05.136099,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.833333333333332)"
04-01-2023 13:12:06.263895,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.833333333333332)"
04-01-2023 13:12:07.425317,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.833333333333332)"
04-01-2023 13:12:08.596746,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 8.222222222222221)"
04-01-2023 13:12:09.829295,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 8.222222222222221)"
04-01-2023 13:12:10.890627,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 8.222222222222221)"
04-01-2023 13:12:11.976923,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 8.222222222222221)"
04-01-2023 13:12:13.170595,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:14.364986,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:15.515894,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:16.662963,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:17.735774,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.777777777777779)"
