,Dear Demi,Nikkis Moment,Kickstart Jake,Radium,Brownies Girl,What A Knockout,Chunky Ballerina,Prince Capri
07-12-2022 20:52:45.501907,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 8.0, 4.876190476190476)","(3.9, 6.0, 4.495)","(18.0, 60.0, 29.642857142857142)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.62)","(4.8, 10.5, 7.9173913043478255)"
07-12-2022 20:52:46.540661,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 8.0, 4.876190476190476)","(3.9, 6.0, 5.57)","(18.0, 60.0, 29.642857142857142)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 8.0)","(4.8, 10.5, 9.623076923076923)"
07-12-2022 20:52:47.659285,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 5.529999999999999)","(18.0, 60.0, 29.642857142857142)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 8.0)","(4.8, 10.0, 8.4)"
07-12-2022 20:52:48.756028,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 29.642857142857142)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.62)","(4.8, 10.0, 8.4)"
07-12-2022 20:52:49.790348,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 29.642857142857142)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.62)","(4.8, 10.0, 8.4)"
07-12-2022 20:52:50.864687,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 29.642857142857142)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.62)","(4.8, 10.0, 8.4)"
07-12-2022 20:52:51.973019,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 29.642857142857142)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.62)","(4.8, 10.0, 8.4)"
07-12-2022 20:52:53.041454,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 29.642857142857142)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.62)","(4.8, 10.0, 8.4)"
07-12-2022 20:52:54.095990,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 29.642857142857142)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.62)","(4.8, 10.0, 8.4)"
07-12-2022 20:52:55.226179,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 29.642857142857142)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.62)","(4.8, 10.0, 8.4)"
07-12-2022 20:52:56.267806,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 29.642857142857142)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.62)","(4.8, 10.0, 8.4)"
07-12-2022 20:52:57.387639,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 29.642857142857142)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.62)","(4.8, 10.0, 8.4)"
07-12-2022 20:52:58.503140,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 29.642857142857142)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.62)","(4.8, 10.0, 8.4)"
07-12-2022 20:52:59.571242,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 29.642857142857142)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.62)","(4.8, 10.0, 8.4)"
07-12-2022 20:53:00.619211,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 29.642857142857142)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.62)","(4.8, 10.0, 8.4)"
07-12-2022 20:53:01.756731,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 29.642857142857142)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.62)","(4.8, 10.0, 8.4)"
07-12-2022 20:53:02.840947,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 29.642857142857142)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.62)","(4.8, 10.0, 8.4)"
07-12-2022 20:53:04.020113,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 29.642857142857142)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.62)","(4.8, 10.0, 8.4)"
07-12-2022 20:53:05.082339,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 29.642857142857142)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.62)","(4.8, 10.0, 8.4)"
07-12-2022 20:53:06.359482,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 29.642857142857142)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.62)","(4.8, 10.0, 8.4)"
07-12-2022 20:53:07.572346,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 29.642857142857142)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 8.0)","(4.8, 10.0, 8.4)"
07-12-2022 20:53:08.694841,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 29.642857142857142)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.4)"
07-12-2022 20:53:09.766402,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 29.642857142857142)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.4)"
07-12-2022 20:53:10.874534,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 29.642857142857142)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.4)"
07-12-2022 20:53:11.979869,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 29.642857142857142)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.4)"
07-12-2022 20:53:13.068639,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 29.642857142857142)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.4)"
07-12-2022 20:53:14.170706,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 29.642857142857142)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.4)"
07-12-2022 20:53:15.277290,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 33.4375)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 9.623076923076923)"
07-12-2022 20:53:16.370147,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 33.4375)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:17.510947,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 33.4375)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:18.528582,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 33.4375)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:19.619291,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 33.4375)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:20.682585,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 33.4375)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:21.720449,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 33.4375)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:22.763006,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 33.4375)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:23.980504,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 33.4375)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:25.050989,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 33.4375)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:26.122677,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 33.4375)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:27.349311,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 33.4375)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:28.402120,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 33.4375)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:29.399599,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 33.4375)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:30.380267,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 33.4375)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:31.388582,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 33.4375)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:32.606898,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 33.4375)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:33.751991,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 33.4375)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:34.882633,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 33.4375)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:36.168735,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 33.4375)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:37.250757,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 33.4375)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:38.352008,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 33.4375)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:39.467136,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 33.4375)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:40.566773,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 33.4375)","(91.0, 610.0, 521.6666666666666)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:41.630567,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 333.6363636363636)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 43.369565217391305)","(91.0, 610.0, 551.1111111111111)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:42.703420,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 199.0909090909091)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 43.369565217391305)","(91.0, 610.0, 551.1111111111111)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:43.752436,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 199.0909090909091)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 43.369565217391305)","(91.0, 610.0, 551.1111111111111)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:44.886347,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 199.0909090909091)","(3.9, 7.8, 7.15)","(3.9, 6.0, 4.390000000000001)","(18.0, 60.0, 43.369565217391305)","(91.0, 610.0, 551.1111111111111)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:46.167878,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 199.0909090909091)","(3.9, 7.8, 7.15)","(3.9, 6.8, 4.57)","(18.0, 60.0, 43.369565217391305)","(91.0, 610.0, 551.1111111111111)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:47.284465,"(2.7, 4.3, 3.0076923076923077)","(71.0, 570.0, 199.0909090909091)","(3.9, 7.8, 7.15)","(3.9, 6.6, 4.57)","(18.0, 60.0, 36.09375)","(91.0, 610.0, 551.1111111111111)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:48.410419,"(2.7, 4.1, 2.9371428571428573)","(71.0, 570.0, 199.0909090909091)","(3.9, 7.8, 7.15)","(3.9, 6.6, 4.57)","(18.0, 60.0, 36.09375)","(91.0, 610.0, 551.1111111111111)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:49.404565,"(2.7, 4.1, 2.9371428571428573)","(71.0, 570.0, 199.0909090909091)","(3.9, 7.8, 7.15)","(3.9, 6.6, 4.57)","(18.0, 60.0, 36.09375)","(91.0, 610.0, 551.1111111111111)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:50.504823,"(2.7, 4.1, 2.9371428571428573)","(71.0, 570.0, 199.0909090909091)","(3.9, 7.8, 7.15)","(3.9, 6.6, 4.57)","(18.0, 60.0, 28.875)","(91.0, 610.0, 551.1111111111111)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:51.753530,"(2.7, 4.1, 2.9371428571428573)","(71.0, 570.0, 199.0909090909091)","(3.9, 7.8, 7.15)","(3.9, 6.6, 4.57)","(18.0, 60.0, 39.0)","(91.0, 610.0, 551.1111111111111)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:52.853217,"(2.7, 4.1, 2.9371428571428573)","(71.0, 570.0, 199.0909090909091)","(3.9, 7.8, 7.15)","(3.9, 6.6, 4.57)","(18.0, 60.0, 39.0)","(91.0, 610.0, 551.1111111111111)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:53.935362,"(2.7, 4.1, 2.9371428571428573)","(71.0, 570.0, 199.0909090909091)","(3.9, 7.8, 7.15)","(3.9, 6.6, 4.57)","(18.0, 60.0, 39.0)","(91.0, 610.0, 551.1111111111111)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:54.937997,"(2.7, 4.1, 2.9371428571428573)","(71.0, 570.0, 199.0909090909091)","(3.9, 7.8, 7.15)","(3.9, 6.6, 4.57)","(18.0, 60.0, 39.0)","(91.0, 610.0, 551.1111111111111)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:55.984977,"(2.7, 4.1, 2.9371428571428573)","(71.0, 570.0, 199.0909090909091)","(3.9, 7.8, 7.15)","(3.9, 6.6, 4.57)","(18.0, 60.0, 39.0)","(91.0, 610.0, 551.1111111111111)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:57.100302,"(2.7, 4.1, 2.9371428571428573)","(71.0, 570.0, 199.0909090909091)","(3.9, 7.8, 7.15)","(3.9, 6.6, 4.57)","(18.0, 60.0, 39.0)","(91.0, 610.0, 551.1111111111111)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:58.159679,"(2.7, 4.1, 2.9371428571428573)","(71.0, 570.0, 199.0909090909091)","(3.9, 7.8, 7.15)","(3.9, 6.6, 4.57)","(18.0, 60.0, 39.0)","(91.0, 610.0, 551.1111111111111)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:53:59.276996,"(2.7, 4.1, 2.9371428571428573)","(71.0, 570.0, 199.0909090909091)","(3.9, 7.8, 7.15)","(3.9, 6.6, 4.57)","(18.0, 60.0, 39.0)","(91.0, 610.0, 551.1111111111111)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:54:00.317680,"(2.7, 4.1, 2.9371428571428573)","(71.0, 570.0, 199.0909090909091)","(3.9, 7.8, 7.15)","(3.9, 6.6, 4.57)","(18.0, 60.0, 39.0)","(91.0, 610.0, 551.1111111111111)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:54:01.393441,"(2.7, 4.1, 2.9371428571428573)","(71.0, 570.0, 199.0909090909091)","(3.9, 7.8, 7.15)","(3.9, 6.6, 4.57)","(18.0, 60.0, 39.0)","(91.0, 610.0, 551.1111111111111)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:54:02.516669,"(2.7, 4.1, 2.9371428571428573)","(71.0, 570.0, 199.0909090909091)","(3.9, 7.8, 7.15)","(3.9, 6.6, 4.57)","(18.0, 60.0, 39.0)","(91.0, 610.0, 551.1111111111111)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:54:03.590709,"(2.7, 4.1, 2.9371428571428573)","(71.0, 570.0, 199.0909090909091)","(3.9, 7.8, 7.15)","(3.9, 6.6, 4.57)","(18.0, 60.0, 39.0)","(91.0, 610.0, 551.1111111111111)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:54:04.665163,"(2.7, 4.1, 2.9371428571428573)","(71.0, 570.0, 199.0909090909091)","(3.9, 7.8, 7.15)","(3.9, 6.6, 4.57)","(18.0, 60.0, 39.0)","(91.0, 610.0, 551.1111111111111)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
07-12-2022 20:54:06.085127,"(2.7, 4.1, 2.9371428571428573)","(71.0, 570.0, 199.0909090909091)","(3.9, 7.8, 7.15)","(3.9, 6.6, 4.64)","(18.0, 60.0, 39.0)","(91.0, 610.0, 480.0)","(5.5, 10.5, 7.56)","(4.8, 10.0, 6.107692307692308)"
07-12-2022 20:54:07.242175,"(2.7, 4.1, 2.9371428571428573)","(71.0, 570.0, 199.0909090909091)","(3.9, 7.8, 7.15)","(3.9, 6.6, 4.64)","(18.0, 60.0, 39.0)","(91.0, 610.0, 480.0)","(5.5, 10.5, 7.56)","(4.8, 10.0, 6.550000000000001)"
07-12-2022 20:54:08.435521,"(2.7, 4.1, 2.9371428571428573)","(71.0, 570.0, 199.0909090909091)","(3.9, 7.8, 7.15)","(3.9, 6.6, 4.57)","(18.0, 60.0, 30.576923076923077)","(91.0, 610.0, 480.0)","(5.5, 10.5, 7.56)","(4.8, 10.0, 8.466666666666667)"
