,Atout,Blue Sparkler,La Bella Figura,Aru And Me,Dazy Sundaze,Ellies Image,Irene Rose,Great Fantasy Nz,Liberty Song
09-01-2023 14:59:54.443412,"(4.8, 5.4, 4.938461538461539)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.4, 5.800000000000001)","(6.0, 9.0, 8.04)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.2, 3.035)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 14:59:55.910641,"(4.8, 5.4, 4.938461538461539)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.4, 5.800000000000001)","(6.0, 9.0, 8.04)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.2, 3.035)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 14:59:57.164496,"(4.8, 5.4, 4.938461538461539)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.4, 5.800000000000001)","(6.0, 9.0, 8.04)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.2, 3.035)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 14:59:58.474977,"(4.8, 5.4, 4.938461538461539)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.4, 5.800000000000001)","(6.0, 9.0, 8.04)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.2, 3.035)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 14:59:59.796239,"(4.8, 5.4, 4.938461538461539)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.4, 5.800000000000001)","(6.0, 9.0, 8.04)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.2, 3.035)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:01.134945,"(4.8, 5.4, 4.938461538461539)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.4, 5.800000000000001)","(6.0, 9.0, 8.04)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.2, 3.035)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:02.545303,"(4.8, 5.4, 4.938461538461539)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.4, 5.800000000000001)","(6.0, 9.0, 8.04)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.2, 3.035)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:03.921624,"(4.8, 5.4, 4.938461538461539)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.4, 5.800000000000001)","(6.0, 9.0, 8.04)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.2, 3.035)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:05.424875,"(4.8, 5.4, 4.938461538461539)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.4, 5.800000000000001)","(6.0, 9.0, 8.04)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.2, 3.035)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:06.801836,"(4.8, 5.4, 4.938461538461539)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.4, 5.800000000000001)","(6.0, 9.0, 8.04)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.2, 3.035)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:08.182183,"(4.8, 5.4, 4.938461538461539)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.4, 5.800000000000001)","(6.0, 9.0, 8.04)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.2, 3.035)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:09.477376,"(4.8, 5.4, 4.938461538461539)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.4, 5.800000000000001)","(6.0, 9.0, 8.04)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.2, 3.035)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:10.758678,"(4.8, 5.4, 4.938461538461539)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.4, 5.550000000000001)","(6.0, 9.0, 7.7)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.2, 3.1559999999999997)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:12.003897,"(4.8, 5.4, 4.938461538461539)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.8, 7.7)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1559999999999997)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:13.276801,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.8, 7.7)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1559999999999997)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:14.539530,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.8, 7.7)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1559999999999997)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:15.771973,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.8, 7.7)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1559999999999997)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:17.098850,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.8, 7.7)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1559999999999997)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:18.399260,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.8, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:19.730931,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
