,Bourne Nancy,Remember Lee,Air Grace,Dolly Quokka,Glengyre Fury
10-01-2023 11:57:56.360418,"(7.0, 11.5, 10.75)","(2.05, 2.26, 2.215)","(4.8, 6.6, 6.549152542372881)","(3.0, 3.65, 3.6009803921568624)","(21.0, 40.0, 36.0)"
10-01-2023 11:57:57.372464,"(7.0, 12.0, 11.578947368421053)","(2.05, 2.24, 2.1435087719298247)","(4.8, 7.0, 6.828571428571428)","(3.0, 3.65, 3.6009803921568624)","(21.0, 40.0, 36.0)"
10-01-2023 11:57:58.285284,"(7.0, 12.0, 11.428571428571429)","(2.05, 2.22, 2.1824000000000003)","(4.8, 7.0, 6.828571428571428)","(3.0, 3.65, 3.6009803921568624)","(21.0, 40.0, 36.0)"
10-01-2023 11:57:59.170310,"(7.0, 12.0, 11.428571428571429)","(2.05, 2.22, 2.1824000000000003)","(4.8, 7.0, 6.828571428571428)","(3.0, 3.65, 3.598039215686274)","(21.0, 40.0, 36.0)"
10-01-2023 11:58:00.020916,"(7.0, 12.0, 11.545454545454545)","(2.05, 2.22, 2.1864285714285714)","(4.8, 7.0, 6.828571428571428)","(3.0, 3.5, 3.4921875)","(21.0, 40.0, 36.0)"
10-01-2023 11:58:00.915409,"(7.0, 12.0, 11.578947368421053)","(2.05, 2.22, 2.1872000000000003)","(4.8, 7.0, 6.8315789473684205)","(3.0, 3.65, 3.535)","(21.0, 40.0, 36.0)"
10-01-2023 11:58:01.792303,"(7.0, 12.0, 11.578947368421053)","(2.05, 2.22, 2.183555555555556)","(4.8, 7.0, 6.8315789473684205)","(3.0, 3.65, 3.558)","(21.0, 40.0, 36.17391304347826)"
10-01-2023 11:58:02.715353,"(7.0, 12.0, 11.625)","(2.05, 2.22, 2.1914285714285717)","(4.8, 7.0, 6.822222222222222)","(3.0, 3.65, 3.558)","(21.0, 40.0, 36.17391304347826)"
10-01-2023 11:58:03.635445,"(7.0, 12.5, 11.583333333333334)","(2.05, 2.22, 2.1914285714285717)","(4.8, 6.8, 6.6125)","(3.0, 3.65, 3.558)","(21.0, 40.0, 36.17391304347826)"
10-01-2023 11:58:04.499491,"(7.0, 12.5, 11.738095238095237)","(2.05, 2.24, 2.202033898305085)","(4.8, 6.8, 6.7)","(3.0, 3.65, 3.558)","(21.0, 40.0, 36.17391304347826)"
10-01-2023 11:58:05.395093,"(7.0, 12.5, 11.944444444444445)","(2.05, 2.24, 2.206060606060606)","(4.8, 6.8, 6.7)","(3.0, 3.6, 3.5846153846153848)","(21.0, 40.0, 36.17391304347826)"
10-01-2023 11:58:06.556398,"(7.0, 12.5, 11.944444444444445)","(2.05, 2.24, 2.2065671641791047)","(4.8, 6.8, 6.7)","(3.0, 3.6, 3.5846153846153848)","(21.0, 40.0, 36.17391304347826)"
10-01-2023 11:58:07.557524,"(7.0, 12.5, 11.833333333333334)","(2.05, 2.24, 2.2065671641791047)","(4.8, 6.8, 6.7)","(3.0, 3.6, 3.5846153846153848)","(21.0, 40.0, 36.17391304347826)"
10-01-2023 11:58:08.426011,"(7.0, 12.5, 12.0625)","(2.05, 2.24, 2.2065671641791047)","(4.8, 6.8, 6.66046511627907)","(3.0, 3.55, 3.4803030303030305)","(21.0, 40.0, 36.17391304347826)"
10-01-2023 11:58:09.334349,"(7.0, 12.0, 11.772727272727273)","(2.05, 2.26, 2.2426086956521742)","(4.8, 6.8, 6.66046511627907)","(3.0, 3.5, 3.4789473684210526)","(21.0, 40.0, 36.17391304347826)"
