,Paw Baby,Miss Priddle,Flash Fever,Balts Orson,Redemption Day,Kiah Beach,Miss Verity
07-12-2022 20:42:10.106627,"(7.0, 14.0, 11.6)","(10.0, 14.0, 11.523076923076923)","(12.0, 25.0, 13.75)","(7.0, 12.0, 8.88)","(1.5, 1.98, 1.823)","(12.0, 42.0, 24.333333333333336)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:11.272025,"(7.0, 11.5, 10.235294117647058)","(10.0, 14.0, 11.523076923076923)","(12.0, 25.0, 13.75)","(7.0, 12.0, 8.88)","(1.5, 1.97, 1.79)","(12.0, 42.0, 24.333333333333336)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:12.429811,"(7.0, 14.0, 11.525)","(10.0, 14.0, 11.523076923076923)","(12.0, 25.0, 13.75)","(7.0, 12.0, 8.88)","(1.5, 1.96, 1.7980952380952382)","(12.0, 42.0, 24.333333333333336)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:13.644132,"(7.0, 14.0, 12.68)","(10.0, 14.0, 11.523076923076923)","(12.0, 25.0, 13.333333333333334)","(7.0, 12.0, 8.88)","(1.5, 1.96, 1.7980952380952382)","(12.0, 42.0, 24.333333333333336)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:14.790439,"(7.0, 14.0, 10.8)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.333333333333334)","(7.0, 12.0, 8.88)","(1.5, 1.96, 1.829090909090909)","(12.0, 42.0, 24.333333333333336)","(13.0, 32.0, 26.0)"
07-12-2022 20:42:15.977782,"(7.0, 14.0, 10.8)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.95, 1.8758823529411766)","(12.0, 42.0, 24.333333333333336)","(13.0, 32.0, 26.0)"
07-12-2022 20:42:17.125048,"(7.0, 14.0, 10.8)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.95, 1.8758823529411766)","(12.0, 42.0, 23.666666666666664)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:18.268682,"(7.0, 14.0, 10.8)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.95, 1.831)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:19.417507,"(7.0, 14.0, 10.6)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.95, 1.831)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:20.595274,"(7.0, 14.0, 12.2)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.95, 1.805263157894737)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
