,Allanon,Just Call Me Molly Nz,Querencia,Oonskade,Set Me Free Nz,Majestic Time,Hammer Son,Everysecondcounts,Kapai Nz
10-01-2023 12:58:48.091133,"(51.0, 130.0, 63.333333333333336)","(4.6, 99999, 99990)","(6.5, 8.6, 7.6)","(4.0, 5.2, 4.028125)","(4.4, 99999, 99990)","(11.0, 19.0, 15.0)","(4.8, 6.6, 5.4461538461538455)","(11.0, 19.5, 17.666666666666668)","(18.0, 99999, 99990)"
10-01-2023 12:58:49.352693,"(51.0, 130.0, 63.333333333333336)","(4.6, 99999, 99990)","(6.5, 8.6, 7.6)","(4.0, 5.2, 4.028125)","(4.4, 99999, 99990)","(11.0, 19.0, 15.0)","(4.8, 6.6, 5.4461538461538455)","(11.0, 19.5, 17.666666666666668)","(18.0, 99999, 99990)"
10-01-2023 12:58:50.632320,"(51.0, 130.0, 63.333333333333336)","(4.6, 99999, 99990)","(6.5, 8.6, 7.6)","(4.0, 5.2, 4.028125)","(4.4, 99999, 99990)","(11.0, 19.0, 15.0)","(4.8, 6.6, 5.4461538461538455)","(11.0, 19.5, 17.666666666666668)","(18.0, 99999, 99990)"
10-01-2023 12:58:51.987826,"(51.0, 130.0, 63.333333333333336)","(4.6, 99999, 99990)","(6.5, 8.6, 7.6)","(4.0, 5.2, 4.028125)","(4.4, 99999, 99990)","(11.0, 19.0, 15.0)","(4.8, 6.6, 5.4461538461538455)","(11.0, 19.5, 17.666666666666668)","(18.0, 99999, 99990)"
10-01-2023 12:58:53.369921,"(51.0, 130.0, 63.333333333333336)","(4.6, 99999, 99990)","(6.5, 8.6, 7.6)","(4.0, 5.2, 4.028125)","(4.4, 99999, 99990)","(11.0, 19.0, 15.0)","(4.8, 6.6, 5.4461538461538455)","(11.0, 19.5, 17.666666666666668)","(18.0, 99999, 99990)"
10-01-2023 12:58:54.576018,"(51.0, 130.0, 63.333333333333336)","(4.6, 99999, 99990)","(6.5, 8.6, 7.6)","(4.0, 5.2, 4.028125)","(4.4, 99999, 99990)","(11.0, 19.0, 15.0)","(4.8, 6.6, 5.4461538461538455)","(11.0, 19.5, 17.666666666666668)","(18.0, 99999, 99990)"
10-01-2023 12:58:55.808672,"(51.0, 130.0, 63.333333333333336)","(4.6, 99999, 99990)","(6.5, 8.6, 7.6)","(4.0, 5.2, 4.028125)","(4.4, 99999, 99990)","(11.0, 19.0, 15.0)","(4.8, 6.6, 5.4461538461538455)","(11.0, 19.5, 17.666666666666668)","(18.0, 99999, 99990)"
10-01-2023 12:58:57.087321,"(51.0, 130.0, 63.333333333333336)","(4.6, 99999, 99990)","(6.5, 8.6, 7.6)","(4.0, 5.2, 4.028125)","(4.4, 99999, 99990)","(11.0, 19.0, 15.0)","(4.8, 6.6, 5.4461538461538455)","(11.0, 19.5, 17.666666666666668)","(18.0, 99999, 99990)"
10-01-2023 12:58:58.376864,"(51.0, 130.0, 63.333333333333336)","(4.6, 99999, 99990)","(6.5, 8.6, 7.6)","(4.0, 5.2, 4.028125)","(4.4, 99999, 99990)","(11.0, 19.0, 15.0)","(4.8, 6.6, 5.4461538461538455)","(11.0, 19.5, 17.666666666666668)","(18.0, 99999, 99990)"
10-01-2023 12:58:59.595069,"(51.0, 130.0, 63.333333333333336)","(4.6, 99999, 99990)","(6.5, 8.6, 7.6)","(4.0, 5.2, 4.028125)","(4.4, 99999, 99990)","(11.0, 19.0, 15.0)","(4.8, 6.6, 5.4461538461538455)","(11.0, 19.5, 17.666666666666668)","(18.0, 99999, 99990)"
