,Mccrikey,No Terror,Ifyousayso,Cloudy Bay,Deceptive Lee,Terry,Heisenberg
16-12-2022 13:58:37.132462,"(14.0, 36.0, 21.666666666666668)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 11.366666666666667)","(2.5, 3.45, 2.6447368421052633)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:58:38.613997,"(14.0, 36.0, 21.666666666666668)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 11.366666666666667)","(2.5, 3.45, 2.6447368421052633)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:58:40.073125,"(14.0, 36.0, 21.666666666666668)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 11.366666666666667)","(2.5, 3.45, 2.6447368421052633)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:58:41.231359,"(14.0, 36.0, 21.666666666666668)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 11.366666666666667)","(2.5, 3.45, 2.6447368421052633)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:58:42.320555,"(14.0, 36.0, 21.666666666666668)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 11.366666666666667)","(2.5, 3.45, 2.6447368421052633)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:58:43.437545,"(14.0, 36.0, 21.666666666666668)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 11.366666666666667)","(2.5, 3.45, 2.6447368421052633)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:58:44.575006,"(14.0, 36.0, 21.666666666666668)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 11.366666666666667)","(2.5, 3.45, 2.6447368421052633)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:58:45.657323,"(14.0, 36.0, 21.666666666666668)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 11.366666666666667)","(2.5, 3.45, 2.6447368421052633)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:58:46.662376,"(14.0, 36.0, 21.666666666666668)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 11.366666666666667)","(2.5, 3.45, 2.6447368421052633)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:58:47.705546,"(14.0, 36.0, 21.666666666666668)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 11.366666666666667)","(2.5, 3.45, 2.6447368421052633)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:58:48.810002,"(14.0, 36.0, 21.666666666666668)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 11.366666666666667)","(2.5, 3.45, 2.6447368421052633)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:58:49.969407,"(14.0, 36.0, 21.666666666666668)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 11.366666666666667)","(2.5, 3.45, 2.6447368421052633)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:58:51.154148,"(14.0, 36.0, 21.666666666666668)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 11.366666666666667)","(2.5, 3.45, 2.6447368421052633)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:58:52.208025,"(14.0, 36.0, 21.666666666666668)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 11.366666666666667)","(2.5, 3.45, 2.6447368421052633)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:58:53.202067,"(14.0, 36.0, 21.666666666666668)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 11.366666666666667)","(2.5, 3.45, 2.6447368421052633)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:58:54.376515,"(14.0, 36.0, 21.666666666666668)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 11.366666666666667)","(2.5, 3.45, 2.6447368421052633)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:58:55.478255,"(14.0, 36.0, 21.666666666666668)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 11.366666666666667)","(2.5, 3.45, 2.6447368421052633)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:58:56.599175,"(14.0, 36.0, 21.666666666666668)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 11.366666666666667)","(2.5, 3.45, 2.6447368421052633)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:58:57.668625,"(14.0, 36.0, 21.666666666666668)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 11.366666666666667)","(2.5, 3.45, 2.6447368421052633)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:58:58.737078,"(14.0, 36.0, 21.666666666666668)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 11.366666666666667)","(2.5, 3.45, 2.6447368421052633)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:58:59.717157,"(14.0, 36.0, 21.666666666666668)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 11.366666666666667)","(2.5, 3.45, 2.6447368421052633)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:00.741241,"(14.0, 36.0, 21.666666666666668)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 11.366666666666667)","(2.5, 3.45, 2.6447368421052633)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:01.869605,"(14.0, 36.0, 21.666666666666668)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 11.366666666666667)","(2.5, 3.45, 2.6447368421052633)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:02.965839,"(14.0, 36.0, 21.666666666666668)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 11.366666666666667)","(2.5, 3.45, 2.6447368421052633)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:04.053661,"(14.0, 36.0, 21.666666666666668)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 11.366666666666667)","(2.5, 3.45, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:05.111472,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:06.083502,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:07.033964,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:08.016217,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:08.983260,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
