,Ziplock,Rockin Romeo,Canya Clink,Lets All Chant,More Scope,Knighted Shadow,Sizzle And Shine
09-01-2023 16:52:20.623523,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.721111111111111)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 114.17647058823529)"
09-01-2023 16:52:21.660892,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.721111111111111)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:22.656736,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.721111111111111)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:23.709592,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.721111111111111)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:24.819308,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.721111111111111)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:25.984905,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.721111111111111)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:27.013765,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.721111111111111)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:28.130868,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.721111111111111)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:29.380059,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.721111111111111)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:30.756969,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.721111111111111)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:32.311077,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.721111111111111)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
