,Bonza Guy,Batman Bart,Miss Fernandez,Wonderwoman Jujon,Rock Hammer,Press Statement,Whostolemypigeon,Our Buscemi Nz,My Ultimate Clippa,Some Girls Dont Nz
06-01-2023 14:55:47.748296,"(3.1, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 25.0, 21.88888888888889)","(6.0, 9.4, 8.425)","(9.0, 16.0, 12.4)","(31.0, 80.0, 49.230769230769226)","(14.0, 26.0, 23.115384615384613)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:55:49.161801,"(3.1, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 25.0, 21.88888888888889)","(6.0, 9.4, 8.425)","(9.0, 16.0, 12.4)","(31.0, 80.0, 49.230769230769226)","(14.0, 26.0, 23.115384615384613)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:55:50.635534,"(3.1, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 25.0, 21.88888888888889)","(6.0, 9.4, 8.425)","(9.0, 16.0, 12.4)","(31.0, 80.0, 49.230769230769226)","(14.0, 26.0, 23.115384615384613)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:55:51.984083,"(3.2, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 25.0, 21.88888888888889)","(6.0, 9.4, 8.425)","(9.0, 16.0, 12.4)","(31.0, 80.0, 49.230769230769226)","(14.0, 26.0, 23.115384615384613)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:55:53.298345,"(3.2, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 24.0, 17.066666666666666)","(6.0, 9.4, 8.425)","(9.0, 16.0, 12.4)","(31.0, 80.0, 49.230769230769226)","(14.0, 26.0, 23.115384615384613)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:55:54.621925,"(3.2, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 24.0, 17.066666666666666)","(6.0, 9.4, 8.425)","(9.0, 16.0, 12.4)","(31.0, 80.0, 49.230769230769226)","(14.0, 26.0, 23.115384615384613)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:55:55.993271,"(3.2, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 24.0, 17.066666666666666)","(6.0, 9.4, 8.425)","(9.0, 16.0, 12.4)","(31.0, 80.0, 49.230769230769226)","(14.0, 26.0, 23.115384615384613)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:55:57.399046,"(3.2, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 24.0, 17.066666666666666)","(6.0, 9.4, 8.425)","(9.0, 16.0, 12.4)","(31.0, 80.0, 49.230769230769226)","(14.0, 26.0, 23.115384615384613)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:55:58.756670,"(3.2, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 24.0, 17.066666666666666)","(6.0, 9.4, 8.425)","(9.0, 16.0, 12.4)","(31.0, 80.0, 49.230769230769226)","(14.0, 26.0, 23.115384615384613)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:00.178387,"(3.2, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 24.0, 17.066666666666666)","(6.0, 9.4, 8.425)","(9.0, 16.0, 12.4)","(31.0, 80.0, 49.230769230769226)","(14.0, 26.0, 23.115384615384613)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:01.516466,"(3.2, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 24.0, 17.066666666666666)","(6.0, 9.4, 7.84)","(9.0, 16.0, 12.4)","(31.0, 80.0, 60.55555555555556)","(14.0, 26.0, 23.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:02.962652,"(3.2, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 24.0, 17.066666666666666)","(6.0, 9.4, 7.88)","(9.0, 16.0, 12.4)","(31.0, 85.0, 42.6)","(14.0, 27.0, 18.333333333333332)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
