,The Art Of Flying,Elite Icon,Kalashani Lad,Kaliuwaa Falls,Joltin Joe,In Due Time,Rockcliff,Jezoulenko
11-01-2023 18:11:41.133598,"(3.9, 5.1, 5.01304347826087)","(3.5, 3.9, 3.878171641791045)","(6.5, 8.2, 8.06)","(10.0, 12.0, 11.555555555555555)","(11.0, 17.5, 16.609375)","(5.5, 6.8, 6.735580524344569)","(31.0, 75.0, 70.0)","(7.0, 9.0, 8.910743801652893)"
11-01-2023 18:11:42.529364,"(3.9, 5.1, 5.01304347826087)","(3.5, 3.9, 3.8769662921348313)","(6.5, 8.2, 8.06)","(9.0, 12.0, 11.555555555555555)","(11.0, 17.5, 16.609375)","(5.5, 6.8, 6.735580524344569)","(31.0, 75.0, 70.0)","(7.0, 9.0, 8.910743801652893)"
11-01-2023 18:11:43.950087,"(3.9, 5.1, 5.01304347826087)","(3.5, 3.9, 3.8769662921348313)","(6.5, 8.2, 8.06)","(9.0, 12.0, 11.555555555555555)","(11.0, 17.5, 16.609375)","(5.5, 6.8, 6.735580524344569)","(31.0, 75.0, 70.0)","(7.0, 9.0, 8.910743801652893)"
11-01-2023 18:11:45.400865,"(3.9, 5.1, 5.01304347826087)","(3.5, 3.9, 3.893502824858757)","(6.5, 8.2, 8.06)","(9.0, 12.0, 11.555555555555555)","(11.0, 17.5, 16.609375)","(5.5, 6.8, 6.735580524344569)","(31.0, 75.0, 70.0)","(7.0, 9.0, 8.910743801652893)"
11-01-2023 18:11:46.814232,"(3.9, 5.1, 5.01304347826087)","(3.5, 3.9, 3.8846846846846845)","(6.5, 8.2, 8.06)","(9.0, 12.0, 11.555555555555555)","(11.0, 17.5, 16.609375)","(5.5, 6.8, 6.7330739299610896)","(31.0, 75.0, 70.0)","(7.0, 9.0, 8.910743801652893)"
11-01-2023 18:11:48.167557,"(3.9, 5.1, 5.01304347826087)","(3.5, 3.9, 3.8873134328358208)","(6.5, 8.2, 8.06)","(9.0, 12.0, 11.555555555555555)","(11.0, 17.5, 16.609375)","(5.5, 6.8, 6.7330739299610896)","(31.0, 75.0, 70.0)","(7.0, 9.0, 8.910743801652893)"
11-01-2023 18:11:49.596822,"(3.9, 5.1, 5.01304347826087)","(3.5, 3.9, 3.8873134328358208)","(6.5, 8.2, 8.06)","(9.0, 12.0, 11.555555555555555)","(11.0, 17.5, 16.609375)","(5.5, 6.8, 6.7122448979591836)","(31.0, 75.0, 70.0)","(7.0, 9.0, 8.898113207547171)"
11-01-2023 18:11:51.007496,"(3.9, 5.1, 5.01304347826087)","(3.5, 3.9, 3.875810810810811)","(6.5, 8.2, 8.06)","(9.0, 12.0, 11.604395604395604)","(11.0, 17.5, 16.609375)","(5.5, 6.8, 6.708374384236453)","(31.0, 75.0, 70.0)","(7.0, 9.0, 8.898113207547171)"
11-01-2023 18:11:52.353478,"(3.9, 5.1, 5.01304347826087)","(3.5, 3.9, 3.875810810810811)","(6.5, 8.2, 8.06)","(9.0, 12.0, 11.604395604395604)","(11.0, 17.5, 16.609375)","(5.5, 6.8, 6.708374384236453)","(31.0, 75.0, 70.0)","(7.0, 9.0, 8.898113207547171)"
11-01-2023 18:11:53.682684,"(3.9, 5.1, 5.01304347826087)","(3.5, 3.9, 3.875810810810811)","(6.5, 8.2, 8.141666666666666)","(9.0, 12.0, 11.604395604395604)","(11.0, 17.5, 16.609375)","(5.5, 6.8, 6.649122807017544)","(31.0, 75.0, 70.0)","(7.0, 9.0, 8.898113207547171)"
11-01-2023 18:11:54.990677,"(3.9, 5.1, 5.01304347826087)","(3.5, 3.9, 3.875810810810811)","(6.5, 8.2, 7.933333333333333)","(9.0, 12.0, 11.604395604395604)","(11.0, 17.5, 16.607692307692307)","(5.5, 6.8, 6.532432432432433)","(31.0, 75.0, 70.0)","(7.0, 9.0, 8.91304347826087)"
11-01-2023 18:11:56.475949,"(3.9, 5.1, 5.027941176470588)","(3.5, 3.9, 3.875810810810811)","(6.5, 8.2, 8.12156862745098)","(9.0, 12.0, 11.604395604395604)","(11.0, 17.5, 16.607692307692307)","(5.5, 6.8, 6.6650602409638555)","(31.0, 75.0, 70.0)","(7.0, 9.0, 8.896296296296297)"
11-01-2023 18:11:58.066628,"(3.9, 5.1, 5.024358974358974)","(3.5, 3.9, 3.875810810810811)","(6.5, 8.2, 8.141666666666666)","(9.0, 12.0, 11.604395604395604)","(11.0, 17.5, 16.607692307692307)","(5.5, 6.8, 6.6650602409638555)","(31.0, 75.0, 70.0)","(7.0, 9.0, 8.896296296296297)"
11-01-2023 18:11:59.583050,"(3.9, 5.1, 5.024358974358974)","(3.5, 3.9, 3.875810810810811)","(6.5, 8.2, 8.141666666666666)","(9.0, 12.0, 11.604395604395604)","(11.0, 17.5, 16.607692307692307)","(5.5, 6.8, 6.6650602409638555)","(31.0, 75.0, 70.0)","(7.0, 9.0, 8.896296296296297)"
11-01-2023 18:12:01.251879,"(3.9, 5.1, 5.024358974358974)","(3.5, 3.9, 3.875810810810811)","(6.5, 8.2, 8.141666666666666)","(9.0, 12.0, 11.604395604395604)","(11.0, 17.5, 16.607692307692307)","(5.5, 6.8, 6.6650602409638555)","(31.0, 75.0, 70.0)","(7.0, 9.0, 8.896296296296297)"
