,Locked And Ready,Gotham Diva,We Dance,Defined Benefit,Nibiru,Jay Jay Lopez,System Issues
05-01-2023 16:56:15.857513,"(3.2, 5.7, 3.73125)","(4.0, 7.0, 4.839583333333334)","(2.45, 3.75, 3.1578947368421053)","(20.0, 50.0, 31.944444444444443)","(18.0, 44.0, 29.25)","(5.5, 10.0, 7.0625)","(20.0, 60.0, 36.388888888888886)"
05-01-2023 16:56:17.130970,"(3.2, 5.7, 3.73125)","(4.0, 7.0, 4.839583333333334)","(2.45, 3.75, 3.1578947368421053)","(20.0, 50.0, 31.944444444444443)","(18.0, 44.0, 29.25)","(5.5, 10.0, 7.0625)","(20.0, 60.0, 36.388888888888886)"
05-01-2023 16:56:18.277940,"(3.2, 5.7, 3.73125)","(4.0, 7.0, 4.839583333333334)","(2.45, 3.75, 3.1578947368421053)","(20.0, 50.0, 31.944444444444443)","(18.0, 44.0, 29.25)","(5.5, 10.0, 7.0625)","(20.0, 60.0, 36.388888888888886)"
05-01-2023 16:56:19.547498,"(3.2, 5.7, 3.73125)","(4.0, 7.0, 4.839583333333334)","(2.45, 3.75, 3.1578947368421053)","(20.0, 50.0, 31.944444444444443)","(18.0, 44.0, 29.25)","(5.5, 10.0, 7.0625)","(20.0, 60.0, 36.388888888888886)"
05-01-2023 16:56:20.927534,"(3.2, 5.7, 3.73125)","(4.0, 7.0, 4.839583333333334)","(2.45, 3.75, 3.3620689655172415)","(20.0, 50.0, 31.944444444444443)","(18.0, 44.0, 29.25)","(5.5, 10.0, 7.0625)","(20.0, 60.0, 36.388888888888886)"
05-01-2023 16:56:22.163256,"(3.2, 5.7, 3.73125)","(4.0, 7.0, 4.839583333333334)","(2.45, 3.75, 3.3620689655172415)","(20.0, 50.0, 31.944444444444443)","(18.0, 44.0, 29.25)","(5.5, 10.0, 7.0625)","(20.0, 60.0, 36.388888888888886)"
05-01-2023 16:56:23.241733,"(3.2, 5.7, 3.73125)","(4.0, 7.0, 4.839583333333334)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 31.944444444444443)","(18.0, 44.0, 29.25)","(5.5, 10.0, 7.0625)","(20.0, 60.0, 36.388888888888886)"
05-01-2023 16:56:24.264000,"(3.2, 5.7, 3.73125)","(4.0, 7.0, 4.839583333333334)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 31.944444444444443)","(18.0, 44.0, 29.25)","(5.5, 10.0, 7.0625)","(20.0, 60.0, 36.388888888888886)"
05-01-2023 16:56:25.408882,"(3.2, 5.7, 3.73125)","(4.0, 7.0, 4.839583333333334)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 31.944444444444443)","(18.0, 44.0, 29.25)","(5.5, 10.0, 7.0625)","(20.0, 60.0, 36.388888888888886)"
05-01-2023 16:56:26.539951,"(3.2, 5.7, 3.73125)","(4.0, 7.0, 4.839583333333334)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 31.944444444444443)","(18.0, 44.0, 29.25)","(5.5, 10.0, 7.0625)","(20.0, 60.0, 36.388888888888886)"
05-01-2023 16:56:27.649217,"(3.2, 5.7, 3.73125)","(4.0, 7.0, 4.839583333333334)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 31.944444444444443)","(18.0, 44.0, 29.25)","(5.5, 10.0, 7.0625)","(20.0, 60.0, 36.388888888888886)"
05-01-2023 16:56:28.765242,"(3.2, 5.7, 3.73125)","(4.0, 7.0, 4.839583333333334)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 31.944444444444443)","(18.0, 44.0, 29.25)","(5.5, 10.0, 5.454545454545454)","(20.0, 60.0, 36.388888888888886)"
05-01-2023 16:56:29.925290,"(3.2, 5.7, 3.73125)","(4.0, 7.0, 4.839583333333334)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 31.944444444444443)","(18.0, 44.0, 29.25)","(5.5, 10.0, 5.454545454545454)","(20.0, 60.0, 36.388888888888886)"
05-01-2023 16:56:31.096840,"(3.2, 5.7, 3.73125)","(4.0, 7.0, 4.839583333333334)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 31.944444444444443)","(18.0, 44.0, 29.25)","(5.5, 10.0, 5.454545454545454)","(20.0, 60.0, 36.388888888888886)"
05-01-2023 16:56:32.341058,"(3.2, 5.7, 3.73125)","(4.0, 7.0, 4.839583333333334)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 31.944444444444443)","(18.0, 44.0, 29.25)","(5.5, 10.0, 5.454545454545454)","(20.0, 60.0, 36.388888888888886)"
05-01-2023 16:56:33.540654,"(3.2, 5.7, 3.73125)","(4.0, 7.0, 4.839583333333334)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 31.944444444444443)","(18.0, 44.0, 29.25)","(5.5, 10.0, 5.454545454545454)","(20.0, 60.0, 36.388888888888886)"
05-01-2023 16:56:34.833758,"(3.2, 5.7, 3.73125)","(4.0, 7.0, 4.839583333333334)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 31.944444444444443)","(18.0, 44.0, 29.25)","(5.5, 10.0, 5.454545454545454)","(20.0, 60.0, 36.388888888888886)"
05-01-2023 16:56:36.058890,"(3.2, 5.7, 3.73125)","(4.0, 7.0, 4.839583333333334)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 31.944444444444443)","(18.0, 44.0, 29.25)","(5.5, 10.0, 5.454545454545454)","(20.0, 60.0, 36.388888888888886)"
05-01-2023 16:56:37.189891,"(3.2, 5.7, 3.73125)","(4.0, 7.0, 4.839583333333334)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 31.944444444444443)","(18.0, 44.0, 29.25)","(5.5, 10.0, 5.454545454545454)","(20.0, 60.0, 36.388888888888886)"
05-01-2023 16:56:38.487962,"(3.2, 5.7, 3.73125)","(4.0, 7.0, 4.839583333333334)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 31.944444444444443)","(18.0, 44.0, 29.25)","(5.5, 10.0, 5.454545454545454)","(20.0, 60.0, 36.388888888888886)"
05-01-2023 16:56:39.956746,"(3.2, 5.7, 3.73125)","(4.0, 7.0, 4.839583333333334)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 31.944444444444443)","(18.0, 44.0, 29.25)","(5.5, 10.0, 5.454545454545454)","(20.0, 60.0, 36.388888888888886)"
05-01-2023 16:56:41.031200,"(3.2, 5.7, 3.73125)","(4.0, 7.0, 4.839583333333334)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 33.75)","(18.0, 44.0, 22.909090909090907)","(5.5, 10.0, 5.454545454545454)","(20.0, 60.0, 29.81818181818182)"
05-01-2023 16:56:42.255657,"(3.2, 5.3, 3.655555555555556)","(4.0, 7.0, 4.839583333333334)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 33.75)","(18.0, 44.0, 22.909090909090907)","(5.5, 10.0, 5.454545454545454)","(20.0, 60.0, 29.81818181818182)"
05-01-2023 16:56:43.570852,"(3.2, 5.3, 3.655555555555556)","(4.0, 7.0, 4.839583333333334)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 33.75)","(18.0, 44.0, 23.272727272727273)","(5.5, 10.0, 6.875)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:56:44.831814,"(3.2, 5.3, 3.655555555555556)","(4.0, 7.0, 4.571428571428571)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 33.75)","(18.0, 44.0, 23.272727272727273)","(5.5, 10.0, 6.875)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:56:46.047736,"(3.2, 5.3, 3.655555555555556)","(4.0, 7.0, 4.571428571428571)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 33.75)","(18.0, 44.0, 23.272727272727273)","(5.5, 10.0, 6.875)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:56:47.261389,"(3.2, 5.3, 3.655555555555556)","(4.0, 7.0, 4.571428571428571)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 33.75)","(18.0, 44.0, 23.272727272727273)","(5.5, 10.0, 6.875)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:56:48.520882,"(3.2, 5.3, 3.655555555555556)","(4.0, 7.0, 4.571428571428571)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 33.75)","(18.0, 44.0, 23.272727272727273)","(5.5, 10.0, 6.875)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:56:49.749525,"(3.2, 5.3, 3.655555555555556)","(4.0, 7.0, 4.571428571428571)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 33.75)","(18.0, 44.0, 23.272727272727273)","(5.5, 10.0, 6.875)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:56:50.864287,"(3.2, 5.3, 3.655555555555556)","(4.0, 7.0, 4.571428571428571)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 33.75)","(18.0, 44.0, 23.272727272727273)","(5.5, 10.0, 6.875)","(20.0, 60.0, 30.18181818181818)"
