,Debt Collector,Far More Women,White Claw,Shinigami,True Blue,Always Broke,This Time Buddy,Mad Max Blue
10-01-2023 15:10:45.156305,"(3.9, 7.6, 4.678947368421053)","(3.6, 5.2, 4.933333333333334)","(4.0, 6.8, 4.4523809523809526)","(15.0, 40.0, 28.083333333333332)","(8.0, 17.0, 8.771428571428572)","(4.8, 10.5, 6.633333333333333)","(8.0, 14.0, 8.933333333333334)","(71.0, 570.0, 484.16666666666663)"
10-01-2023 15:10:46.475970,"(3.9, 7.6, 4.678947368421053)","(3.6, 5.2, 4.933333333333334)","(4.0, 6.8, 4.4523809523809526)","(15.0, 40.0, 28.083333333333332)","(8.0, 17.0, 8.771428571428572)","(4.8, 10.5, 6.633333333333333)","(8.0, 14.0, 8.933333333333334)","(71.0, 570.0, 484.16666666666663)"
10-01-2023 15:10:47.683657,"(3.9, 7.6, 4.678947368421053)","(3.6, 5.2, 4.933333333333334)","(4.0, 6.8, 4.4523809523809526)","(15.0, 40.0, 28.083333333333332)","(8.0, 17.0, 8.771428571428572)","(4.8, 10.5, 6.633333333333333)","(8.0, 14.0, 8.933333333333334)","(71.0, 570.0, 484.16666666666663)"
10-01-2023 15:10:48.928652,"(3.9, 7.6, 4.678947368421053)","(3.6, 5.2, 4.933333333333334)","(4.0, 6.8, 4.4523809523809526)","(15.0, 40.0, 28.083333333333332)","(8.0, 17.0, 8.771428571428572)","(4.8, 10.5, 6.633333333333333)","(8.0, 14.0, 8.933333333333334)","(71.0, 570.0, 484.16666666666663)"
10-01-2023 15:10:50.171720,"(3.9, 7.6, 4.678947368421053)","(3.6, 5.2, 4.933333333333334)","(4.0, 6.8, 4.4523809523809526)","(15.0, 40.0, 28.083333333333332)","(8.0, 17.0, 8.771428571428572)","(4.8, 10.5, 6.633333333333333)","(8.0, 14.0, 8.933333333333334)","(71.0, 570.0, 484.16666666666663)"
10-01-2023 15:10:51.405395,"(3.9, 7.6, 4.678947368421053)","(3.6, 5.2, 4.933333333333334)","(4.0, 6.8, 4.4523809523809526)","(15.0, 40.0, 28.083333333333332)","(8.0, 17.0, 8.771428571428572)","(4.8, 10.5, 6.633333333333333)","(8.0, 14.0, 8.933333333333334)","(71.0, 570.0, 484.16666666666663)"
10-01-2023 15:10:52.626596,"(3.9, 7.6, 4.678947368421053)","(3.6, 5.2, 4.933333333333334)","(4.0, 6.8, 4.4523809523809526)","(15.0, 40.0, 28.083333333333332)","(8.0, 17.0, 8.771428571428572)","(4.8, 10.5, 6.633333333333333)","(8.0, 14.0, 8.933333333333334)","(71.0, 570.0, 484.16666666666663)"
10-01-2023 15:10:53.789715,"(3.9, 7.6, 4.678947368421053)","(3.6, 5.2, 4.933333333333334)","(4.0, 6.8, 4.4523809523809526)","(15.0, 40.0, 28.083333333333332)","(8.0, 17.0, 8.771428571428572)","(4.8, 10.5, 6.633333333333333)","(8.0, 14.0, 8.933333333333334)","(71.0, 570.0, 484.16666666666663)"
10-01-2023 15:10:54.953439,"(3.9, 7.6, 4.678947368421053)","(3.6, 5.2, 4.933333333333334)","(4.0, 6.8, 4.4523809523809526)","(15.0, 40.0, 28.083333333333332)","(8.0, 17.0, 8.771428571428572)","(4.8, 10.5, 6.633333333333333)","(8.0, 14.0, 8.933333333333334)","(71.0, 570.0, 484.16666666666663)"
10-01-2023 15:10:56.246096,"(3.9, 7.6, 4.678947368421053)","(3.6, 5.2, 4.933333333333334)","(4.0, 6.8, 4.4523809523809526)","(15.0, 40.0, 28.083333333333332)","(8.0, 17.0, 8.771428571428572)","(4.8, 10.5, 6.633333333333333)","(8.0, 14.0, 8.933333333333334)","(71.0, 570.0, 484.16666666666663)"
10-01-2023 15:10:57.411238,"(3.9, 7.6, 4.678947368421053)","(3.6, 5.2, 4.933333333333334)","(4.0, 6.8, 4.4523809523809526)","(15.0, 40.0, 28.083333333333332)","(8.0, 17.0, 8.771428571428572)","(4.8, 10.5, 6.633333333333333)","(8.0, 14.0, 8.933333333333334)","(71.0, 570.0, 484.16666666666663)"
10-01-2023 15:10:58.629845,"(3.9, 7.6, 4.678947368421053)","(3.6, 5.2, 4.933333333333334)","(4.0, 6.8, 4.4523809523809526)","(15.0, 40.0, 28.083333333333332)","(8.0, 17.0, 8.771428571428572)","(4.8, 10.5, 6.633333333333333)","(8.0, 14.0, 8.933333333333334)","(71.0, 570.0, 484.16666666666663)"
10-01-2023 15:10:59.817629,"(3.9, 7.6, 4.678947368421053)","(3.6, 5.2, 4.933333333333334)","(4.0, 6.8, 4.4523809523809526)","(15.0, 40.0, 28.083333333333332)","(8.0, 17.0, 8.771428571428572)","(4.8, 10.5, 6.633333333333333)","(8.0, 14.0, 8.933333333333334)","(71.0, 570.0, 484.16666666666663)"
10-01-2023 15:11:01.102044,"(3.9, 7.6, 4.678947368421053)","(3.6, 5.2, 4.933333333333334)","(4.0, 6.8, 4.4523809523809526)","(15.0, 40.0, 28.083333333333332)","(8.0, 17.0, 8.771428571428572)","(4.8, 10.5, 7.823076923076923)","(8.0, 14.0, 8.933333333333334)","(71.0, 570.0, 484.16666666666663)"
10-01-2023 15:11:02.359731,"(3.9, 7.6, 4.678947368421053)","(3.6, 5.2, 4.373333333333333)","(4.0, 6.8, 4.4523809523809526)","(15.0, 40.0, 28.083333333333332)","(8.0, 17.0, 8.771428571428572)","(4.8, 10.5, 7.823076923076923)","(8.0, 14.0, 8.933333333333334)","(71.0, 570.0, 484.16666666666663)"
