,Boxing On,Make Me Dizzy,Rosebud Smile,Monza,Cant Control Me,Shian Quirky,Remembering,Sugar Pie
06-01-2023 16:31:20.576478,"(9.0, 17.0, 8.95)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.12, 1.4676315789473684)","(16.0, 38.0, 24.0)","(31.0, 300.0, 139.2)"
06-01-2023 16:31:22.005143,"(9.0, 17.0, 8.95)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.12, 1.4676315789473684)","(16.0, 38.0, 24.0)","(31.0, 300.0, 139.2)"
06-01-2023 16:31:23.269357,"(9.0, 17.0, 8.95)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.12, 1.4676315789473684)","(16.0, 38.0, 24.0)","(31.0, 300.0, 139.2)"
06-01-2023 16:31:24.498491,"(9.0, 17.0, 8.95)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.12, 1.4676315789473684)","(16.0, 38.0, 24.0)","(31.0, 300.0, 139.2)"
06-01-2023 16:31:25.611890,"(9.0, 17.0, 8.95)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.12, 1.4676315789473684)","(16.0, 38.0, 24.0)","(31.0, 300.0, 139.2)"
06-01-2023 16:31:26.682179,"(9.0, 17.0, 8.95)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.12, 1.4676315789473684)","(16.0, 38.0, 24.0)","(31.0, 300.0, 139.2)"
06-01-2023 16:31:27.793292,"(9.0, 17.0, 8.95)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.12, 1.4676315789473684)","(16.0, 38.0, 24.0)","(31.0, 300.0, 139.2)"
06-01-2023 16:31:28.911022,"(9.0, 17.0, 8.95)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.12, 1.4676315789473684)","(16.0, 38.0, 24.0)","(31.0, 300.0, 139.2)"
06-01-2023 16:31:30.086127,"(9.0, 17.0, 8.95)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.12, 1.4676315789473684)","(16.0, 38.0, 24.0)","(31.0, 300.0, 139.2)"
06-01-2023 16:31:31.253302,"(9.0, 17.0, 8.95)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.12, 1.4676315789473684)","(16.0, 38.0, 24.0)","(31.0, 300.0, 139.2)"
06-01-2023 16:31:32.482945,"(9.0, 17.0, 8.95)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.12, 1.4676315789473684)","(16.0, 38.0, 24.0)","(31.0, 300.0, 139.2)"
06-01-2023 16:31:33.667432,"(9.0, 17.0, 8.95)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.12, 1.4676315789473684)","(16.0, 38.0, 24.0)","(31.0, 300.0, 139.2)"
06-01-2023 16:31:34.907961,"(9.0, 17.0, 8.95)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.12, 1.4676315789473684)","(16.0, 38.0, 24.0)","(31.0, 300.0, 139.2)"
06-01-2023 16:31:36.053720,"(9.0, 17.0, 8.95)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.12, 1.4676315789473684)","(16.0, 38.0, 24.0)","(31.0, 300.0, 139.2)"
06-01-2023 16:31:37.231645,"(9.0, 17.0, 8.95)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.12, 1.4676315789473684)","(16.0, 38.0, 24.0)","(31.0, 300.0, 139.2)"
06-01-2023 16:31:38.450259,"(9.0, 17.0, 8.95)","(14.0, 32.0, 23.458333333333332)","(7.5, 16.0, 8.628571428571428)","(31.0, 200.0, 114.5)","(7.5, 15.0, 8.175)","(1.35, 2.12, 1.4676315789473684)","(16.0, 38.0, 26.863636363636363)","(31.0, 300.0, 127.71428571428571)"
