,Madison Point,Tullaghan,Taliano,Bubbler,Blazing Zone,Fleur De Rose,Jeddalet,Honour The Legend
10-01-2023 12:32:51.635509,"(4.8, 5.9, 5.533333333333333)","(3.4, 4.2, 4.131914893617021)","(11.0, 19.0, 16.5)","(3.2, 4.3, 3.8333333333333335)","(12.0, 22.0, 19.0)","(10.0, 17.0, 15.5)","(12.0, 19.5, 17.5)","(8.0, 17.0, 16.166666666666668)"
10-01-2023 12:32:52.704029,"(4.8, 5.9, 5.533333333333333)","(3.4, 4.2, 4.131914893617021)","(11.0, 19.0, 16.5)","(3.2, 4.3, 3.8333333333333335)","(12.0, 22.0, 19.0)","(10.0, 17.0, 15.5)","(12.0, 19.5, 17.5)","(8.0, 17.0, 16.166666666666668)"
10-01-2023 12:32:53.800211,"(4.8, 5.9, 5.533333333333333)","(3.4, 4.2, 4.131914893617021)","(11.0, 19.0, 16.5)","(3.2, 4.3, 3.8333333333333335)","(12.0, 22.0, 19.0)","(10.0, 17.0, 15.5)","(12.0, 19.5, 17.5)","(8.0, 17.0, 16.166666666666668)"
10-01-2023 12:32:54.839264,"(4.8, 5.9, 5.533333333333333)","(3.4, 4.2, 4.131914893617021)","(11.0, 19.0, 16.5)","(3.2, 4.3, 3.8333333333333335)","(12.0, 22.0, 19.0)","(10.0, 17.0, 15.5)","(12.0, 19.5, 17.5)","(8.0, 17.0, 16.166666666666668)"
10-01-2023 12:32:55.904271,"(4.8, 5.9, 5.533333333333333)","(3.4, 4.2, 4.131914893617021)","(11.0, 19.0, 16.5)","(3.2, 4.3, 3.8333333333333335)","(12.0, 22.0, 19.0)","(10.0, 17.0, 15.5)","(12.0, 19.5, 17.5)","(8.0, 17.0, 16.166666666666668)"
10-01-2023 12:32:57.022309,"(4.8, 5.9, 5.585714285714285)","(3.4, 4.2, 4.131914893617021)","(11.0, 19.0, 16.5)","(3.2, 4.3, 3.78)","(12.0, 22.0, 19.0)","(10.0, 17.0, 15.5)","(12.0, 19.5, 17.5)","(8.0, 17.0, 16.166666666666668)"
10-01-2023 12:32:58.088306,"(4.8, 5.9, 5.585714285714285)","(3.4, 4.2, 4.131914893617021)","(11.0, 19.0, 16.5)","(3.2, 4.3, 3.78)","(12.0, 22.0, 19.0)","(10.0, 17.0, 15.5)","(12.0, 19.5, 17.5)","(8.0, 17.0, 16.166666666666668)"
10-01-2023 12:32:59.162811,"(4.8, 5.9, 5.585714285714285)","(3.4, 4.2, 4.123404255319149)","(11.0, 19.0, 16.5)","(3.2, 4.3, 3.78)","(12.0, 22.0, 19.0)","(10.0, 17.0, 15.5)","(12.0, 19.5, 17.5)","(8.0, 17.0, 16.166666666666668)"
10-01-2023 12:33:00.317651,"(4.8, 5.9, 5.585714285714285)","(3.4, 4.2, 4.123404255319149)","(11.0, 19.0, 16.5)","(3.2, 4.3, 3.78)","(12.0, 22.0, 19.0)","(10.0, 17.0, 15.5)","(12.0, 19.5, 17.5)","(8.0, 17.0, 16.166666666666668)"
10-01-2023 12:33:01.434136,"(4.8, 5.9, 5.585714285714285)","(3.4, 4.2, 4.123404255319149)","(11.0, 19.0, 16.5)","(3.2, 4.3, 3.78)","(12.0, 22.0, 19.0)","(10.0, 17.0, 15.5)","(12.0, 19.5, 17.5)","(8.0, 17.0, 16.166666666666668)"
10-01-2023 12:33:02.573888,"(4.8, 5.9, 5.585714285714285)","(3.4, 4.2, 4.123404255319149)","(11.0, 19.0, 16.5)","(3.2, 4.3, 3.78)","(12.0, 22.0, 19.0)","(10.0, 17.0, 15.5)","(12.0, 19.5, 17.5)","(8.0, 17.0, 16.166666666666668)"
10-01-2023 12:33:03.765445,"(4.8, 5.9, 5.585714285714285)","(3.4, 4.2, 4.123404255319149)","(11.0, 19.0, 16.5)","(3.2, 4.3, 3.78)","(12.0, 22.0, 19.0)","(10.0, 17.0, 15.5)","(12.0, 19.5, 17.5)","(8.0, 17.0, 16.166666666666668)"
10-01-2023 12:33:04.931599,"(4.8, 5.9, 5.585714285714285)","(3.4, 4.2, 4.123404255319149)","(11.0, 19.0, 16.5)","(3.2, 4.3, 3.78)","(12.0, 22.0, 19.0)","(10.0, 17.0, 15.5)","(12.0, 19.5, 17.5)","(8.0, 17.0, 16.166666666666668)"
10-01-2023 12:33:06.031641,"(4.8, 5.9, 5.585714285714285)","(3.4, 4.2, 4.123404255319149)","(11.0, 19.0, 16.5)","(3.2, 4.3, 3.78)","(12.0, 22.0, 19.0)","(10.0, 17.0, 15.5)","(12.0, 19.5, 17.5)","(8.0, 17.0, 16.166666666666668)"
10-01-2023 12:33:07.128903,"(4.8, 5.9, 5.45)","(3.4, 4.2, 4.123404255319149)","(11.0, 19.0, 16.5)","(3.2, 4.3, 3.78)","(12.0, 22.0, 19.0)","(10.0, 17.0, 15.5)","(12.0, 19.5, 17.5)","(8.0, 17.0, 16.166666666666668)"
