,Toms Mate,Symi Fortuna,Peter Pan,Candy Kaos,Glenreagh Burner,Eyes On Gold,But It Pours,Cash Key
11-01-2023 12:22:56.072298,"(4.6, 8.0, 5.25)","(18.0, 48.0, 43.3125)","(18.0, 55.0, 38.958333333333336)","(1.75, 2.64, 1.8403030303030303)","(20.0, 70.0, 44.75)","(5.0, 8.4, 8.286666666666667)","(18.0, 60.0, 39.5)","(8.5, 21.0, 15.0)"
11-01-2023 12:22:57.379487,"(4.6, 8.0, 5.25)","(18.0, 48.0, 43.3125)","(18.0, 55.0, 38.958333333333336)","(1.75, 2.64, 1.8403030303030303)","(20.0, 70.0, 44.75)","(5.0, 8.4, 8.286666666666667)","(18.0, 60.0, 39.5)","(8.5, 21.0, 15.0)"
11-01-2023 12:22:58.707429,"(4.6, 8.0, 5.25)","(18.0, 48.0, 43.3125)","(18.0, 55.0, 38.958333333333336)","(1.75, 2.64, 1.8403030303030303)","(20.0, 70.0, 44.75)","(5.0, 8.4, 8.286666666666667)","(18.0, 60.0, 39.5)","(8.5, 21.0, 15.0)"
11-01-2023 12:22:59.937473,"(4.6, 8.0, 5.25)","(18.0, 48.0, 43.3125)","(18.0, 55.0, 38.958333333333336)","(1.75, 2.64, 1.8403030303030303)","(20.0, 70.0, 44.75)","(5.0, 8.4, 8.286666666666667)","(18.0, 60.0, 39.5)","(8.5, 21.0, 15.0)"
11-01-2023 12:23:01.079132,"(4.6, 8.0, 5.25)","(18.0, 48.0, 43.3125)","(18.0, 55.0, 38.958333333333336)","(1.75, 2.64, 1.8403030303030303)","(20.0, 70.0, 44.75)","(5.0, 8.4, 8.286666666666667)","(18.0, 60.0, 39.5)","(8.5, 21.0, 15.0)"
11-01-2023 12:23:02.260004,"(4.6, 8.0, 5.25)","(18.0, 48.0, 43.3125)","(18.0, 55.0, 38.958333333333336)","(1.75, 2.64, 1.8403030303030303)","(20.0, 70.0, 44.75)","(5.0, 8.4, 8.286666666666667)","(18.0, 60.0, 30.545454545454547)","(8.5, 21.0, 15.0)"
11-01-2023 12:23:03.440934,"(4.6, 7.8, 5.216666666666667)","(18.0, 48.0, 28.333333333333336)","(18.0, 55.0, 29.666666666666664)","(1.75, 2.64, 1.8403030303030303)","(20.0, 70.0, 33.63636363636364)","(5.0, 8.4, 8.286666666666667)","(18.0, 60.0, 30.545454545454547)","(8.5, 21.0, 15.0)"
11-01-2023 12:23:04.636310,"(4.6, 7.8, 5.216666666666667)","(18.0, 48.0, 28.333333333333336)","(18.0, 55.0, 29.666666666666664)","(1.75, 2.64, 1.8403030303030303)","(20.0, 70.0, 33.63636363636364)","(5.0, 8.4, 8.286666666666667)","(18.0, 60.0, 30.545454545454547)","(8.5, 21.0, 15.0)"
11-01-2023 12:23:05.832964,"(4.6, 7.8, 5.216666666666667)","(18.0, 48.0, 28.333333333333336)","(18.0, 55.0, 29.666666666666664)","(1.75, 2.64, 1.8403030303030303)","(20.0, 70.0, 33.63636363636364)","(5.0, 8.4, 8.286666666666667)","(18.0, 60.0, 30.545454545454547)","(8.5, 21.0, 15.0)"
11-01-2023 12:23:07.011125,"(4.6, 7.8, 5.216666666666667)","(18.0, 48.0, 28.333333333333336)","(18.0, 55.0, 29.666666666666664)","(1.75, 2.64, 1.8403030303030303)","(20.0, 70.0, 33.63636363636364)","(5.0, 8.4, 8.286666666666667)","(18.0, 60.0, 30.545454545454547)","(8.5, 21.0, 15.0)"
11-01-2023 12:23:08.194039,"(4.6, 7.8, 5.216666666666667)","(18.0, 48.0, 28.333333333333336)","(18.0, 55.0, 29.666666666666664)","(1.75, 2.64, 1.8403030303030303)","(20.0, 70.0, 33.63636363636364)","(5.0, 8.4, 8.286666666666667)","(18.0, 60.0, 30.18181818181818)","(8.5, 21.0, 15.0)"
11-01-2023 12:23:09.461973,"(4.6, 7.8, 5.216666666666667)","(18.0, 48.0, 28.333333333333336)","(18.0, 55.0, 29.666666666666664)","(1.75, 2.64, 1.8403030303030303)","(20.0, 70.0, 33.63636363636364)","(5.0, 8.4, 8.286666666666667)","(18.0, 60.0, 30.18181818181818)","(8.5, 21.0, 15.0)"
11-01-2023 12:23:10.701529,"(4.6, 7.8, 5.216666666666667)","(18.0, 48.0, 28.333333333333336)","(18.0, 55.0, 29.666666666666664)","(1.75, 2.64, 1.8403030303030303)","(20.0, 70.0, 33.63636363636364)","(5.0, 8.4, 8.286666666666667)","(18.0, 60.0, 30.18181818181818)","(8.5, 21.0, 15.0)"
11-01-2023 12:23:11.863956,"(4.6, 7.8, 5.216666666666667)","(18.0, 48.0, 28.333333333333336)","(18.0, 55.0, 29.666666666666664)","(1.75, 2.64, 1.8403030303030303)","(20.0, 70.0, 33.63636363636364)","(5.0, 8.4, 8.286666666666667)","(18.0, 60.0, 30.18181818181818)","(8.5, 21.0, 15.0)"
11-01-2023 12:23:13.048995,"(4.6, 7.8, 5.216666666666667)","(18.0, 48.0, 28.333333333333336)","(18.0, 55.0, 29.666666666666664)","(1.75, 2.64, 1.8403030303030303)","(20.0, 70.0, 33.63636363636364)","(5.0, 8.4, 8.286666666666667)","(18.0, 60.0, 30.18181818181818)","(8.5, 21.0, 15.0)"
