,Minter Formula,Handsome Is,Little Edward,Jack Hook,Navarino,In Blue Jeans
10-01-2023 21:17:46.996552,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:17:48.118411,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:17:49.362496,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:17:50.442545,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:17:51.459886,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:17:52.446074,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:17:53.469402,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:17:54.551752,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:17:55.885233,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:17:56.827637,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:17:57.832186,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:17:58.938596,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:17:59.966064,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:18:01.150775,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:18:02.321572,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:18:03.288714,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:18:04.291197,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:18:05.369255,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:18:06.299217,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:18:07.219510,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:18:08.295400,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:18:09.346230,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:18:10.367955,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:18:11.306028,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:18:12.333236,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:18:13.504170,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:18:14.597469,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:18:15.560153,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:18:16.732706,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:18:17.828989,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:18:18.923695,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
10-01-2023 21:18:19.923439,"(6.5, 99998, 9998.5)","(8.0, 99998, 9998.5)","(8.5, 99998, 9998.5)","(9.0, 99998, 9998.5)","(1.45, 99998, 9998.5)","(16.0, 99998, 9998.5)"
