,Bobby Rissole,Asteroid Evee,Gothika,His Keen,Karinya Trombone
05-01-2023 16:47:50.750202,"(2.5, 4.4, 3.5)","(51.0, 230.0, 209.77777777777777)","(21.0, 170.0, 72.66666666666666)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:47:51.564491,"(2.5, 4.3, 3.8666666666666667)","(51.0, 230.0, 209.77777777777777)","(21.0, 170.0, 72.66666666666666)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:47:52.379852,"(2.5, 4.3, 3.8666666666666667)","(51.0, 230.0, 209.77777777777777)","(21.0, 170.0, 72.66666666666666)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:47:53.303835,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 170.0, 72.66666666666666)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:47:54.256066,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 170.0, 72.66666666666666)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:47:55.122695,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 170.0, 72.66666666666666)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:47:56.038144,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 170.0, 72.66666666666666)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:47:56.857762,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 170.0, 72.66666666666666)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:47:57.641197,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 170.0, 72.66666666666666)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:47:58.528948,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 170.0, 72.66666666666666)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
