,Casting Vote,Only Juan,Raglan Mafia,Seymour Thunder,Know Juan,Tokyo Drift,Whos My Mother
10-01-2023 20:11:00.344175,"(20.0, 46.0, 41.25925925925926)","(13.0, 23.0, 21.35483870967742)","(21.0, 46.0, 42.4)","(5.5, 10.0, 9.549999999999999)","(12.0, 24.0, 23.347826086956523)","(1.24, 1.37, 1.361)","(26.0, 80.0, 74.75)"
10-01-2023 20:11:01.304873,"(20.0, 46.0, 41.25925925925926)","(13.0, 23.0, 21.35483870967742)","(21.0, 46.0, 42.4)","(5.5, 9.6, 9.549999999999999)","(12.0, 24.0, 23.347826086956523)","(1.24, 1.38, 1.361)","(26.0, 80.0, 74.75)"
10-01-2023 20:11:02.204092,"(20.0, 46.0, 41.25925925925926)","(13.0, 23.0, 21.35483870967742)","(21.0, 46.0, 42.4)","(5.5, 9.6, 9.549999999999999)","(12.0, 24.0, 23.347826086956523)","(1.24, 1.38, 1.361)","(26.0, 80.0, 74.75)"
10-01-2023 20:11:03.187062,"(20.0, 46.0, 41.25925925925926)","(13.0, 23.0, 21.35483870967742)","(21.0, 46.0, 42.4)","(5.5, 9.6, 9.549999999999999)","(12.0, 24.0, 23.347826086956523)","(1.24, 1.38, 1.361)","(26.0, 80.0, 74.75)"
10-01-2023 20:11:04.150700,"(20.0, 46.0, 41.25925925925926)","(13.0, 23.0, 22.49)","(21.0, 46.0, 42.4)","(5.5, 9.6, 9.549999999999999)","(12.0, 24.0, 23.347826086956523)","(1.24, 1.38, 1.361)","(26.0, 80.0, 74.75)"
10-01-2023 20:11:05.053065,"(20.0, 46.0, 41.25925925925926)","(13.0, 23.0, 22.49)","(21.0, 46.0, 42.4)","(5.5, 9.6, 9.549999999999999)","(12.0, 24.0, 23.347826086956523)","(1.24, 1.37, 1.3673684210526318)","(26.0, 80.0, 74.75)"
10-01-2023 20:11:06.056545,"(20.0, 46.0, 41.25925925925926)","(13.0, 23.0, 22.49)","(21.0, 46.0, 42.4)","(5.5, 9.6, 9.549999999999999)","(12.0, 24.0, 23.347826086956523)","(1.24, 1.37, 1.362982456140351)","(26.0, 80.0, 74.75)"
10-01-2023 20:11:07.174046,"(20.0, 46.0, 41.25925925925926)","(13.0, 23.0, 22.49)","(21.0, 46.0, 42.4)","(5.5, 9.6, 9.549999999999999)","(12.0, 24.0, 23.347826086956523)","(1.24, 1.37, 1.362982456140351)","(26.0, 80.0, 74.75)"
10-01-2023 20:11:08.222378,"(20.0, 46.0, 41.25925925925926)","(13.0, 23.0, 22.49)","(21.0, 46.0, 42.4)","(5.5, 9.6, 9.549999999999999)","(12.0, 24.0, 23.347826086956523)","(1.24, 1.37, 1.3642307692307694)","(26.0, 80.0, 74.75)"
10-01-2023 20:11:09.277155,"(20.0, 46.0, 41.25925925925926)","(13.0, 23.0, 22.49)","(21.0, 46.0, 42.4)","(5.5, 9.6, 9.549999999999999)","(12.0, 24.0, 23.347826086956523)","(1.24, 1.37, 1.3584848484848486)","(26.0, 80.0, 74.75)"
