,Court Jester,Sayua,Lost Cause,Levente,Cold Pursuit,Quokka Two
04-01-2023 13:41:52.082288,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.4)"
04-01-2023 13:41:53.170366,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.4)"
04-01-2023 13:41:54.373270,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.4)"
04-01-2023 13:41:55.384647,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.52)","(6.5, 11.0, 9.4)"
04-01-2023 13:41:56.431688,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.52)","(6.5, 11.0, 9.4)"
04-01-2023 13:41:57.588707,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.52)","(6.5, 11.0, 9.4)"
04-01-2023 13:41:58.632145,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.52)","(6.5, 11.0, 9.4)"
04-01-2023 13:41:59.697679,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.5270588235294116)","(6.5, 11.0, 9.4)"
04-01-2023 13:42:00.726676,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.5270588235294116)","(6.5, 11.0, 9.4)"
04-01-2023 13:42:01.652061,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.5270588235294116)","(6.5, 11.0, 9.4)"
04-01-2023 13:42:02.769356,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.5270588235294116)","(6.5, 11.0, 9.4)"
04-01-2023 13:42:03.899009,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.343157894736842)","(6.5, 11.0, 9.4)"
04-01-2023 13:42:04.959549,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.4)"
04-01-2023 13:42:05.951246,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.4)"
04-01-2023 13:42:06.974856,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.4)"
04-01-2023 13:42:07.986312,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.4)"
04-01-2023 13:42:08.969852,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.4)"
04-01-2023 13:42:10.105910,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.4)"
04-01-2023 13:42:11.214986,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.4)"
04-01-2023 13:42:12.251682,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.4)"
04-01-2023 13:42:13.275171,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.4)"
04-01-2023 13:42:14.264503,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.4)"
04-01-2023 13:42:15.234691,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.4)"
04-01-2023 13:42:16.236321,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.4)"
04-01-2023 13:42:17.343598,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.4)"
04-01-2023 13:42:18.388508,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.4)"
04-01-2023 13:42:19.459609,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.4)"
04-01-2023 13:42:20.585096,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.4)"
04-01-2023 13:42:21.622027,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.4)"
04-01-2023 13:42:22.536510,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.4)"
04-01-2023 13:42:23.535235,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 4.02)","(10.0, 18.5, 16.64)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.4)"
04-01-2023 13:42:24.522470,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 3.8)","(10.0, 18.5, 14.86)","(8.5, 20.0, 14.5)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.4)"
04-01-2023 13:42:25.443910,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 3.8)","(10.0, 18.5, 14.86)","(8.5, 20.0, 14.5)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.4)"
04-01-2023 13:42:26.433944,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 3.8)","(10.0, 18.5, 14.86)","(8.5, 20.0, 14.5)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.16)"
04-01-2023 13:42:27.493028,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 3.8)","(10.0, 18.5, 14.86)","(8.5, 20.0, 14.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.16)"
04-01-2023 13:42:28.475295,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 3.9555555555555553)","(10.0, 18.5, 14.86)","(8.5, 20.0, 14.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.16)"
04-01-2023 13:42:29.389077,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 3.8571428571428568)","(10.0, 18.5, 15.02)","(8.5, 20.0, 14.2)","(2.05, 2.76, 2.52)","(6.5, 11.0, 9.16)"
04-01-2023 13:42:30.461337,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 3.8571428571428568)","(10.0, 18.5, 15.02)","(8.5, 20.0, 14.2)","(2.05, 2.76, 2.52)","(6.5, 11.0, 8.96)"
04-01-2023 13:42:31.603321,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 3.9555555555555553)","(10.0, 18.5, 14.86)","(8.5, 20.0, 14.4)","(2.05, 2.76, 2.52)","(6.5, 11.0, 8.96)"
04-01-2023 13:42:32.700363,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 3.9555555555555553)","(10.0, 18.5, 14.86)","(8.5, 20.0, 14.4)","(2.05, 2.76, 2.52)","(6.5, 11.0, 8.96)"
04-01-2023 13:42:33.845971,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 3.9555555555555553)","(10.0, 18.5, 15.533333333333333)","(8.5, 20.0, 14.4)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.933333333333334)"
04-01-2023 13:42:34.928136,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 3.8285714285714283)","(10.0, 18.5, 15.533333333333333)","(8.5, 20.0, 18.03333333333333)","(2.05, 2.76, 2.5270588235294116)","(6.5, 11.0, 10.26153846153846)"
04-01-2023 13:42:35.886828,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 3.8285714285714283)","(10.0, 18.5, 15.02)","(8.5, 20.0, 18.03333333333333)","(2.05, 2.76, 2.5270588235294116)","(6.5, 11.0, 10.26153846153846)"
04-01-2023 13:42:36.982339,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 3.8285714285714283)","(10.0, 18.5, 15.02)","(8.5, 20.0, 15.285714285714285)","(2.05, 2.76, 2.5270588235294116)","(6.5, 11.0, 10.26153846153846)"
04-01-2023 13:42:37.974599,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 3.8285714285714283)","(10.0, 18.5, 15.02)","(8.5, 20.0, 15.285714285714285)","(2.05, 2.76, 2.5270588235294116)","(6.5, 11.0, 10.26153846153846)"
04-01-2023 13:42:38.983878,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 3.9555555555555553)","(10.0, 18.5, 14.86)","(8.5, 20.0, 15.285714285714285)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 10.26153846153846)"
04-01-2023 13:42:40.060306,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 3.8285714285714283)","(10.0, 18.5, 15.533333333333333)","(8.5, 20.0, 14.6)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.466666666666667)"
04-01-2023 13:42:41.116985,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 3.8285714285714283)","(10.0, 18.5, 15.02)","(8.5, 20.0, 14.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.24)"
04-01-2023 13:42:42.107385,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 3.8285714285714283)","(10.0, 18.5, 15.02)","(8.5, 20.0, 14.4)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.24)"
04-01-2023 13:42:43.118887,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 3.8285714285714283)","(10.0, 18.5, 15.02)","(8.5, 20.0, 14.4)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.24)"
04-01-2023 13:42:44.139098,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 3.9555555555555553)","(10.0, 18.5, 14.78)","(8.5, 20.0, 14.4)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 8.96)"
04-01-2023 13:42:45.089141,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 3.9555555555555553)","(10.0, 18.5, 14.86)","(8.5, 20.0, 14.4)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.933333333333334)"
04-01-2023 13:42:46.042362,"(9.0, 20.0, 16.945454545454545)","(3.2, 4.6, 3.9)","(10.0, 18.5, 14.685714285714287)","(8.5, 20.0, 14.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 11.0, 9.9625)"
04-01-2023 13:42:47.098116,"(9.0, 20.0, 16.266666666666666)","(3.2, 4.6, 3.8285714285714283)","(10.0, 18.5, 14.15)","(8.5, 20.0, 13.371428571428572)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.475)"
04-01-2023 13:42:48.245726,"(9.0, 20.0, 16.266666666666666)","(3.2, 4.6, 3.8285714285714283)","(10.0, 18.5, 14.15)","(8.5, 20.0, 13.600000000000001)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.475)"
04-01-2023 13:42:49.339989,"(9.0, 20.0, 16.266666666666666)","(3.2, 4.6, 3.8285714285714283)","(10.0, 18.5, 14.15)","(8.5, 20.0, 13.600000000000001)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.425)"
04-01-2023 13:42:50.476688,"(9.0, 20.0, 16.266666666666666)","(3.2, 4.6, 3.875)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 13.600000000000001)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.68)"
