,Rahela Bale,Big Beaver,Destini Saxon,Silver Brute,Westerns Bear,Aston Salma,Zella Bale
07-12-2022 20:19:47.776523,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 15.5)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:19:48.828971,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 15.5)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:19:50.009762,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 15.5)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:19:51.157319,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:19:52.253491,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:19:53.293084,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:19:54.308568,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:19:55.275915,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:19:56.249380,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:19:57.291461,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
