,Trittrittbangbang,Miss Vung Tau,Our Star Watch Nz,Pontevivo,Lil Happy Fella,Leosabi,Justlike Turbo,Naval Aviator,Whoswhointhezoo,Blue Blazer Nz,Valentines Brook,Wall Street Girl
10-01-2023 20:18:59.946586,"(51.0, 160.0, 128.57142857142856)","(81.0, 200.0, 113.33333333333334)","(19.0, 99999, 99990)","(4.8, 7.2, 6.628571428571428)","(21.0, 48.0, 28.666666666666664)","(3.7, 5.6, 4.733333333333333)","(26.0, 50.0, 37.0)","(51.0, 150.0, 135.42857142857144)","(51.0, 160.0, 105.0)","(13.0, 99999, 99990)","(2.0, 2.18, 2.081538461538462)","(17.0, 28.0, 21.25)"
10-01-2023 20:19:01.502324,"(51.0, 160.0, 128.57142857142856)","(81.0, 200.0, 113.33333333333334)","(19.0, 99999, 99990)","(4.8, 7.2, 6.628571428571428)","(21.0, 48.0, 28.666666666666664)","(3.7, 5.6, 4.733333333333333)","(26.0, 48.0, 37.0)","(51.0, 150.0, 135.42857142857144)","(51.0, 160.0, 105.0)","(13.0, 99999, 99990)","(2.0, 2.18, 2.081538461538462)","(17.0, 28.0, 21.25)"
10-01-2023 20:19:02.981775,"(51.0, 160.0, 128.57142857142856)","(81.0, 200.0, 113.33333333333334)","(19.0, 99999, 99990)","(4.8, 7.2, 6.628571428571428)","(21.0, 48.0, 28.666666666666664)","(3.7, 5.6, 4.733333333333333)","(26.0, 48.0, 37.0)","(51.0, 150.0, 135.42857142857144)","(51.0, 160.0, 105.0)","(13.0, 99999, 99990)","(2.0, 2.18, 2.081538461538462)","(17.0, 28.0, 21.25)"
10-01-2023 20:19:04.433264,"(51.0, 160.0, 128.57142857142856)","(81.0, 200.0, 113.33333333333334)","(19.0, 99999, 99990)","(4.8, 7.2, 6.628571428571428)","(21.0, 48.0, 28.666666666666664)","(3.7, 5.6, 4.733333333333333)","(26.0, 48.0, 37.0)","(51.0, 150.0, 135.42857142857144)","(51.0, 160.0, 105.0)","(13.0, 99999, 99990)","(2.0, 2.18, 2.081538461538462)","(17.0, 28.0, 21.25)"
10-01-2023 20:19:05.833806,"(51.0, 160.0, 128.57142857142856)","(81.0, 200.0, 113.33333333333334)","(19.0, 99999, 99990)","(4.8, 7.2, 6.628571428571428)","(21.0, 48.0, 28.666666666666664)","(3.7, 5.6, 4.733333333333333)","(26.0, 48.0, 37.0)","(51.0, 150.0, 135.42857142857144)","(51.0, 160.0, 105.0)","(13.0, 99999, 99990)","(2.0, 2.18, 2.081538461538462)","(17.0, 28.0, 21.25)"
10-01-2023 20:19:07.269883,"(51.0, 160.0, 128.57142857142856)","(81.0, 200.0, 113.33333333333334)","(19.0, 99999, 99990)","(4.8, 7.2, 6.628571428571428)","(21.0, 48.0, 28.666666666666664)","(3.7, 5.6, 4.733333333333333)","(26.0, 48.0, 37.0)","(51.0, 150.0, 135.42857142857144)","(51.0, 160.0, 105.0)","(13.0, 99999, 99990)","(2.0, 2.18, 2.081538461538462)","(17.0, 28.0, 21.25)"
10-01-2023 20:19:08.658968,"(51.0, 160.0, 128.57142857142856)","(81.0, 200.0, 113.33333333333334)","(19.0, 99999, 99990)","(4.8, 7.2, 6.628571428571428)","(21.0, 48.0, 28.666666666666664)","(3.7, 5.6, 4.733333333333333)","(26.0, 48.0, 37.0)","(51.0, 150.0, 135.42857142857144)","(51.0, 160.0, 105.0)","(13.0, 99999, 99990)","(2.0, 2.18, 2.081538461538462)","(17.0, 28.0, 21.25)"
10-01-2023 20:19:10.050719,"(51.0, 160.0, 128.57142857142856)","(81.0, 200.0, 113.33333333333334)","(19.0, 99999, 99990)","(4.8, 7.2, 5.933333333333334)","(21.0, 48.0, 25.75)","(3.7, 5.6, 4.7)","(26.0, 48.0, 31.0)","(51.0, 150.0, 100.0)","(51.0, 160.0, 107.5)","(13.0, 99999, 99990)","(2.0, 2.18, 2.1085714285714285)","(17.0, 28.0, 19.5)"
10-01-2023 20:19:11.497341,"(51.0, 160.0, 90.0)","(81.0, 200.0, 113.33333333333334)","(19.0, 99999, 99990)","(4.8, 7.2, 5.933333333333334)","(21.0, 46.0, 25.75)","(3.7, 5.5, 4.7)","(26.0, 46.0, 31.0)","(51.0, 150.0, 100.0)","(51.0, 160.0, 107.5)","(13.0, 99999, 99990)","(2.0, 2.16, 2.1085714285714285)","(17.0, 27.0, 19.5)"
10-01-2023 20:19:12.986807,"(51.0, 160.0, 90.0)","(81.0, 200.0, 113.33333333333334)","(19.0, 99999, 99990)","(4.8, 7.2, 5.933333333333334)","(21.0, 46.0, 25.75)","(3.7, 5.5, 4.7)","(26.0, 46.0, 31.0)","(51.0, 150.0, 100.0)","(51.0, 160.0, 107.5)","(13.0, 99999, 99990)","(2.0, 2.16, 2.1085714285714285)","(17.0, 27.0, 19.5)"
