,Donut Spolly,Piper Spolly,Millaras Money,Senorita Cruz,Marionvale Gal,Pheasant Wood
09-01-2023 13:48:47.310995,"(7.5, 16.5, 14.916666666666668)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.2425)","(51.0, 410.0, 205.55555555555554)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:48:48.403326,"(7.5, 16.5, 14.916666666666668)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.2425)","(51.0, 410.0, 205.55555555555554)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:48:49.438762,"(7.5, 16.5, 14.916666666666668)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.2425)","(51.0, 410.0, 205.55555555555554)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:48:50.520609,"(7.5, 16.5, 14.916666666666668)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.2425)","(51.0, 410.0, 205.55555555555554)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:48:51.607009,"(7.5, 16.5, 14.916666666666668)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.2425)","(51.0, 410.0, 205.55555555555554)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:48:52.676783,"(7.5, 16.5, 14.916666666666668)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.2425)","(51.0, 410.0, 205.55555555555554)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:48:53.756985,"(7.5, 16.5, 14.916666666666668)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.2425)","(51.0, 410.0, 205.55555555555554)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:48:54.641795,"(7.5, 16.5, 14.916666666666668)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.2425)","(51.0, 410.0, 205.55555555555554)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:48:55.503099,"(7.5, 16.5, 14.916666666666668)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.2425)","(51.0, 410.0, 205.55555555555554)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:48:56.611492,"(7.5, 16.5, 14.916666666666668)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1420408163265305)","(51.0, 410.0, 205.55555555555554)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:48:57.647427,"(7.5, 16.5, 14.916666666666668)","(21.0, 95.0, 58.0)","(2.1, 3.2, 2.1420408163265305)","(51.0, 410.0, 205.55555555555554)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:48:58.703194,"(7.5, 16.5, 14.916666666666668)","(21.0, 95.0, 58.0)","(2.1, 3.2, 2.1420408163265305)","(51.0, 410.0, 205.55555555555554)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:48:59.714474,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.2, 2.1420408163265305)","(51.0, 410.0, 205.55555555555554)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:00.606226,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.2, 2.1420408163265305)","(51.0, 410.0, 205.55555555555554)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:01.553449,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.2, 2.1420408163265305)","(51.0, 410.0, 205.55555555555554)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:02.605654,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.2, 2.1420408163265305)","(51.0, 410.0, 205.55555555555554)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:03.684806,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.2, 2.1420408163265305)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:04.644425,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.2, 2.1420408163265305)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:05.527789,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.2, 2.1420408163265305)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:06.432312,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.2, 2.1420408163265305)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:07.451182,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.2, 2.19)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.3681395348837206)"
09-01-2023 13:49:08.536173,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.19)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.55, 2.3681395348837206)"
09-01-2023 13:49:09.648245,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.19)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.55, 2.3681395348837206)"
09-01-2023 13:49:10.661264,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.19)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.55, 2.3681395348837206)"
09-01-2023 13:49:11.656686,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.19)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.55, 2.3681395348837206)"
09-01-2023 13:49:12.522880,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.19)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.55, 2.3681395348837206)"
09-01-2023 13:49:13.441298,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.19)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.55, 2.3681395348837206)"
09-01-2023 13:49:14.458005,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.19)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.55, 2.3681395348837206)"
09-01-2023 13:49:15.525704,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.19)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.55, 2.3681395348837206)"
09-01-2023 13:49:16.529515,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.19)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.55, 2.4724999999999997)"
09-01-2023 13:49:17.468464,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:18.406817,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
